,2022,2021,2020,2019
intangibleAssets,3853100000.0,4124600000.0,4302400000.0,4539300000.0
capitalSurplus,2324600000.0,2342100000.0,2323200000.0,2286000000.0
totalLiab,13572900000.0,13564200000.0,14353300000.0,14750100000.0
totalStockholderEquity,8787700000.0,8551800000.0,7876100000.0,7384600000.0
minorityInterest,74500000.0,79600000.0,74600000.0,79100000.0
otherCurrentLiab,31700000.0,13900000.0,20400000.0,6500000.0
totalAssets,22435100000.0,22195600000.0,22304000000.0,22213800000.0
commonStock,2921200000.0,2921200000.0,2921200000.0,2921200000.0
otherCurrentAssets,38000000.0,41800000.0,22200000.0,42700000.0
retainedEarnings,6550700000.0,6262600000.0,5471200000.0,5047900000.0
otherLiab,1768900000.0,1797700000.0,1959000000.0,1951800000.0
goodWill,11329200000.0,11338900000.0,11361500000.0,11435400000.0
treasuryStock,-3008800000.0,-2974100000.0,-2839500000.0,-2870500000.0
otherAssets,379300000.0,432400000.0,380800000.0,381600000.0
cash,83300000.0,79200000.0,553300000.0,236600000.0
totalCurrentLiabilities,3518800000.0,3306200000.0,3287400000.0,2142600000.0
shortLongTermDebt,686700000.0,,823300000.0,20600000.0
otherStockholderEquity,-11200000.0,5800000.0,-109600000.0,-110300000.0
propertyPlantEquipment,2921500000.0,2755800000.0,2574700000.0,2327400000.0
totalCurrentAssets,3033700000.0,2702100000.0,2885900000.0,2733800000.0
longTermInvestments,918300000.0,841800000.0,798700000.0,796300000.0
netTangibleAssets,-6394600000.0,-6911700000.0,-7787800000.0,-8590100000.0
netReceivables,867400000.0,793900000.0,860800000.0,818200000.0
longTermDebt,7977500000.0,8159200000.0,8767900000.0,10510900000.0
inventory,1939700000.0,1709700000.0,1364800000.0,1548900000.0
accountsPayable,1864600000.0,1655900000.0,1507100000.0,1252100000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1178700000.0,1494700000.0,1043100000.0,899100000.0
netIncome,888200000.0,1298800000.0,840100000.0,678300000.0
sellingGeneralAdministrative,1134200000.0,1211100000.0,1612600000.0,1348700000.0
grossProfit,2860600000.0,3179200000.0,3069600000.0,2653000000.0
ebit,1726400000.0,1968100000.0,1457000000.0,1304300000.0
operatingIncome,1726400000.0,1968100000.0,1457000000.0,1304300000.0
otherOperatingExpenses,,,,
interestExpense,-382000000.0,-422300000.0,-490200000.0,-386300000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,290500000.0,193800000.0,201300000.0,218800000.0
totalRevenue,11535900000.0,11184700000.0,11054400000.0,9538400000.0
totalOperatingExpenses,9809500000.0,9216600000.0,9597400000.0,8234100000.0
costOfRevenue,8675300000.0,8005500000.0,7984800000.0,6885400000.0
totalOtherIncomeExpenseNet,-547700000.0,-473400000.0,-413900000.0,-405200000.0
discontinuedOperations,,,,-1900000.0
netIncomeFromContinuingOps,888200000.0,1300900000.0,841800000.0,680300000.0
netIncomeApplicableToCommonShares,888200000.0,1298800000.0,840100000.0,678300000.0
investments,5900000.0,2700000.0,7000000.0,-8800000.0
changeToLiabilities,214900000.0,48900000.0,257500000.0,121900000.0
totalCashflowsFromInvestingActivities,-434900000.0,-340300000.0,-153800000.0,-5166000000.0
netBorrowings,-72500000.0,-820000000.0,-947400000.0,4060500000.0
totalCashFromFinancingActivities,-738000000.0,-1609600000.0,-1370400000.0,4149800000.0
changeToOperatingActivities,-131000000.0,-49100000.0,-64500000.0,-28400000.0
changeInCash,3100000.0,-474100000.0,316700000.0,108600000.0
repurchaseOfStock,-61300000.0,-298200000.0,-298200000.0,-1600000.0
effectOfExchangeRate,-1300000.0,7700000.0,-1700000.0,-700000.0
totalCashFromOperatingActivities,1177300000.0,1468100000.0,1842600000.0,1125500000.0
depreciation,288500000.0,387700000.0,388900000.0,333000000.0
otherCashflowsFromInvestingActivities,3300000.0,3300000.0,100000.0,11100000.0
dividendsPaid,-581800000.0,-474600000.0,-413600000.0,-356200000.0
changeToInventory,-232800000.0,-364300000.0,163500000.0,78000000.0
changeToAccountReceivables,-69500000.0,66100000.0,-43800000.0,-69100000.0
otherCashflowsFromFinancingActivities,-22400000.0,-16800000.0,-14200000.0,-108600000.0
changeToNetincome,219000000.0,80000000.0,300900000.0,11800000.0
capitalExpenditures,-464400000.0,-506400000.0,-369500000.0,-353100000.0
issuanceOfStock,,,4800000.0,555700000.0
annualDilutedAverageShares,,,,
