,2022,2021,2020,2019
intangibleAssets,1774000000.0,2105000000.0,2918000000.0,3430000000.0
totalLiab,44584000000.0,42659000000.0,38974000000.0,34633000000.0
totalStockholderEquity,-709000000.0,1791000000.0,1789000000.0,6328000000.0
minorityInterest,3000000.0,3000000.0,3000000.0,2000000.0
otherCurrentLiab,535000000.0,100000000.0,5000000.0,5000000.0
totalAssets,43878000000.0,44453000000.0,40766000000.0,40963000000.0
commonStock,2813000000.0,2806000000.0,2789000000.0,2763000000.0
otherCurrentAssets,36000000.0,1140000000.0,,6000000.0
retainedEarnings,-280000000.0,1205000000.0,1170000000.0,5434000000.0
otherLiab,8911000000.0,9296000000.0,8237000000.0,2939000000.0
goodWill,5855000000.0,7989000000.0,8357000000.0,8378000000.0
treasuryStock,-3242000000.0,-2220000000.0,-2170000000.0,-1869000000.0
otherAssets,496000000.0,490000000.0,732000000.0,1006000000.0
cash,4717000000.0,3407000000.0,2771000000.0,2531000000.0
totalCurrentLiabilities,30550000000.0,27624000000.0,23615000000.0,24109000000.0
deferredLongTermAssetCharges,36000000.0,52000000.0,39000000.0,36000000.0
shortLongTermDebt,600000000.0,852000000.0,1000000.0,452000000.0
otherStockholderEquity,-114000000.0,-34000000.0,-104000000.0,-79000000.0
propertyPlantEquipment,2818000000.0,2820000000.0,2792000000.0,2356000000.0
totalCurrentAssets,32935000000.0,31048000000.0,25940000000.0,25747000000.0
netTangibleAssets,-8338000000.0,-8303000000.0,-9486000000.0,-5480000000.0
netReceivables,10573000000.0,9110000000.0,8276000000.0,8460000000.0
longTermDebt,4686000000.0,5320000000.0,6756000000.0,7585000000.0
inventory,15636000000.0,14594000000.0,13198000000.0,12822000000.0
accountsPayable,27128000000.0,23700000000.0,21374000000.0,21535000000.0
longTermInvestments,,1000000.0,27000000.0,46000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-769000000.0,323000000.0,-3772000000.0,1751000000.0
netIncome,-933000000.0,611000000.0,-3696000000.0,1363000000.0
sellingGeneralAdministrative,4557000000.0,4533000000.0,4572000000.0,4480000000.0
grossProfit,6545000000.0,6778000000.0,6868000000.0,6834000000.0
ebit,1664000000.0,1794000000.0,1772000000.0,1733000000.0
operatingIncome,1664000000.0,1794000000.0,1772000000.0,1733000000.0
otherOperatingExpenses,,,,
interestExpense,-149000000.0,-180000000.0,-238000000.0,-294000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,163000000.0,-289000000.0,-79000000.0,386000000.0
totalRevenue,181364000000.0,162467000000.0,152922000000.0,145534000000.0
totalOperatingExpenses,179700000000.0,160673000000.0,151150000000.0,143801000000.0
costOfRevenue,174819000000.0,155689000000.0,146054000000.0,138700000000.0
totalOtherIncomeExpenseNet,-2433000000.0,-1471000000.0,-5544000000.0,18000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,-932000000.0,612000000.0,-3693000000.0,1365000000.0
netIncomeApplicableToCommonShares,-933000000.0,611000000.0,-3696000000.0,1363000000.0
investments,-49000000.0,25000000.0,866000000.0,-15000000.0
changeToLiabilities,3428000000.0,2325000000.0,-162000000.0,1864000000.0
totalCashflowsFromInvestingActivities,567000000.0,-378000000.0,493000000.0,338000000.0
netBorrowings,-885000000.0,-570000000.0,-1401000000.0,-1102000000.0
totalCashFromFinancingActivities,-2463000000.0,-1317000000.0,-2200000000.0,-2293000000.0
changeToOperatingActivities,293000000.0,452000000.0,6550000000.0,193000000.0
changeInCash,1310000000.0,636000000.0,240000000.0,768000000.0
repurchaseOfStock,-1019000000.0,-200000000.0,-350000000.0,-614000000.0
effectOfExchangeRate,-25000000.0,11000000.0,-13000000.0,1000000.0
totalCashFromOperatingActivities,3122000000.0,2429000000.0,1960000000.0,2722000000.0
depreciation,692000000.0,783000000.0,913000000.0,1000000000.0
otherCashflowsFromInvestingActivities,71000000.0,71000000.0,71000000.0,71000000.0
dividendsPaid,-559000000.0,-573000000.0,-569000000.0,-577000000.0
changeToInventory,-1071000000.0,-1584000000.0,-409000000.0,-551000000.0
changeToAccountReceivables,-1526000000.0,-904000000.0,82000000.0,-751000000.0
changeToNetincome,2239000000.0,746000000.0,-1318000000.0,-396000000.0
capitalExpenditures,-387000000.0,-400000000.0,-375000000.0,-328000000.0
issuanceOfStock,,8000000.0,8000000.0,8000000.0
otherCashflowsFromFinancingActivities,,18000000.0,112000000.0,112000000.0
annualDilutedAverageShares,,,,
