,2021,2020,2019,2018
intangibleAssets,509000000.0,1037000000.0,1083000000.0,1214000000.0
capitalSurplus,5411000000.0,5345000000.0,,
totalLiab,19078000000.0,18515000000.0,7971000000.0,7468000000.0
totalStockholderEquity,6767000000.0,6252000000.0,14102000000.0,13917000000.0
minorityInterest,327000000.0,326000000.0,333000000.0,352000000.0
otherCurrentLiab,1601000000.0,534000000.0,1027000000.0,1043000000.0
totalAssets,26172000000.0,25093000000.0,22406000000.0,21737000000.0
commonStock,9000000.0,9000000.0,15355000000.0,15132000000.0
otherCurrentAssets,3544000000.0,343000000.0,327000000.0,378000000.0
retainedEarnings,2865000000.0,1643000000.0,,
otherLiab,2411000000.0,2727000000.0,2738000000.0,2865000000.0
goodWill,9349000000.0,10139000000.0,9884000000.0,9849000000.0
treasuryStock,-1518000000.0,-745000000.0,-1253000000.0,-1215000000.0
otherAssets,848000000.0,1282000000.0,1246000000.0,1142000000.0
cash,2987000000.0,3115000000.0,952000000.0,1129000000.0
totalCurrentLiabilities,6627000000.0,5110000000.0,4469000000.0,4466000000.0
deferredLongTermAssetCharges,563000000.0,449000000.0,500000000.0,398000000.0
shortLongTermDebt,183000000.0,191000000.0,237000000.0,150000000.0
otherStockholderEquity,-989000000.0,-745000000.0,-1253000000.0,-1215000000.0
propertyPlantEquipment,2466000000.0,2598000000.0,2495000000.0,1653000000.0
totalCurrentAssets,11407000000.0,8524000000.0,5959000000.0,6109000000.0
longTermInvestments,1593000000.0,1513000000.0,1739000000.0,1770000000.0
netTangibleAssets,-3091000000.0,-4924000000.0,3135000000.0,2854000000.0
netReceivables,2906000000.0,3437000000.0,3348000000.0,3239000000.0
longTermDebt,9513000000.0,10036000000.0,76000000.0,137000000.0
inventory,1970000000.0,1629000000.0,1332000000.0,1363000000.0
accountsPayable,2334000000.0,1936000000.0,1701000000.0,1944000000.0
researchDevelopment,503000000.0,419000000.0,401000000.0,400000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2400000000.0,2855000000.0,2672000000.0,3842000000.0
netIncome,1664000000.0,1982000000.0,2116000000.0,2734000000.0
sellingGeneralAdministrative,2979000000.0,2590000000.0,2517000000.0,2477000000.0
grossProfit,6008000000.0,5129000000.0,5455000000.0,5605000000.0
ebit,2568000000.0,2086000000.0,2643000000.0,2866000000.0
operatingIncome,2568000000.0,2086000000.0,2643000000.0,2866000000.0
otherOperatingExpenses,-42000000.0,34000000.0,-106000000.0,-138000000.0
interestExpense,-319000000.0,-298000000.0,-298000000.0,-84000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,699000000.0,849000000.0,517000000.0,1073000000.0
totalRevenue,20613000000.0,17456000000.0,18608000000.0,18914000000.0
totalOperatingExpenses,18045000000.0,15370000000.0,15965000000.0,16048000000.0
costOfRevenue,14605000000.0,12327000000.0,13153000000.0,13309000000.0
totalOtherIncomeExpenseNet,-168000000.0,769000000.0,29000000.0,976000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1701000000.0,2006000000.0,2155000000.0,2769000000.0
netIncomeApplicableToCommonShares,1664000000.0,1982000000.0,2116000000.0,2734000000.0
investments,7000000.0,1377000000.0,6000000.0,6000000.0
changeToLiabilities,880000000.0,283000000.0,-314000000.0,112000000.0
totalCashflowsFromInvestingActivities,-692000000.0,1106000000.0,-259000000.0,415000000.0
netBorrowings,-551000000.0,9850000000.0,-6000000.0,120000000.0
totalCashFromFinancingActivities,-1562000000.0,-681000000.0,-1982000000.0,-2627000000.0
changeToOperatingActivities,-11000000.0,3000000.0,62000000.0,-7000000.0
changeInCash,-132000000.0,2158000000.0,-182000000.0,-201000000.0
repurchaseOfStock,-527000000.0,-527000000.0,-527000000.0,-527000000.0
effectOfExchangeRate,-16000000.0,45000000.0,1000000.0,-39000000.0
totalCashFromOperatingActivities,2237000000.0,1692000000.0,2063000000.0,2055000000.0
depreciation,338000000.0,336000000.0,335000000.0,357000000.0
otherCashflowsFromInvestingActivities,11000000.0,41000000.0,-22000000.0,-44000000.0
dividendsPaid,-417000000.0,-138000000.0,-138000000.0,-138000000.0
changeToInventory,-408000000.0,-240000000.0,-2000000.0,-151000000.0
changeToAccountReceivables,-144000000.0,40000000.0,-106000000.0,-278000000.0
otherCashflowsFromFinancingActivities,-67000000.0,-10393000000.0,-1976000000.0,-2747000000.0
changeToNetincome,-82000000.0,-712000000.0,-28000000.0,-712000000.0
capitalExpenditures,-344000000.0,-312000000.0,-243000000.0,-263000000.0
annualDilutedAverageShares,,,,
