,2021,2020,2019,2018
intangibleAssets,1042000000.0,1308000000.0,1565000000.0,1897000000.0
totalLiab,66277000000.0,62946000000.0,63824000000.0,64429000000.0
totalStockholderEquity,16484000000.0,15331000000.0,14588000000.0,14039000000.0
minorityInterest,32000000.0,47000000.0,41000000.0,41000000.0
otherCurrentLiab,3820000000.0,3561000000.0,3757000000.0,3735000000.0
totalAssets,82793000000.0,78324000000.0,78453000000.0,78509000000.0
commonStock,6398000000.0,6230000000.0,5935000000.0,5827000000.0
otherCurrentAssets,106000000.0,119000000.0,31000000.0,52000000.0
retainedEarnings,39282000000.0,35167000000.0,34437000000.0,30427000000.0
otherLiab,9913000000.0,10773000000.0,10461000000.0,11211000000.0
goodWill,6324000000.0,6394000000.0,6196000000.0,6217000000.0
treasuryStock,-29196000000.0,-26066000000.0,-25784000000.0,-22215000000.0
otherAssets,4758000000.0,4180000000.0,3932000000.0,3443000000.0
cash,8428000000.0,8822000000.0,7299000000.0,6968000000.0
totalCurrentLiabilities,29847000000.0,25717000000.0,26621000000.0,28218000000.0
deferredLongTermAssetCharges,1669000000.0,1358000000.0,1324000000.0,1363000000.0
shortLongTermDebt,45000000.0,1420000000.0,16000000.0,10000000.0
otherStockholderEquity,-1553000000.0,-888000000.0,-1567000000.0,-1684000000.0
propertyPlantEquipment,8797000000.0,8912000000.0,9230000000.0,9085000000.0
totalCurrentAssets,43455000000.0,39464000000.0,39193000000.0,38603000000.0
longTermInvestments,1721000000.0,1687000000.0,1365000000.0,
netTangibleAssets,9118000000.0,7629000000.0,6827000000.0,5925000000.0
shortTermInvestments,964000000.0,,,
netReceivables,8234000000.0,7178000000.0,8484000000.0,8714000000.0
longTermDebt,9667000000.0,9646000000.0,9013000000.0,8005000000.0
inventory,14038000000.0,11402000000.0,11266000000.0,11529000000.0
accountsPayable,8154000000.0,6128000000.0,5957000000.0,7051000000.0
researchDevelopment,1686000000.0,1415000000.0,1693000000.0,1850000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,8235000000.0,4009000000.0,7840000000.0,7846000000.0
netIncome,6489000000.0,2998000000.0,6093000000.0,6147000000.0
sellingGeneralAdministrative,3433000000.0,3957000000.0,4796000000.0,4806000000.0
grossProfit,13189000000.0,10127000000.0,14462000000.0,14903000000.0
ebit,8274000000.0,4835000000.0,8113000000.0,8336000000.0
operatingIncome,8274000000.0,4835000000.0,8113000000.0,8336000000.0
otherOperatingExpenses,-204000000.0,-80000000.0,-140000000.0,-89000000.0
interestExpense,-488000000.0,-514000000.0,-421000000.0,-404000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1742000000.0,1006000000.0,1746000000.0,1698000000.0
totalRevenue,50971000000.0,41748000000.0,53800000000.0,54722000000.0
totalOperatingExpenses,42697000000.0,36913000000.0,45687000000.0,46386000000.0
costOfRevenue,37782000000.0,31621000000.0,39338000000.0,39819000000.0
totalOtherIncomeExpenseNet,-39000000.0,-826000000.0,-273000000.0,-490000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,6493000000.0,3003000000.0,6094000000.0,6148000000.0
netIncomeApplicableToCommonShares,6489000000.0,2998000000.0,6093000000.0,6147000000.0
investments,-1471000000.0,-404000000.0,-70000000.0,-456000000.0
changeToLiabilities,2075000000.0,-28000000.0,-1035000000.0,526000000.0
totalCashflowsFromInvestingActivities,-3084000000.0,-1485000000.0,-1928000000.0,-3212000000.0
netBorrowings,681000000.0,-610000000.0,1406000000.0,1840000000.0
totalCashFromFinancingActivities,-4188000000.0,-3755000000.0,-4538000000.0,-3650000000.0
changeToOperatingActivities,1123000000.0,-1797000000.0,-2340000000.0,-1405000000.0
issuanceOfStock,135000000.0,229000000.0,238000000.0,313000000.0
changeInCash,-103000000.0,1074000000.0,402000000.0,-430000000.0
repurchaseOfStock,-2668000000.0,-1130000000.0,-4047000000.0,-3798000000.0
effectOfExchangeRate,-29000000.0,-13000000.0,-44000000.0,-126000000.0
totalCashFromOperatingActivities,7198000000.0,6327000000.0,6912000000.0,6558000000.0
depreciation,2267000000.0,2432000000.0,2577000000.0,2766000000.0
otherCashflowsFromInvestingActivities,79000000.0,-66000000.0,-24000000.0,13000000.0
dividendsPaid,-2332000000.0,-2243000000.0,-2132000000.0,-1951000000.0
changeToInventory,-2586000000.0,-34000000.0,274000000.0,-1579000000.0
changeToAccountReceivables,-1259000000.0,1442000000.0,171000000.0,-1619000000.0
otherCashflowsFromFinancingActivities,-4000000.0,-1000000.0,-3000000.0,-54000000.0
changeToNetincome,-911000000.0,1314000000.0,1172000000.0,1722000000.0
capitalExpenditures,-2472000000.0,-2115000000.0,-2669000000.0,-2916000000.0
annualDilutedAverageShares,548500000.0,548600000.0,567500000.0,599400000.0
