,2021,2020,2019,2018
intangibleAssets,12604000000.0,11476000000.0,11611000000.0,11374000000.0
capitalSurplus,8478000000.0,9815000000.0,11203000000.0,12557000000.0
totalLiab,140340000000.0,131333000000.0,121612000000.0,117459000000.0
totalStockholderEquity,59714000000.0,59441000000.0,55331000000.0,50312000000.0
otherCurrentLiab,20028000000.0,18810000000.0,17761000000.0,16022000000.0
totalAssets,200054000000.0,190774000000.0,176943000000.0,167771000000.0
commonStock,10985000000.0,11064000000.0,11121000000.0,11121000000.0
otherCurrentAssets,18610000000.0,16789000000.0,16380000000.0,17224000000.0
retainedEarnings,47365000000.0,39337000000.0,36142000000.0,31700000000.0
otherLiab,15695000000.0,15594000000.0,13875000000.0,13685000000.0
goodWill,15213000000.0,15400000000.0,15296000000.0,15271000000.0
treasuryStock,-7114000000.0,-775000000.0,-3135000000.0,-5066000000.0
otherAssets,11844000000.0,8829000000.0,6722000000.0,7237000000.0
cash,1659000000.0,1747000000.0,1537000000.0,1247000000.0
totalCurrentLiabilities,108826000000.0,99966000000.0,93870000000.0,91379000000.0
shortLongTermDebt,999000000.0,,1299000000.0,624000000.0
otherStockholderEquity,350000000.0,2869000000.0,619000000.0,-2448000000.0
propertyPlantEquipment,1045000000.0,2473000000.0,2451000000.0,1700000000.0
totalCurrentAssets,37765000000.0,36130000000.0,35212000000.0,34106000000.0
longTermInvestments,121583000000.0,116466000000.0,105651000000.0,98083000000.0
netTangibleAssets,37646000000.0,38230000000.0,33972000000.0,28898000000.0
shortTermInvestments,3146000000.0,4345000000.0,4291000000.0,3016000000.0
netReceivables,11322000000.0,10480000000.0,10357000000.0,10075000000.0
longTermDebt,15477000000.0,15256000000.0,13867000000.0,12395000000.0
accountsPayable,84420000000.0,77907000000.0,72400000000.0,71389000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9816000000.0,4162000000.0,5249000000.0,4657000000.0
minorityInterest,,,,
netIncome,8539000000.0,3533000000.0,4454000000.0,3962000000.0
sellingGeneralAdministrative,3221000000.0,3078000000.0,3139000000.0,3000000000.0
grossProfit,11443000000.0,7110000000.0,8716000000.0,8224000000.0
ebit,7875000000.0,3659000000.0,5207000000.0,4843000000.0
operatingIncome,7875000000.0,3659000000.0,5207000000.0,4843000000.0
otherOperatingExpenses,60000000.0,83000000.0,65000000.0,42000000.0
interestExpense,-492000000.0,-516000000.0,-552000000.0,-641000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1277000000.0,629000000.0,795000000.0,695000000.0
totalRevenue,40955000000.0,36052000000.0,34230000000.0,32679000000.0
totalOperatingExpenses,33080000000.0,32393000000.0,29023000000.0,27836000000.0
costOfRevenue,29512000000.0,28942000000.0,25514000000.0,24455000000.0
totalOtherIncomeExpenseNet,1941000000.0,503000000.0,42000000.0,-186000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,8539000000.0,3533000000.0,4454000000.0,3962000000.0
netIncomeApplicableToCommonShares,8539000000.0,3533000000.0,4454000000.0,3962000000.0
investments,-7524000000.0,-7845000000.0,-5906000000.0,-3398000000.0
changeToLiabilities,2393000000.0,748000000.0,844000000.0,1029000000.0
totalCashflowsFromInvestingActivities,-6659000000.0,-7521000000.0,-5905000000.0,-2935000000.0
netBorrowings,1576000000.0,-313000000.0,2318000000.0,180000000.0
totalCashFromFinancingActivities,-4409000000.0,-2082000000.0,-151000000.0,-1991000000.0
changeToOperatingActivities,4412000000.0,5010000000.0,150000000.0,61000000.0
issuanceOfStock,300000000.0,145000000.0,204000000.0,115000000.0
changeInCash,-25000000.0,190000000.0,306000000.0,489000000.0
repurchaseOfStock,-4861000000.0,-523000000.0,-1530000000.0,-1044000000.0
effectOfExchangeRate,-106000000.0,8000000.0,20000000.0,-65000000.0
totalCashFromOperatingActivities,11149000000.0,9785000000.0,6342000000.0,5480000000.0
depreciation,287000000.0,290000000.0,305000000.0,339000000.0
otherCashflowsFromInvestingActivities,865000000.0,324000000.0,30000000.0,463000000.0
dividendsPaid,-1401000000.0,-1388000000.0,-1354000000.0,-1337000000.0
changeToAccountReceivables,-984000000.0,-114000000.0,-270000000.0,-981000000.0
otherCashflowsFromFinancingActivities,-23000000.0,-3000000.0,211000000.0,95000000.0
changeToNetincome,-3546000000.0,272000000.0,866000000.0,909000000.0
annualDilutedAverageShares,,,,
