,2021,2020,2019,2018
intangibleAssets,1707100000.0,1766500000.0,1619600000.0,1754700000.0
capitalSurplus,1509400000.0,2713300000.0,2691300000.0,2660200000.0
totalLiab,3209700000.0,3167600000.0,1758300000.0,2070600000.0
totalStockholderEquity,3604800000.0,3348900000.0,3355600000.0,3241000000.0
otherCurrentLiab,873900000.0,994600000.0,109700000.0,97600000.0
totalAssets,6814500000.0,6516500000.0,5113900000.0,5321000000.0
commonStock,1100000.0,1200000.0,1200000.0,1200000.0
otherCurrentAssets,782700000.0,838600000.0,15800000.0,15200000.0
retainedEarnings,2145500000.0,1809800000.0,1512600000.0,1288200000.0
otherLiab,611900000.0,587000000.0,562400000.0,559100000.0
goodWill,3025400000.0,2895100000.0,2682100000.0,2691400000.0
treasuryStock,-51200000.0,-1175400000.0,-849500000.0,-708600000.0
otherAssets,87300000.0,51800000.0,43000000.0,28400000.0
cash,341900000.0,245400000.0,229300000.0,275100000.0
totalCurrentLiabilities,1169300000.0,1313300000.0,281600000.0,595900000.0
otherStockholderEquity,55600000.0,75000000.0,37600000.0,11500000.0
propertyPlantEquipment,217600000.0,193600000.0,100400000.0,76600000.0
totalCurrentAssets,1531300000.0,1566800000.0,607600000.0,683700000.0
longTermInvestments,245800000.0,42700000.0,61200000.0,86200000.0
netTangibleAssets,-1127700000.0,-1312700000.0,-946100000.0,-1205100000.0
shortTermInvestments,37100000.0,92400000.0,71000000.0,35700000.0
netReceivables,369600000.0,390400000.0,291500000.0,357700000.0
longTermDebt,1299300000.0,1135200000.0,867600000.0,915600000.0
accountsPayable,19500000.0,28500000.0,21000000.0,12800000.0
shortLongTermDebt,,68700000.0,,299800000.0
minorityInterest,,,,9400000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,756100000.0,660400000.0,501400000.0,571200000.0
netIncome,529000000.0,468200000.0,374900000.0,426500000.0
sellingGeneralAdministrative,470800000.0,364200000.0,336400000.0,369500000.0
grossProfit,1476100000.0,1254300000.0,1136900000.0,1216900000.0
ebit,818800000.0,714100000.0,609100000.0,629400000.0
operatingIncome,818800000.0,714100000.0,609100000.0,629400000.0
otherOperatingExpenses,19100000.0,17500000.0,14800000.0,14000000.0
interestExpense,-48000000.0,-38700000.0,-37800000.0,-40500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,227100000.0,192200000.0,130600000.0,146000000.0
totalRevenue,3494800000.0,3427100000.0,2496100000.0,2768800000.0
totalOperatingExpenses,2676000000.0,2713000000.0,1887000000.0,2139400000.0
costOfRevenue,2018700000.0,2172800000.0,1359200000.0,1551900000.0
totalOtherIncomeExpenseNet,-62700000.0,-53700000.0,-107700000.0,-58200000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,529000000.0,468200000.0,370800000.0,425200000.0
netIncomeApplicableToCommonShares,527300000.0,467000000.0,372700000.0,422100000.0
investments,-150800000.0,-32100000.0,19200000.0,10700000.0
changeToLiabilities,49900000.0,63900000.0,-29800000.0,39800000.0
totalCashflowsFromInvestingActivities,-352700000.0,-430500000.0,-15900000.0,-25600000.0
netBorrowings,90000000.0,338700000.0,-350000000.0,-25000000.0
totalCashFromFinancingActivities,-200300000.0,-201700000.0,-662900000.0,-371600000.0
changeToOperatingActivities,-222900000.0,836400000.0,-3000000.0,-39600000.0
changeInCash,34700000.0,828200000.0,-45800000.0,131600000.0
repurchaseOfStock,-87500000.0,-363300000.0,-167900000.0,-161800000.0
effectOfExchangeRate,-9100000.0,1600000.0,200000.0,-5900000.0
totalCashFromOperatingActivities,596800000.0,1458800000.0,632800000.0,534700000.0
depreciation,160100000.0,151600000.0,163100000.0,185100000.0
otherCashflowsFromInvestingActivities,600000.0,500000.0,500000.0,500000.0
dividendsPaid,-193300000.0,-170600000.0,-150000000.0,-130300000.0
changeToAccountReceivables,12000000.0,-90000000.0,50300000.0,-70300000.0
otherCashflowsFromFinancingActivities,-9500000.0,-6700000.0,-4300000.0,-56600000.0
changeToNetincome,11800000.0,-13300000.0,27000000.0,-11500000.0
capitalExpenditures,-51000000.0,-47400000.0,-35100000.0,-36300000.0
issuanceOfStock,,200000.0,9300000.0,2100000.0
annualDilutedAverageShares,,,,
