,2021,2020,2019,2018
intangibleAssets,2409427000.0,1367913000.0,1379546000.0,1441308000.0
capitalSurplus,798892000.0,1074639000.0,1115944000.0,1149013000.0
totalLiab,12714374000.0,10533483000.0,9924084000.0,8446891000.0
totalStockholderEquity,8528193000.0,7078326000.0,6232693000.0,4938797000.0
minorityInterest,830924000.0,427334000.0,40419000.0,71105000.0
deferredLongTermLiab,9500000.0,13000000.0,17000000.0,18300000.0
otherCurrentLiab,700224000.0,336111000.0,255707000.0,281702000.0
totalAssets,22073491000.0,18039143000.0,16197196000.0,13456793000.0
commonStock,3329000.0,3356000.0,3348000.0,3369000.0
otherCurrentAssets,1784203000.0,1847550000.0,1391341000.0,1674804000.0
retainedEarnings,8366631000.0,6530057000.0,5793149000.0,4504684000.0
otherLiab,1567563000.0,813622000.0,608629000.0,876251000.0
goodWill,4995175000.0,3821609000.0,3753493000.0,3652309000.0
treasuryStock,-640659000.0,-529726000.0,-679748000.0,-718269000.0
otherAssets,1417158000.0,1598459000.0,1174669000.0,671100000.0
cash,2430951000.0,1896188000.0,971781000.0,777219000.0
totalCurrentLiabilities,8418869000.0,7143983000.0,6436451000.0,5803380000.0
deferredLongTermAssetCharges,157032000.0,91529000.0,73864000.0,51703000.0
otherStockholderEquity,-640659000.0,-529726000.0,-679748000.0,-718269000.0
propertyPlantEquipment,1973278000.0,1953166000.0,1928313000.0,721692000.0
totalCurrentAssets,10082365000.0,8845631000.0,7534464000.0,6754210000.0
longTermInvestments,1196088000.0,452365000.0,426711000.0,216174000.0
netTangibleAssets,1123591000.0,1888804000.0,1099654000.0,-154820000.0
netReceivables,5533326000.0,4806901000.0,4888601000.0,4047295000.0
longTermDebt,1538123000.0,1380202000.0,1761245000.0,1767260000.0
accountsPayable,2884331000.0,2678639000.0,2394484000.0,1878127000.0
shortLongTermDebt,,1514000.0,1814000.0,4216000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2409421000.0,969969000.0,1361345000.0,1379006000.0
netIncome,1836574000.0,751989000.0,1282357000.0,1063219000.0
sellingGeneralAdministrative,4029632000.0,3161207000.0,3436009000.0,3356649000.0
grossProfit,6166529000.0,4828075000.0,5205078000.0,4890876000.0
ebit,1611026000.0,1185832000.0,1329845000.0,1082239000.0
operatingIncome,1611026000.0,1185832000.0,1329845000.0,1082239000.0
otherOperatingExpenses,,,,
interestExpense,-50352000.0,-67753000.0,-85754000.0,-98685000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,567506000.0,214101000.0,69895000.0,313058000.0
totalRevenue,27746036000.0,23826195000.0,23894091000.0,21340088000.0
totalOperatingExpenses,26135010000.0,22640363000.0,22564246000.0,20257849000.0
costOfRevenue,21579507000.0,18998120000.0,18689013000.0,16449212000.0
totalOtherIncomeExpenseNet,798395000.0,-215863000.0,31500000.0,296767000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1841915000.0,755868000.0,1291450000.0,1065948000.0
netIncomeApplicableToCommonShares,1836574000.0,751989000.0,1282357000.0,1063219000.0
investments,-265970000.0,-460178000.0,-72658000.0,-1093000.0
changeToLiabilities,104749000.0,105491000.0,306677000.0,273782000.0
totalCashflowsFromInvestingActivities,-1280897000.0,-744085000.0,-721024000.0,-560684000.0
netBorrowings,187821000.0,-433804000.0,-103993000.0,-305009000.0
totalCashFromFinancingActivities,-490631000.0,-222756000.0,-271949000.0,-506600000.0
changeToOperatingActivities,568532000.0,201028000.0,-75271000.0,683780000.0
changeInCash,500534000.0,945502000.0,229801000.0,39125000.0
repurchaseOfStock,-407467000.0,-93863000.0,-163563000.0,-190420000.0
effectOfExchangeRate,-92116000.0,81564000.0,-606000.0,-24840000.0
totalCashFromOperatingActivities,2364178000.0,1830779000.0,1223380000.0,1131249000.0
depreciation,557771000.0,513736000.0,439224000.0,451988000.0
otherCashflowsFromInvestingActivities,-23587000.0,10516000.0,1074000.0,-9215000.0
changeToAccountReceivables,-765959000.0,371009000.0,-821134000.0,-773361000.0
otherCashflowsFromFinancingActivities,-270985000.0,304911000.0,-4393000.0,-11171000.0
changeToNetincome,-194097000.0,-368827000.0,357301000.0,-556260000.0
capitalExpenditures,-209851000.0,-266575000.0,-293514000.0,-227803000.0
annualDilutedAverageShares,339717401.0,338392210.0,340522871.0,343122741.0
