,2021,2020,2019,2018
intangibleAssets,4046000000.0,4433000000.0,4836000000.0,5516000000.0
capitalSurplus,18011000000.0,17933000000.0,17855000000.0,17767000000.0
totalLiab,30782000000.0,29307000000.0,27968000000.0,21191000000.0
totalStockholderEquity,8258000000.0,9461000000.0,10489000000.0,11571000000.0
otherCurrentLiab,776000000.0,704000000.0,657000000.0,587000000.0
totalAssets,39040000000.0,38768000000.0,38457000000.0,32762000000.0
commonStock,4000000.0,4000000.0,4000000.0,4000000.0
otherCurrentAssets,327000000.0,289000000.0,298000000.0,359000000.0
otherLiab,2168000000.0,2379000000.0,2516000000.0,3110000000.0
goodWill,10078000000.0,10078000000.0,10078000000.0,10078000000.0
treasuryStock,-9757000000.0,-8476000000.0,-7370000000.0,-6200000000.0
otherAssets,1711000000.0,1527000000.0,1540000000.0,2286000000.0
cash,292000000.0,232000000.0,196000000.0,277000000.0
totalCurrentLiabilities,2026000000.0,1969000000.0,1920000000.0,1506000000.0
deferredLongTermAssetCharges,26000000.0,29000000.0,26000000.0,26000000.0
shortLongTermDebt,72000000.0,129000000.0,100000000.0,107000000.0
otherStockholderEquity,-9757000000.0,-8476000000.0,-7370000000.0,-6200000000.0
propertyPlantEquipment,21951000000.0,21626000000.0,20799000000.0,13653000000.0
totalCurrentAssets,1254000000.0,1104000000.0,1204000000.0,1229000000.0
netTangibleAssets,-5866000000.0,-5050000000.0,-4425000000.0,-4023000000.0
netReceivables,635000000.0,583000000.0,710000000.0,593000000.0
longTermDebt,20315000000.0,18915000000.0,17794000000.0,16348000000.0
accountsPayable,246000000.0,230000000.0,334000000.0,313000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1179000000.0,1076000000.0,881000000.0,641000000.0
minorityInterest,,,,
netIncome,1096000000.0,1056000000.0,860000000.0,622000000.0
sellingGeneralAdministrative,680000000.0,678000000.0,614000000.0,563000000.0
grossProfit,4347000000.0,3891000000.0,3777000000.0,3526000000.0
ebit,2023000000.0,1605000000.0,1591000000.0,1436000000.0
operatingIncome,2023000000.0,1605000000.0,1591000000.0,1436000000.0
otherOperatingExpenses,,,,
interestExpense,-657000000.0,-689000000.0,-683000000.0,-642000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,21000000.0,20000000.0,21000000.0,19000000.0
totalRevenue,6340000000.0,5840000000.0,5763000000.0,5370000000.0
totalOperatingExpenses,4317000000.0,4235000000.0,4172000000.0,3934000000.0
costOfRevenue,1993000000.0,1949000000.0,1986000000.0,1844000000.0
totalOtherIncomeExpenseNet,-844000000.0,-529000000.0,-710000000.0,-795000000.0
discontinuedOperations,-62000000.0,-62000000.0,-62000000.0,-62000000.0
netIncomeFromContinuingOps,1158000000.0,1056000000.0,860000000.0,622000000.0
netIncomeApplicableToCommonShares,1096000000.0,999000000.0,747000000.0,509000000.0
changeToLiabilities,15000000.0,-77000000.0,19000000.0,37000000.0
totalCashflowsFromInvestingActivities,-1332000000.0,-1741000000.0,-2081000000.0,-1793000000.0
netBorrowings,1175000000.0,1033000000.0,1401000000.0,386000000.0
totalCashFromFinancingActivities,-1310000000.0,-1271000000.0,-692000000.0,-733000000.0
changeToOperatingActivities,-248000000.0,-19000000.0,204000000.0,173000000.0
changeInCash,85000000.0,43000000.0,-75000000.0,-27000000.0
repurchaseOfStock,-70000000.0,-76000000.0,-44000000.0,-34000000.0
totalCashFromOperatingActivities,2727000000.0,3055000000.0,2698000000.0,2500000000.0
depreciation,1590000000.0,1550000000.0,1507000000.0,1457000000.0
otherCashflowsFromInvestingActivities,8000000.0,-10000000.0,-7000000.0,-12000000.0
dividendsPaid,-2373000000.0,-2190000000.0,-2025000000.0,-1895000000.0
changeToAccountReceivables,-113000000.0,166000000.0,-96000000.0,-105000000.0
otherCashflowsFromFinancingActivities,-42000000.0,-38000000.0,-24000000.0,-31000000.0
changeToNetincome,374000000.0,373000000.0,203000000.0,309000000.0
capitalExpenditures,-1229000000.0,-1624000000.0,-2057000000.0,-1739000000.0
issuanceOfStock,,,,841000000.0
effectOfExchangeRate,,,,-1000000.0
annualDilutedAverageShares,,,,
