,2022,2021,2020,2019,2018
intangibleAssets,,1181000000.0,1186000000.0,1174000000.0,1176000000.0
capitalSurplus,,15292000000.0,13948000000.0,8807000000.0,8756000000.0
totalLiab,,41200000000.0,33038000000.0,19693000000.0,17958000000.0
totalStockholderEquity,,12144000000.0,20555000000.0,25365000000.0,24443000000.0
otherCurrentLiab,,3111000000.0,1941000000.0,4737000000.0,4406000000.0
totalAssets,,53344000000.0,53593000000.0,45058000000.0,42401000000.0
commonStock,,372000000.0,372000000.0,365000000.0,365000000.0
otherCurrentAssets,,1000000.0,135000000.0,31000000.0,
retainedEarnings,,6448000000.0,16075000000.0,26653000000.0,25066000000.0
otherLiab,,1042000000.0,944000000.0,882000000.0,845000000.0
goodWill,,579000000.0,807000000.0,2912000000.0,2925000000.0
treasuryStock,,-9968000000.0,-9840000000.0,-10460000000.0,-9744000000.0
otherAssets,,1769000000.0,1305000000.0,578000000.0,494000000.0
cash,,8939000000.0,9513000000.0,518000000.0,982000000.0
totalCurrentLiabilities,,10408000000.0,8686000000.0,9127000000.0,9205000000.0
shortLongTermDebt,,1930000000.0,1747000000.0,1602000000.0,1586000000.0
otherStockholderEquity,,-1502000000.0,-1436000000.0,-2066000000.0,-1949000000.0
propertyPlantEquipment,,39440000000.0,39443000000.0,38131000000.0,35336000000.0
totalCurrentAssets,,10133000000.0,10563000000.0,2059000000.0,2226000000.0
longTermInvestments,,242000000.0,289000000.0,204000000.0,244000000.0
netTangibleAssets,,10384000000.0,18562000000.0,21279000000.0,20342000000.0
shortTermInvestments,,200000000.0,,,
netReceivables,,246000000.0,273000000.0,598000000.0,358000000.0
longTermDebt,,28511000000.0,22135000000.0,9684000000.0,7908000000.0
inventory,,356000000.0,335000000.0,427000000.0,450000000.0
accountsPayable,,797000000.0,624000000.0,756000000.0,730000000.0
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,,-9522000000.0,-10253000000.0,3061000000.0,3206000000.0
minorityInterest,,,,,
netIncome,,-9501000000.0,-10236000000.0,2990000000.0,3152000000.0
sellingGeneralAdministrative,,1896000000.0,1885000000.0,2486000000.0,2459000000.0
grossProfit,,-809000000.0,834000000.0,11110000000.0,10777000000.0
ebit,,-6284000000.0,-4917000000.0,3297000000.0,3389000000.0
operatingIncome,,-6284000000.0,-4917000000.0,3297000000.0,3389000000.0
otherOperatingExpenses,,1346000000.0,1625000000.0,3167000000.0,2912000000.0
interestExpense,,-1601000000.0,-895000000.0,-206000000.0,-194000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,,-21000000.0,-17000000.0,71000000.0,54000000.0
totalRevenue,,1908000000.0,5594000000.0,20825000000.0,18880000000.0
totalOperatingExpenses,,8192000000.0,10511000000.0,17528000000.0,15491000000.0
costOfRevenue,,2717000000.0,4760000000.0,9715000000.0,8103000000.0
totalOtherIncomeExpenseNet,,-3238000000.0,-5336000000.0,-236000000.0,-183000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,,-9501000000.0,-10236000000.0,2990000000.0,3152000000.0
netIncomeApplicableToCommonShares,,-9501000000.0,-10236000000.0,2990000000.0,3152000000.0
investments,,-200000000.0,-200000000.0,-200000000.0,-200000000.0
changeToLiabilities,,1497000000.0,-2868000000.0,421000000.0,515000000.0
totalCashflowsFromInvestingActivities,,-3543000000.0,-3240000000.0,-5277000000.0,-3514000000.0
netBorrowings,,6793000000.0,16251000000.0,1418000000.0,1403000000.0
totalCashFromFinancingActivities,,6949000000.0,18650000000.0,-655000000.0,-1460000000.0
changeToOperatingActivities,,-469000000.0,-520000000.0,-174000000.0,-26000000.0
issuanceOfStock,,1215000000.0,3249000000.0,4000000.0,3000000.0
changeInCash,,-716000000.0,9162000000.0,-466000000.0,574000000.0
repurchaseOfStock,,-188000000.0,-12000000.0,-603000000.0,-1468000000.0
effectOfExchangeRate,,-13000000.0,53000000.0,-9000000.0,-1000000.0
totalCashFromOperatingActivities,,-4109000000.0,-6301000000.0,5475000000.0,5549000000.0
depreciation,,2233000000.0,2241000000.0,2160000000.0,2017000000.0
otherCashflowsFromInvestingActivities,,3000000.0,127000000.0,126000000.0,-19000000.0
changeToInventory,,-63000000.0,77000000.0,79000000.0,-67000000.0
changeToAccountReceivables,,-7000000.0,125000000.0,-114000000.0,-58000000.0
otherCashflowsFromFinancingActivities,,-871000000.0,-149000000.0,-87000000.0,-43000000.0
changeToNetincome,,2029000000.0,4761000000.0,91000000.0,16000000.0
capitalExpenditures,,-3607000000.0,-3620000000.0,-5429000000.0,-3749000000.0
dividendsPaid,,,-689000000.0,-1387000000.0,-1355000000.0
annualDilutedAverageShares,,1123000000.0,775000000.0,692000000.0,
