,2021,2020,2019,2018
intangibleAssets,332500000.0,195000000.0,177900000.0,187500000.0
capitalSurplus,2860000000.0,2606500000.0,2449100000.0,2325600000.0
totalLiab,4938700000.0,4603100000.0,4203400000.0,3632300000.0
totalStockholderEquity,2227500000.0,2098200000.0,1882300000.0,1615500000.0
deferredLongTermLiab,144500000.0,132900000.0,106400000.0,83500000.0
otherCurrentLiab,3568600000.0,3722200000.0,3219100000.0,2642900000.0
totalAssets,7166200000.0,6701300000.0,6085700000.0,5247800000.0
commonStock,1500000.0,1500000.0,1400000.0,1400000.0
otherCurrentAssets,3541100000.0,3761600000.0,3205300000.0,2603500000.0
retainedEarnings,-309200000.0,-233800000.0,-229800000.0,-335600000.0
otherLiab,39700000.0,45000000.0,135300000.0,199200000.0
goodWill,2323600000.0,2031800000.0,1973500000.0,1927400000.0
treasuryStock,-324800000.0,-276000000.0,-338400000.0,-375900000.0
otherAssets,208400000.0,187600000.0,150300000.0,94400000.0
cash,367500000.0,188200000.0,281300000.0,217800000.0
totalCurrentLiabilities,3741900000.0,3863900000.0,3371700000.0,2769600000.0
shortLongTermDebt,6800000.0,6800000.0,6800000.0,6800000.0
otherStockholderEquity,-324800000.0,-276000000.0,-338400000.0,-375900000.0
propertyPlantEquipment,157600000.0,164300000.0,160300000.0,104400000.0
totalCurrentAssets,4144100000.0,4122600000.0,3623700000.0,2934100000.0
netTangibleAssets,-428600000.0,-128600000.0,-269100000.0,-499400000.0
netReceivables,146300000.0,101100000.0,80400000.0,63900000.0
longTermDebt,1116300000.0,652200000.0,657900000.0,663500000.0
accountsPayable,51700000.0,38900000.0,43200000.0,41500000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-90300000.0,-20000000.0,34300000.0,-26900000.0
minorityInterest,,,,
netIncome,-75400000.0,-4000000.0,78700000.0,-60600000.0
sellingGeneralAdministrative,414500000.0,306800000.0,301100000.0,257500000.0
grossProfit,436000000.0,386000000.0,404600000.0,349200000.0
ebit,-29400000.0,38700000.0,67100000.0,57400000.0
operatingIncome,-29400000.0,38700000.0,67100000.0,57400000.0
otherOperatingExpenses,,,,
interestExpense,-35900000.0,-25100000.0,-32400000.0,-57500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-14900000.0,-16000000.0,-44400000.0,8400000.0
totalRevenue,1024200000.0,842500000.0,824100000.0,740700000.0
totalOperatingExpenses,1053600000.0,803800000.0,757000000.0,683300000.0
costOfRevenue,588200000.0,456500000.0,419500000.0,391500000.0
totalOtherIncomeExpenseNet,-60900000.0,-58700000.0,-32800000.0,-84300000.0
discontinuedOperations,,,,-25800000.0
netIncomeFromContinuingOps,-75400000.0,-4000000.0,78700000.0,-35300000.0
netIncomeApplicableToCommonShares,-75400000.0,-4000000.0,78700000.0,-68300000.0
investments,-275800000.0,156900000.0,-33900000.0,-10900000.0
changeToLiabilities,14800000.0,-2600000.0,4600000.0,600000.0
totalCashflowsFromInvestingActivities,-711100000.0,38800000.0,-119300000.0,-51100000.0
netBorrowings,554000000.0,-10000000.0,-7200000.0,-454000000.0
totalCashFromFinancingActivities,407500000.0,565300000.0,609700000.0,-1251600000.0
changeToOperatingActivities,-21400000.0,-142800000.0,-38600000.0,-53900000.0
issuanceOfStock,95400000.0,91700000.0,87000000.0,640800000.0
changeInCash,-275700000.0,569900000.0,552300000.0,-1305500000.0
effectOfExchangeRate,-20900000.0,-4000000.0,11300000.0,-12800000.0
totalCashFromOperatingActivities,48800000.0,-30200000.0,50600000.0,9500000.0
depreciation,40500000.0,21200000.0,28800000.0,30400000.0
changeToAccountReceivables,-34800000.0,-12000000.0,-16400000.0,-3600000.0
otherCashflowsFromFinancingActivities,-241900000.0,483600000.0,529900000.0,-1438400000.0
changeToNetincome,70800000.0,81900000.0,-24900000.0,59900000.0
capitalExpenditures,-11500000.0,-18100000.0,-16300000.0,-8000000.0
annualDilutedAverageShares,,,,
