,2021,2020,2019,2018
intangibleAssets,1628100000.0,445100000.0,594100000.0,712200000.0
capitalSurplus,3369500000.0,3204900000.0,3095300000.0,2996900000.0
totalLiab,12493700000.0,8047600000.0,7039100000.0,6192500000.0
totalStockholderEquity,705700000.0,1297100000.0,960300000.0,975200000.0
otherCurrentLiab,826000000.0,642900000.0,713500000.0,410300000.0
totalAssets,13199400000.0,9344700000.0,7999400000.0,7167700000.0
commonStock,1300000.0,1400000.0,1400000.0,1500000.0
retainedEarnings,-2570700000.0,-1813400000.0,-2018600000.0,-1892600000.0
otherLiab,457700000.0,124000000.0,133400000.0,206100000.0
goodWill,4382900000.0,2595900000.0,2553000000.0,2462800000.0
treasuryStock,-94400000.0,-95800000.0,-117800000.0,-130600000.0
otherAssets,358900000.0,43900000.0,23300000.0,27700000.0
cash,258100000.0,1410200000.0,154000000.0,205800000.0
totalCurrentLiabilities,5096000000.0,3898300000.0,3491400000.0,2803100000.0
shortLongTermDebt,102700000.0,70900000.0,34100000.0,25300000.0
otherStockholderEquity,-94400000.0,-95800000.0,-117800000.0,-130600000.0
propertyPlantEquipment,351400000.0,306300000.0,494900000.0,156100000.0
totalCurrentAssets,6478100000.0,5953500000.0,4334100000.0,3796800000.0
netTangibleAssets,-5305300000.0,-1743900000.0,-2186800000.0,-2199800000.0
netReceivables,5069600000.0,3631200000.0,3397300000.0,2987600000.0
longTermDebt,6755800000.0,3856300000.0,3283200000.0,3183300000.0
inventory,927600000.0,760000000.0,611200000.0,454300000.0
accountsPayable,3114200000.0,2088400000.0,1835000000.0,1577100000.0
longTermInvestments,,,,12100000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1297800000.0,1002300000.0,949700000.0,840500000.0
minorityInterest,,,,
netIncome,988600000.0,788500000.0,736800000.0,643000000.0
sellingGeneralAdministrative,2095200000.0,2026000000.0,1906300000.0,1719600000.0
grossProfit,3568500000.0,3210100000.0,3039900000.0,2706900000.0
ebit,1473300000.0,1184100000.0,1133600000.0,987300000.0
operatingIncome,1473300000.0,1184100000.0,1133600000.0,987300000.0
otherOperatingExpenses,,,,
interestExpense,-150900000.0,-154900000.0,-159400000.0,-148600000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,309200000.0,213800000.0,212900000.0,197500000.0
totalRevenue,20820800000.0,18467500000.0,18032400000.0,16240500000.0
totalOperatingExpenses,19347500000.0,17283400000.0,16898800000.0,15253200000.0
costOfRevenue,17252300000.0,15257400000.0,14992500000.0,13533600000.0
totalOtherIncomeExpenseNet,-175500000.0,-181800000.0,-183900000.0,-146800000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,988600000.0,788500000.0,736800000.0,643000000.0
netIncomeApplicableToCommonShares,988600000.0,788500000.0,736800000.0,643000000.0
investments,36000000.0,36000000.0,36000000.0,36000000.0
changeToLiabilities,374500000.0,253700000.0,194100000.0,271200000.0
totalCashflowsFromInvestingActivities,-2769600000.0,-201000000.0,-331400000.0,-86100000.0
netBorrowings,2605700000.0,719500000.0,110700000.0,-67400000.0
totalCashFromFinancingActivities,832800000.0,138800000.0,-749800000.0,-754800000.0
changeToOperatingActivities,-38300000.0,49000000.0,237400000.0,142500000.0
issuanceOfStock,69900000.0,49200000.0,34900000.0,34900000.0
changeInCash,-1152100000.0,1256200000.0,-51800000.0,61600000.0
repurchaseOfStock,-1528900000.0,-363100000.0,-678600000.0,-556200000.0
effectOfExchangeRate,100000.0,4100000.0,2200000.0,-3400000.0
totalCashFromOperatingActivities,784600000.0,1314300000.0,1027200000.0,905900000.0
depreciation,191200000.0,425600000.0,267100000.0,265600000.0
dividendsPaid,-234800000.0,-219600000.0,-183400000.0,-139400000.0
changeToInventory,-151000000.0,-71400000.0,-153000000.0,-46800000.0
changeToAccountReceivables,-616800000.0,-226400000.0,-244800000.0,-365100000.0
otherCashflowsFromFinancingActivities,-79100000.0,-47200000.0,-33400000.0,8200000.0
changeToNetincome,36400000.0,95300000.0,-10400000.0,-4500000.0
capitalExpenditures,-100000000.0,-158000000.0,-236300000.0,-86100000.0
annualDilutedAverageShares,140500000.0,144800000.0,147800000.0,153600000.0
