,2021,2020,2019,2018
intangibleAssets,735000000.0,319000000.0,312000000.0,310000000.0
capitalSurplus,333000000.0,257000000.0,254000000.0,233000000.0
totalLiab,7438000000.0,7014000000.0,6578000000.0,5934000000.0
totalStockholderEquity,4189000000.0,3526000000.0,2507000000.0,2984000000.0
minorityInterest,348000000.0,369000000.0,391000000.0,395000000.0
otherCurrentLiab,194000000.0,182000000.0,187000000.0,107000000.0
totalAssets,11975000000.0,10909000000.0,9476000000.0,9313000000.0
otherCurrentAssets,70000000.0,55000000.0,43000000.0,40000000.0
retainedEarnings,9677000000.0,8091000000.0,6399000000.0,5847000000.0
otherLiab,1557000000.0,1606000000.0,1194000000.0,1175000000.0
goodWill,1412000000.0,1166000000.0,1074000000.0,1057000000.0
treasuryStock,-5821000000.0,-4822000000.0,-4146000000.0,-3096000000.0
otherAssets,769000000.0,670000000.0,434000000.0,374000000.0
cash,536000000.0,955000000.0,463000000.0,439000000.0
totalCurrentLiabilities,2505000000.0,1973000000.0,1754000000.0,1779000000.0
deferredLongTermAssetCharges,248000000.0,259000000.0,96000000.0,84000000.0
shortLongTermDebt,502000000.0,482000000.0,2000000.0,325000000.0
otherStockholderEquity,-329000000.0,-328000000.0,-300000000.0,-247000000.0
propertyPlantEquipment,4429000000.0,4171000000.0,3916000000.0,3719000000.0
totalCurrentAssets,3807000000.0,3763000000.0,2765000000.0,2874000000.0
longTermInvestments,823000000.0,820000000.0,975000000.0,979000000.0
netTangibleAssets,2042000000.0,2041000000.0,1121000000.0,1617000000.0
shortTermInvestments,10000000.0,533000000.0,40000000.0,31000000.0
netReceivables,1667000000.0,1242000000.0,1181000000.0,1318000000.0
longTermDebt,3028000000.0,3056000000.0,3331000000.0,2855000000.0
inventory,1524000000.0,978000000.0,1038000000.0,1046000000.0
accountsPayable,1160000000.0,797000000.0,780000000.0,819000000.0
deferredLongTermLiab,,,,3000000.0
researchDevelopment,86000000.0,74000000.0,67000000.0,72000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2248000000.0,2251000000.0,988000000.0,1510000000.0
netIncome,1890000000.0,1985000000.0,852000000.0,1207000000.0
sellingGeneralAdministrative,527000000.0,464000000.0,502000000.0,606000000.0
grossProfit,2682000000.0,1293000000.0,1606000000.0,1972000000.0
ebit,2044000000.0,734000000.0,1013000000.0,1270000000.0
operatingIncome,2044000000.0,734000000.0,1013000000.0,1270000000.0
otherOperatingExpenses,,-1000000.0,114000000.0,114000000.0
interestExpense,-91000000.0,-109000000.0,-115000000.0,-125000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,330000000.0,247000000.0,124000000.0,292000000.0
totalRevenue,8537000000.0,5655000000.0,6297000000.0,7155000000.0
totalOperatingExpenses,6493000000.0,4921000000.0,5284000000.0,5885000000.0
costOfRevenue,5855000000.0,4362000000.0,4691000000.0,5183000000.0
totalOtherIncomeExpenseNet,204000000.0,1517000000.0,-25000000.0,240000000.0
discontinuedOperations,-22000000.0,-12000000.0,-6000000.0,-5000000.0
netIncomeFromContinuingOps,1918000000.0,2004000000.0,864000000.0,1218000000.0
netIncomeApplicableToCommonShares,1890000000.0,1985000000.0,852000000.0,1207000000.0
investments,516000000.0,1074000000.0,-16000000.0,-16000000.0
changeToLiabilities,353000000.0,-6000000.0,-59000000.0,15000000.0
totalCashflowsFromInvestingActivities,-1119000000.0,592000000.0,-493000000.0,-507000000.0
netBorrowings,404000000.0,-472000000.0,412000000.0,-40000000.0
totalCashFromFinancingActivities,-1042000000.0,-1471000000.0,-935000000.0,-1165000000.0
changeToOperatingActivities,-78000000.0,21000000.0,39000000.0,-57000000.0
changeInCash,-419000000.0,492000000.0,24000000.0,-137000000.0
repurchaseOfStock,-1000000000.0,-650000000.0,-996000000.0,-805000000.0
effectOfExchangeRate,-15000000.0,28000000.0,-2000000.0,-23000000.0
totalCashFromOperatingActivities,1757000000.0,1343000000.0,1454000000.0,1558000000.0
depreciation,375000000.0,353000000.0,356000000.0,343000000.0
otherCashflowsFromInvestingActivities,-53000000.0,-39000000.0,-17000000.0,-39000000.0
dividendsPaid,-304000000.0,-293000000.0,-300000000.0,-280000000.0
changeToInventory,-367000000.0,124000000.0,6000000.0,-158000000.0
changeToAccountReceivables,-396000000.0,141000000.0,165000000.0,-48000000.0
otherCashflowsFromFinancingActivities,-142000000.0,-56000000.0,-51000000.0,-40000000.0
changeToNetincome,-23000000.0,-1278000000.0,95000000.0,250000000.0
capitalExpenditures,-467000000.0,-364000000.0,-370000000.0,-337000000.0
annualDilutedAverageShares,112100000.0,118500000.0,124700000.0,135400000.0
