,2021,2020,2019,2018
intangibleAssets,202000000.0,249000000.0,336000000.0,371000000.0
totalLiab,36472000000.0,33418000000.0,33165000000.0,32048000000.0
totalStockholderEquity,11219000000.0,12399000000.0,13484000000.0,13204000000.0
minorityInterest,395000000.0,2277000000.0,2346000000.0,2304000000.0
otherCurrentLiab,2128000000.0,1724000000.0,1374000000.0,2244000000.0
totalAssets,48086000000.0,48094000000.0,48995000000.0,47556000000.0
commonStock,10482000000.0,9624000000.0,9566000000.0,9518000000.0
otherCurrentAssets,3056000000.0,2747000000.0,1473000000.0,2793000000.0
retainedEarnings,768000000.0,2805000000.0,3950000000.0,3724000000.0
otherLiab,22877000000.0,21534000000.0,20159000000.0,18392000000.0
treasuryStock,-31000000.0,-30000000.0,-32000000.0,-38000000.0
otherAssets,21914000000.0,20399000000.0,19002000000.0,17298000000.0
cash,504000000.0,226000000.0,303000000.0,750000000.0
totalCurrentLiabilities,7996000000.0,5219000000.0,7289000000.0,5769000000.0
deferredLongTermAssetCharges,32000000.0,6000000.0,12000000.0,21000000.0
shortLongTermDebt,1220000000.0,197000000.0,3182000000.0,906000000.0
otherStockholderEquity,-31000000.0,-30000000.0,-32000000.0,-38000000.0
propertyPlantEquipment,17815000000.0,20315000000.0,22299000000.0,20993000000.0
totalCurrentAssets,7981000000.0,6947000000.0,7076000000.0,8433000000.0
longTermInvestments,174000000.0,184000000.0,235000000.0,414000000.0
netTangibleAssets,11017000000.0,12150000000.0,13101000000.0,12786000000.0
shortTermInvestments,43000000.0,195000000.0,,
netReceivables,3090000000.0,2568000000.0,4038000000.0,3676000000.0
longTermDebt,4894000000.0,5890000000.0,4792000000.0,7887000000.0
inventory,1288000000.0,1211000000.0,1262000000.0,1214000000.0
accountsPayable,1757000000.0,1253000000.0,1692000000.0,1847000000.0
goodWill,,,47000000.0,47000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-84000000.0,648000000.0,1733000000.0,335000000.0
netIncome,-205000000.0,589000000.0,1125000000.0,370000000.0
sellingGeneralAdministrative,,,,
grossProfit,2745000000.0,3275000000.0,3297000000.0,3312000000.0
ebit,1220000000.0,1625000000.0,1472000000.0,1555000000.0
operatingIncome,1220000000.0,1625000000.0,1472000000.0,1555000000.0
otherOperatingExpenses,475000000.0,482000000.0,519000000.0,556000000.0
interestExpense,-297000000.0,-357000000.0,-429000000.0,-432000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-1000000.0,69000000.0,516000000.0,-108000000.0
totalRevenue,19649000000.0,17603000000.0,18924000000.0,20437000000.0
totalOperatingExpenses,18429000000.0,15978000000.0,17452000000.0,18882000000.0
costOfRevenue,16904000000.0,14328000000.0,15627000000.0,17125000000.0
totalOtherIncomeExpenseNet,-1304000000.0,-977000000.0,261000000.0,-1220000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,-83000000.0,579000000.0,1217000000.0,443000000.0
netIncomeApplicableToCommonShares,-205000000.0,589000000.0,1125000000.0,370000000.0
changeToLiabilities,346000000.0,-343000000.0,-248000000.0,376000000.0
totalCashflowsFromInvestingActivities,3282000000.0,1958000000.0,-1867000000.0,-2531000000.0
netBorrowings,1004000000.0,-924000000.0,-551000000.0,-80000000.0
totalCashFromFinancingActivities,-1695000000.0,-2664000000.0,-1460000000.0,-981000000.0
changeToOperatingActivities,-4253000000.0,-4253000000.0,-1204000000.0,-268000000.0
issuanceOfStock,64000000.0,64000000.0,41000000.0,155000000.0
changeInCash,249000000.0,-122000000.0,-454000000.0,349000000.0
totalCashFromOperatingActivities,-1338000000.0,584000000.0,2873000000.0,3861000000.0
depreciation,2706000000.0,2836000000.0,3009000000.0,2819000000.0
otherCashflowsFromInvestingActivities,3733000000.0,3659000000.0,-33000000.0,-225000000.0
dividendsPaid,-1832000000.0,-1734000000.0,-899000000.0,-1001000000.0
changeToInventory,-68000000.0,-77000000.0,-47000000.0,-12000000.0
changeToAccountReceivables,-616000000.0,1125000000.0,-186000000.0,-359000000.0
otherCashflowsFromFinancingActivities,-931000000.0,-70000000.0,-51000000.0,-55000000.0
changeToNetincome,496000000.0,521000000.0,122000000.0,1128000000.0
capitalExpenditures,-1329000000.0,-1747000000.0,-1845000000.0,-2242000000.0
annualDilutedAverageShares,326000000.0,326300000.0,326300000.0,326300000.0
