,2021,2020,2019,2018
intangibleAssets,45000000.0,104000000.0,110000000.0,115000000.0
capitalSurplus,1375000000.0,1317000000.0,1303000000.0,1368000000.0
totalLiab,6339000000.0,6420000000.0,6535000000.0,6930000000.0
totalStockholderEquity,3206000000.0,2922000000.0,2897000000.0,2958000000.0
minorityInterest,2830000000.0,2681000000.0,2740000000.0,2773000000.0
otherCurrentLiab,947000000.0,278000000.0,296000000.0,357000000.0
totalAssets,12375000000.0,12023000000.0,12172000000.0,12661000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,60000000.0,132000000.0,94000000.0,48000000.0
retainedEarnings,2088000000.0,1927000000.0,1958000000.0,2463000000.0
otherLiab,1280000000.0,1628000000.0,1720000000.0,1527000000.0
goodWill,2091000000.0,2374000000.0,2365000000.0,2353000000.0
treasuryStock,-259000000.0,-324000000.0,-366000000.0,-875000000.0
otherAssets,240000000.0,207000000.0,185000000.0,203000000.0
cash,1628000000.0,683000000.0,287000000.0,682000000.0
totalCurrentLiabilities,1432000000.0,906000000.0,665000000.0,705000000.0
otherStockholderEquity,-257000000.0,-320000000.0,-366000000.0,-371000000.0
propertyPlantEquipment,7324000000.0,7891000000.0,8450000000.0,8623000000.0
totalCurrentAssets,2593000000.0,1367000000.0,974000000.0,1274000000.0
longTermInvestments,82000000.0,80000000.0,88000000.0,93000000.0
netTangibleAssets,1070000000.0,444000000.0,422000000.0,490000000.0
netReceivables,497000000.0,265000000.0,242000000.0,235000000.0
longTermDebt,3465000000.0,3712000000.0,3957000000.0,4698000000.0
inventory,408000000.0,287000000.0,351000000.0,309000000.0
accountsPayable,110000000.0,85000000.0,78000000.0,101000000.0
shortLongTermDebt,,249000000.0,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1543000000.0,463000000.0,772000000.0,547000000.0
netIncome,917000000.0,317000000.0,493000000.0,290000000.0
sellingGeneralAdministrative,226000000.0,205000000.0,233000000.0,211000000.0
grossProfit,2387000000.0,827000000.0,1174000000.0,917000000.0
ebit,2238000000.0,633000000.0,936000000.0,724000000.0
operatingIncome,2238000000.0,633000000.0,936000000.0,724000000.0
otherOperatingExpenses,-77000000.0,-11000000.0,5000000.0,-18000000.0
interestExpense,-184000000.0,-179000000.0,-237000000.0,-241000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,283000000.0,31000000.0,126000000.0,119000000.0
totalRevenue,6538000000.0,4124000000.0,4590000000.0,4429000000.0
totalOperatingExpenses,4300000000.0,3491000000.0,3654000000.0,3705000000.0
costOfRevenue,4151000000.0,3297000000.0,3416000000.0,3512000000.0
totalOtherIncomeExpenseNet,-695000000.0,-170000000.0,-164000000.0,-177000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1260000000.0,432000000.0,646000000.0,428000000.0
netIncomeApplicableToCommonShares,917000000.0,317000000.0,493000000.0,290000000.0
investments,-1000000.0,6000000.0,6000000.0,10000000.0
changeToLiabilities,712000000.0,-4000000.0,-102000000.0,103000000.0
totalCashflowsFromInvestingActivities,-466000000.0,-299000000.0,-319000000.0,-375000000.0
netBorrowings,-518000000.0,-518000000.0,-769000000.0,-769000000.0
totalCashFromFinancingActivities,-1463000000.0,-542000000.0,-1583000000.0,-1270000000.0
changeToOperatingActivities,-71000000.0,-67000000.0,-82000000.0,-37000000.0
issuanceOfStock,64000000.0,5000000.0,19000000.0,12000000.0
changeInCash,945000000.0,396000000.0,-395000000.0,-153000000.0
repurchaseOfStock,-550000000.0,-110000000.0,-374000000.0,-471000000.0
effectOfExchangeRate,1000000.0,6000000.0,2000000.0,-5000000.0
totalCashFromOperatingActivities,2873000000.0,1231000000.0,1505000000.0,1497000000.0
depreciation,888000000.0,892000000.0,875000000.0,888000000.0
otherCashflowsFromInvestingActivities,48000000.0,2000000.0,15000000.0,11000000.0
dividendsPaid,-260000000.0,-258000000.0,-265000000.0,-280000000.0
changeToInventory,-123000000.0,27000000.0,-26000000.0,-52000000.0
changeToAccountReceivables,-235000000.0,-19000000.0,-6000000.0,68000000.0
otherCashflowsFromFinancingActivities,-199000000.0,-179000000.0,-194000000.0,-531000000.0
changeToNetincome,691000000.0,77000000.0,331000000.0,229000000.0
capitalExpenditures,-514000000.0,-309000000.0,-404000000.0,-422000000.0
annualDilutedAverageShares,216200000.0,215200000.0,221600000.0,233800000.0
