,2021,2020,2019,2018
intangibleAssets,1893000000.0,1616000000.0,1610000000.0,1104000000.0
capitalSurplus,19005000000.0,18940000000.0,18891000000.0,18815000000.0
totalLiab,164989000000.0,160676000000.0,143532000000.0,139701000000.0
totalStockholderEquity,21406000000.0,20708000000.0,20631000000.0,19977000000.0
totalAssets,188409000000.0,183349000000.0,165733000000.0,160518000000.0
commonStock,6000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,3974000000.0,4507000000.0,5983000000.0,4313000000.0
retainedEarnings,7978000000.0,6445000000.0,6498000000.0,5385000000.0
otherLiab,2625000000.0,4795000000.0,3057000000.0,2592000000.0
goodWill,7116000000.0,7050000000.0,7044000000.0,6923000000.0
treasuryStock,-5583000000.0,-4683000000.0,-4764000000.0,-4229000000.0
otherAssets,132486000000.0,125396000000.0,121675000000.0,119640000000.0
cash,9158000000.0,12733000000.0,1286000000.0,1081000000.0
totalCurrentLiabilities,156806000000.0,148888000000.0,128207000000.0,122676000000.0
shortLongTermDebt,2017000000.0,1353000000.0,2500000000.0,1492000000.0
otherStockholderEquity,-665000000.0,-60000000.0,-411000000.0,-1096000000.0
propertyPlantEquipment,1534000000.0,1559000000.0,1460000000.0,791000000.0
totalCurrentAssets,14664000000.0,19461000000.0,8373000000.0,5893000000.0
longTermInvestments,30716000000.0,28267000000.0,25571000000.0,26167000000.0
netTangibleAssets,13426000000.0,12700000000.0,12619000000.0,12171000000.0
shortTermInvestments,316000000.0,306000000.0,297000000.0,148000000.0
longTermDebt,4915000000.0,6993000000.0,11547000000.0,14433000000.0
accountsPayable,154361000000.0,147164000000.0,125313000000.0,119575000000.0
inventory,,,,34000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2977000000.0,1298000000.0,2251000000.0,2183000000.0
minorityInterest,,,,
netIncome,2319000000.0,1057000000.0,1791000000.0,1721000000.0
sellingGeneralAdministrative,3781000000.0,3672000000.0,3483000000.0,3253000000.0
grossProfit,7058000000.0,5289000000.0,6098000000.0,5802000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,2977000000.0,1298000000.0,2251000000.0,2183000000.0
otherOperatingExpenses,300000000.0,319000000.0,364000000.0,366000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,658000000.0,241000000.0,460000000.0,462000000.0
totalRevenue,7058000000.0,5289000000.0,6098000000.0,5802000000.0
totalOperatingExpenses,4081000000.0,3991000000.0,3847000000.0,3619000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,0.0,0.0,0.0,-54000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2319000000.0,1057000000.0,1791000000.0,1721000000.0
netIncomeApplicableToCommonShares,2206000000.0,950000000.0,1718000000.0,1692000000.0
investments,-2810000000.0,-855000000.0,789000000.0,552000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-10486000000.0,-6136000000.0,-3875000000.0,-7077000000.0
netBorrowings,-1506000000.0,-5738000000.0,-3055000000.0,2796000000.0
totalCashFromFinancingActivities,4636000000.0,15372000000.0,1490000000.0,6352000000.0
changeToOperatingActivities,-962000000.0,-2978000000.0,-522000000.0,-914000000.0
changeInCash,-3575000000.0,9347000000.0,-688000000.0,1042000000.0
repurchaseOfStock,-317000000.0,-286000000.0,-1241000000.0,-1038000000.0
totalCashFromOperatingActivities,2275000000.0,111000000.0,1697000000.0,1767000000.0
depreciation,390000000.0,363000000.0,439000000.0,300000000.0
otherCashflowsFromInvestingActivities,-1366000000.0,-65000000.0,-106000000.0,-419000000.0
dividendsPaid,-783000000.0,-770000000.0,-682000000.0,-485000000.0
otherCashflowsFromFinancingActivities,7196000000.0,21771000000.0,5738000000.0,4486000000.0
changeToNetincome,293000000.0,1454000000.0,-205000000.0,471000000.0
capitalExpenditures,-124000000.0,-118000000.0,-95000000.0,-232000000.0
annualDilutedAverageShares,427435818.0,428157780.0,451213701.0,480430741.0
