,2021,2020,2019,2018
intangibleAssets,3494300000.0,3110200000.0,2750000000.0,2274000000.0
capitalSurplus,310300000.0,274400000.0,295500000.0,280800000.0
totalLiab,4763300000.0,4394100000.0,3989600000.0,3615400000.0
totalStockholderEquity,3233200000.0,3020400000.0,2667800000.0,2453800000.0
otherCurrentLiab,3300000.0,12700000.0,7500000.0,2900000.0
totalAssets,7996500000.0,7414500000.0,6657400000.0,6069200000.0
commonStock,292800000.0,292800000.0,292800000.0,292800000.0
otherCurrentAssets,51900000.0,35100000.0,26900000.0,33400000.0
retainedEarnings,5366000000.0,4786000000.0,4237400000.0,3832600000.0
otherLiab,930800000.0,1024700000.0,913600000.0,773300000.0
goodWill,2274500000.0,2229600000.0,2079500000.0,1992900000.0
treasuryStock,-2735900000.0,-2332800000.0,-2157900000.0,-1952400000.0
otherAssets,173100000.0,158800000.0,138100000.0,117400000.0
cash,240600000.0,183100000.0,155700000.0,316700000.0
totalCurrentLiabilities,2075200000.0,1388600000.0,1092300000.0,1326300000.0
shortLongTermDebt,741000000.0,,,596500000.0
otherStockholderEquity,-68200000.0,-77600000.0,-66700000.0,-53600000.0
propertyPlantEquipment,812100000.0,794400000.0,723700000.0,598200000.0
totalCurrentAssets,1233400000.0,1112400000.0,956400000.0,1078200000.0
longTermInvestments,9100000.0,9100000.0,9700000.0,8500000.0
netTangibleAssets,-2535600000.0,-2319400000.0,-2161700000.0,-1813100000.0
netReceivables,405500000.0,398800000.0,356400000.0,345300000.0
longTermDebt,1610700000.0,1812500000.0,1839700000.0,1515800000.0
inventory,535400000.0,495400000.0,417400000.0,382800000.0
accountsPayable,663800000.0,588100000.0,473300000.0,430200000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1031700000.0,973800000.0,773700000.0,719500000.0
minorityInterest,,,,
netIncome,827500000.0,785900000.0,615900000.0,568600000.0
sellingGeneralAdministrative,1282400000.0,1278500000.0,1142600000.0,1056600000.0
grossProfit,2263500000.0,2214200000.0,1984000000.0,1840800000.0
ebit,981100000.0,935700000.0,841400000.0,784200000.0
operatingIncome,981100000.0,935700000.0,841400000.0,784200000.0
otherOperatingExpenses,,,,
interestExpense,-54500000.0,-61000000.0,-73600000.0,-79400000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,204200000.0,187900000.0,157800000.0,150900000.0
totalRevenue,5190100000.0,4895800000.0,4357700000.0,4145900000.0
totalOperatingExpenses,4209000000.0,3960100000.0,3516300000.0,3361700000.0
costOfRevenue,2926600000.0,2681600000.0,2373700000.0,2305100000.0
totalOtherIncomeExpenseNet,50600000.0,38100000.0,-67700000.0,-64700000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,827500000.0,785900000.0,615900000.0,568600000.0
netIncomeApplicableToCommonShares,827500000.0,785900000.0,615900000.0,568600000.0
changeToLiabilities,47500000.0,168000000.0,72800000.0,54900000.0
totalCashflowsFromInvestingActivities,-682000000.0,-608100000.0,-553500000.0,-112100000.0
netBorrowings,400700000.0,99000000.0,-49000000.0,-268800000.0
totalCashFromFinancingActivities,-252100000.0,-360100000.0,-472900000.0,-609000000.0
changeToOperatingActivities,-22100000.0,-45600000.0,-1300000.0,23700000.0
issuanceOfStock,98700000.0,93000000.0,52800000.0,76600000.0
changeInCash,57500000.0,27400000.0,-161000000.0,37800000.0
repurchaseOfStock,-500000000.0,-300000000.0,-250000000.0,-200000000.0
effectOfExchangeRate,-2200000.0,5300000.0,900000.0,-4700000.0
totalCashFromOperatingActivities,993800000.0,990300000.0,864500000.0,763600000.0
depreciation,219100000.0,189700000.0,176400000.0,141100000.0
otherCashflowsFromInvestingActivities,-7200000.0,-3500000.0,-4800000.0,-1900000.0
dividendsPaid,-247500000.0,-237300000.0,-224100000.0,-213300000.0
changeToInventory,-29100000.0,-61900000.0,-33800000.0,-55100000.0
changeToAccountReceivables,2400000.0,-13400000.0,-9200000.0,-3400000.0
otherCashflowsFromFinancingActivities,-4000000.0,-14800000.0,-2600000.0,-3500000.0
changeToNetincome,-35500000.0,-44600000.0,40300000.0,39900000.0
capitalExpenditures,-118800000.0,-98900000.0,-73700000.0,-60400000.0
annualDilutedAverageShares,249600000.0,252200000.0,252100000.0,250700000.0
