,2021,2020,2019,2018
intangibleAssets,159718000.0,173524000.0,142693000.0,143497000.0
capitalSurplus,673628000.0,566022000.0,546646000.0,521486000.0
totalLiab,5006178000.0,3264325000.0,2970330000.0,2832325000.0
totalStockholderEquity,2021934000.0,1879933000.0,1670730000.0,1595087000.0
otherCurrentLiab,206093000.0,131965000.0,90585000.0,120444000.0
totalAssets,7028112000.0,5144258000.0,4641060000.0,4427412000.0
commonStock,12919000.0,13430000.0,13490000.0,13728000.0
otherCurrentAssets,35000000.0,,,
retainedEarnings,4936861000.0,4372833000.0,4144834000.0,3845593000.0
otherLiab,44818000.0,62720000.0,62400000.0,57650000.0
goodWill,1484754000.0,1487187000.0,1291760000.0,1258922000.0
treasuryStock,-3601474000.0,-3072352000.0,-3034240000.0,-2785720000.0
otherAssets,147097000.0,43112000.0,47206000.0,43618000.0
cash,257413000.0,243796000.0,447858000.0,378615000.0
totalCurrentLiabilities,3326342000.0,1839732000.0,1556038000.0,1433323000.0
deferredLongTermAssetCharges,124900000.0,18640000.0,13485000.0,9993000.0
shortLongTermDebt,525000000.0,,142885000.0,
otherStockholderEquity,-61134000.0,-45998000.0,-76149000.0,-71935000.0
propertyPlantEquipment,432390000.0,498734000.0,519283000.0,228301000.0
totalCurrentAssets,4804153000.0,2941701000.0,2640118000.0,2753074000.0
netTangibleAssets,377462000.0,219222000.0,236277000.0,192668000.0
netReceivables,4417147000.0,2646753000.0,2107255000.0,2322073000.0
longTermDebt,1393649000.0,1093301000.0,1092448000.0,1341352000.0
accountsPayable,1813473000.0,1195099000.0,984604000.0,971023000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1022291000.0,628331000.0,742257000.0,880273000.0
minorityInterest,,,,
netIncome,844245000.0,506421000.0,576968000.0,664505000.0
sellingGeneralAdministrative,526371000.0,496122000.0,497806000.0,449610000.0
grossProfit,1608479000.0,1169390000.0,1287782000.0,1361693000.0
ebit,1082108000.0,673268000.0,789976000.0,912083000.0
operatingIncome,1082108000.0,673268000.0,789976000.0,912083000.0
otherOperatingExpenses,,,,
interestExpense,-52100000.0,-48237000.0,-47719000.0,-31810000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,178046000.0,121910000.0,165289000.0,215768000.0
totalRevenue,23102138000.0,16207106000.0,15309508000.0,16631172000.0
totalOperatingExpenses,22020030000.0,15533838000.0,14519532000.0,15719089000.0
costOfRevenue,21493659000.0,15037716000.0,14021726000.0,15269479000.0
totalOtherIncomeExpenseNet,-59817000.0,-44937000.0,-47719000.0,-31810000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,844245000.0,506421000.0,576968000.0,664505000.0
netIncomeApplicableToCommonShares,844245000.0,506421000.0,576968000.0,664505000.0
changeToLiabilities,660028000.0,180272000.0,-17968000.0,36083000.0
totalCashflowsFromInvestingActivities,-85672000.0,-271714000.0,-113029000.0,-72808000.0
netBorrowings,822701000.0,-143000000.0,-112000000.0,-118988000.0
totalCashFromFinancingActivities,7573000.0,-440667000.0,-651253000.0,-655177000.0
changeToOperatingActivities,212779000.0,150647000.0,-76674000.0,96785000.0
issuanceOfStock,70669000.0,107657000.0,63092000.0,51285000.0
changeInCash,13617000.0,-204062000.0,69243000.0,44725000.0
repurchaseOfStock,-608476000.0,-195368000.0,-324559000.0,-322255000.0
effectOfExchangeRate,-3239000.0,9128000.0,-1894000.0,-20186000.0
totalCashFromOperatingActivities,94955000.0,499191000.0,835419000.0,792896000.0
depreciation,65284000.0,79115000.0,83426000.0,82041000.0
dividendsPaid,-277321000.0,-209956000.0,-277786000.0,-265219000.0
changeToAccountReceivables,-1805273000.0,-517599000.0,235073000.0,-201919000.0
changeToNetincome,19252000.0,25807000.0,30207000.0,79537000.0
capitalExpenditures,-34197000.0,-23133000.0,-36290000.0,-45000000.0
otherCashflowsFromInvestingActivities,,5525000.0,16636000.0,-3622000.0
annualDilutedAverageShares,133834000.0,136173000.0,137735000.0,140405000.0
