,2021,2020,2019,2018
intangibleAssets,72263000000.0,73821000000.0,75217000000.0,77360000000.0
capitalSurplus,26725000000.0,29000000000.0,31405000000.0,33507000000.0
totalLiab,124335000000.0,113925000000.0,109377000000.0,101858000000.0
totalStockholderEquity,14050000000.0,23805000000.0,31445000000.0,36285000000.0
minorityInterest,4106000000.0,6476000000.0,7366000000.0,7987000000.0
deferredLongTermLiab,496000000.0,458000000.0,427000000.0,415000000.0
otherCurrentLiab,4860000000.0,4620000000.0,4938000000.0,4960000000.0
totalAssets,142491000000.0,144206000000.0,148188000000.0,146130000000.0
retainedEarnings,-12675000000.0,-5195000000.0,40000000.0,2780000000.0
otherLiab,22067000000.0,21133000000.0,20373000000.0,20226000000.0
goodWill,29562000000.0,29554000000.0,29554000000.0,29554000000.0
otherAssets,1281000000.0,1038000000.0,933000000.0,884000000.0
cash,601000000.0,1001000000.0,3483000000.0,551000000.0
totalCurrentLiabilities,12458000000.0,9875000000.0,12385000000.0,12095000000.0
shortLongTermDebt,2997000000.0,1008000000.0,3500000000.0,3290000000.0
propertyPlantEquipment,35616000000.0,35571000000.0,35683000000.0,35126000000.0
totalCurrentAssets,3566000000.0,3909000000.0,6471000000.0,2730000000.0
longTermInvestments,203000000.0,313000000.0,330000000.0,476000000.0
netTangibleAssets,-87775000000.0,-79570000000.0,-73326000000.0,-70629000000.0
netReceivables,2579000000.0,2539000000.0,2227000000.0,1733000000.0
longTermDebt,88564000000.0,81744000000.0,75578000000.0,69537000000.0
accountsPayable,724000000.0,763000000.0,786000000.0,758000000.0
commonStock,,,,36285000000.0
treasuryStock,,,,-2000000.0
otherStockholderEquity,,,,-2000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6388000000.0,4302000000.0,2431000000.0,1686000000.0
netIncome,4654000000.0,3222000000.0,1668000000.0,1230000000.0
sellingGeneralAdministrative,2766000000.0,3097000000.0,3113000000.0,2850000000.0
grossProfit,23271000000.0,21198000000.0,19584000000.0,18816000000.0
ebit,11160000000.0,8397000000.0,6545000000.0,5648000000.0
operatingIncome,11160000000.0,8397000000.0,6545000000.0,5648000000.0
otherOperatingExpenses,,,,235000000.0
interestExpense,-4037000000.0,-3848000000.0,-3797000000.0,-3540000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1068000000.0,626000000.0,439000000.0,180000000.0
totalRevenue,51682000000.0,48097000000.0,45764000000.0,43634000000.0
totalOperatingExpenses,40522000000.0,39700000000.0,39219000000.0,37986000000.0
costOfRevenue,28411000000.0,26899000000.0,26180000000.0,24818000000.0
totalOtherIncomeExpenseNet,-4772000000.0,-4095000000.0,-4114000000.0,-3962000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5320000000.0,3676000000.0,1992000000.0,1506000000.0
netIncomeApplicableToCommonShares,4654000000.0,3222000000.0,1668000000.0,1230000000.0
changeToLiabilities,362000000.0,291000000.0,-103000000.0,125000000.0
totalCashflowsFromInvestingActivities,-7754000000.0,-8157000000.0,-7331000000.0,-9736000000.0
netBorrowings,8960000000.0,3780000000.0,6376000000.0,3393000000.0
totalCashFromFinancingActivities,-8885000000.0,-8953000000.0,-1633000000.0,-1887000000.0
changeToOperatingActivities,-167000000.0,-31000000.0,-196000000.0,-270000000.0
issuanceOfStock,44000000.0,207000000.0,118000000.0,69000000.0
changeInCash,-400000000.0,-2548000000.0,2784000000.0,144000000.0
repurchaseOfStock,-15431000000.0,-11217000000.0,-6873000000.0,-4399000000.0
totalCashFromOperatingActivities,16239000000.0,14562000000.0,11748000000.0,11767000000.0
depreciation,9345000000.0,9704000000.0,9926000000.0,10318000000.0
otherCashflowsFromInvestingActivities,9000000.0,-95000000.0,12000000.0,-590000000.0
changeToAccountReceivables,-35000000.0,-67000000.0,-706000000.0,-98000000.0
otherCashflowsFromFinancingActivities,-2458000000.0,-1723000000.0,-1254000000.0,-950000000.0
changeToNetincome,2080000000.0,1443000000.0,1159000000.0,462000000.0
capitalExpenditures,-7635000000.0,-7415000000.0,-7195000000.0,-9125000000.0
annualDilutedAverageShares,193042948.0,209273247.0,223786380.0,235525226.0
