,2021,2020,2019,2018
intangibleAssets,34779000000.0,41577000000.0,39520000000.0,45103000000.0
capitalSurplus,29574000000.0,28975000000.0,28306000000.0,27751000000.0
totalLiab,107705000000.0,105065000000.0,110395000000.0,112154000000.0
totalStockholderEquity,47112000000.0,50321000000.0,45338000000.0,41028000000.0
minorityInterest,72000000.0,65000000.0,41000000.0,44000000.0
otherCurrentLiab,7774000000.0,1712000000.0,8025000000.0,1430000000.0
totalAssets,154889000000.0,155451000000.0,155774000000.0,153226000000.0
commonStock,4000000.0,4000000.0,4000000.0,4000000.0
otherCurrentAssets,11340000000.0,930000000.0,10912000000.0,1236000000.0
retainedEarnings,32593000000.0,28575000000.0,20162000000.0,15088000000.0
otherLiab,32572000000.0,39007000000.0,37899000000.0,40736000000.0
goodWill,45811000000.0,44648000000.0,44602000000.0,44505000000.0
treasuryStock,-15059000000.0,-7233000000.0,-3134000000.0,-1815000000.0
otherAssets,15557000000.0,19191000000.0,15312000000.0,18936000000.0
cash,5081000000.0,10182000000.0,4619000000.0,3855000000.0
totalCurrentLiabilities,43572000000.0,36022000000.0,40138000000.0,31895000000.0
otherStockholderEquity,-884000000.0,-861000000.0,-941000000.0,-1711000000.0
propertyPlantEquipment,4170000000.0,1744000000.0,4953000000.0,1283000000.0
totalCurrentAssets,36134000000.0,27786000000.0,29845000000.0,20398000000.0
longTermInvestments,18438000000.0,20505000000.0,21542000000.0,23001000000.0
netTangibleAssets,-32801000000.0,-32519000000.0,-35826000000.0,-45759000000.0
shortTermInvestments,920000000.0,1318000000.0,937000000.0,2013000000.0
netReceivables,15071000000.0,12191000000.0,10716000000.0,10473000000.0
longTermDebt,31097000000.0,29509000000.0,31832000000.0,39523000000.0
inventory,3722000000.0,3165000000.0,2661000000.0,2821000000.0
accountsPayable,27282000000.0,23648000000.0,20465000000.0,21521000000.0
shortLongTermDebt,,,4192000000.0,1112000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6782000000.0,10868000000.0,6570000000.0,3581000000.0
netIncome,5365000000.0,8458000000.0,5104000000.0,2637000000.0
sellingGeneralAdministrative,12809000000.0,13660000000.0,13315000000.0,11141000000.0
grossProfit,23159000000.0,24356000000.0,25256000000.0,16248000000.0
ebit,8352000000.0,8714000000.0,8992000000.0,4872000000.0
operatingIncome,8352000000.0,8714000000.0,8992000000.0,4872000000.0
otherOperatingExpenses,,,,
interestExpense,-1300000000.0,-1400000000.0,-1600000000.0,-280000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1367000000.0,2379000000.0,1450000000.0,935000000.0
totalRevenue,174274000000.0,160550000000.0,153743000000.0,48569000000.0
totalOperatingExpenses,165922000000.0,151836000000.0,144751000000.0,43697000000.0
costOfRevenue,151115000000.0,136194000000.0,128487000000.0,32321000000.0
totalOtherIncomeExpenseNet,-1570000000.0,2154000000.0,-2422000000.0,-1291000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5415000000.0,8489000000.0,5120000000.0,2646000000.0
netIncomeApplicableToCommonShares,5365000000.0,8458000000.0,5104000000.0,2637000000.0
investments,-513000000.0,-1312000000.0,588000000.0,-1286000000.0
changeToLiabilities,-77000000.0,1346000000.0,1343000000.0,332000000.0
totalCashflowsFromInvestingActivities,-3611000000.0,2976000000.0,-734000000.0,-26378000000.0
netBorrowings,521000000.0,-4736000000.0,-5175000000.0,24212000000.0
totalCashFromFinancingActivities,-8212000000.0,-8533000000.0,-7187000000.0,23515000000.0
changeToOperatingActivities,2605000000.0,4252000000.0,423000000.0,-481000000.0
issuanceOfStock,326000000.0,376000000.0,224000000.0,68000000.0
changeInCash,-5122000000.0,4834000000.0,813000000.0,883000000.0
repurchaseOfStock,-7742000000.0,-4042000000.0,-1987000000.0,-342000000.0
effectOfExchangeRate,-65000000.0,41000000.0,-8000000.0,-24000000.0
totalCashFromOperatingActivities,7191000000.0,10350000000.0,9485000000.0,3770000000.0
depreciation,1801000000.0,1803000000.0,2767000000.0,356000000.0
otherCashflowsFromInvestingActivities,97000000.0,23000000.0,-11000000.0,-12000000.0
dividendsPaid,-1341000000.0,-15000000.0,-15000000.0,-15000000.0
changeToInventory,-557000000.0,-504000000.0,149000000.0,-107000000.0
changeToAccountReceivables,-2843000000.0,-1496000000.0,-713000000.0,705000000.0
otherCashflowsFromFinancingActivities,24000000.0,-116000000.0,-234000000.0,-423000000.0
changeToNetincome,-225000000.0,-4508000000.0,-472000000.0,-11000000.0
capitalExpenditures,-1154000000.0,-1094000000.0,-1050000000.0,-528000000.0
annualDilutedAverageShares,,,,
