,2021,2020,2019,2018
intangibleAssets,905000000.0,805000000.0,774000000.0,738000000.0
capitalSurplus,1356000000.0,1328000000.0,1306000000.0,1281000000.0
totalLiab,18282000000.0,16753000000.0,15544000000.0,14102000000.0
totalStockholderEquity,13105000000.0,10789000000.0,9864000000.0,7833000000.0
otherCurrentLiab,3393000000.0,2960000000.0,2788000000.0,2516000000.0
totalAssets,31387000000.0,27542000000.0,25408000000.0,21935000000.0
commonStock,397000000.0,397000000.0,397000000.0,397000000.0
otherCurrentAssets,749000000.0,815000000.0,907000000.0,616000000.0
retainedEarnings,12625000000.0,10085000000.0,9257000000.0,7625000000.0
otherLiab,11365000000.0,12894000000.0,11871000000.0,10720000000.0
treasuryStock,-1273000000.0,-1021000000.0,-1096000000.0,-1470000000.0
otherAssets,1532000000.0,1397000000.0,1279000000.0,1140000000.0
cash,1139000000.0,900000000.0,767000000.0,784000000.0
totalCurrentLiabilities,6092000000.0,3014000000.0,2827000000.0,2548000000.0
otherStockholderEquity,648000000.0,769000000.0,448000000.0,22000000.0
propertyPlantEquipment,205000000.0,213000000.0,207000000.0,195000000.0
totalCurrentAssets,4117000000.0,3754000000.0,3582000000.0,3159000000.0
longTermInvestments,24628000000.0,21373000000.0,19566000000.0,16703000000.0
netTangibleAssets,13105000000.0,10789000000.0,9864000000.0,7833000000.0
netReceivables,2151000000.0,1974000000.0,1854000000.0,1715000000.0
longTermDebt,789000000.0,788000000.0,789000000.0,788000000.0
accountsPayable,2627000000.0,,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3670000000.0,1499000000.0,2472000000.0,251000000.0
minorityInterest,,,,
netIncome,2946000000.0,1216000000.0,1997000000.0,287000000.0
sellingGeneralAdministrative,,,,
grossProfit,3827000000.0,1658000000.0,2634000000.0,395000000.0
ebit,3723000000.0,1553000000.0,2525000000.0,304000000.0
operatingIncome,3723000000.0,1553000000.0,2525000000.0,304000000.0
otherOperatingExpenses,104000000.0,105000000.0,109000000.0,91000000.0
interestExpense,-53000000.0,-54000000.0,-53000000.0,-53000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,724000000.0,283000000.0,475000000.0,-36000000.0
totalRevenue,9630000000.0,7536000000.0,7924000000.0,5407000000.0
totalOperatingExpenses,5907000000.0,5983000000.0,5399000000.0,5103000000.0
costOfRevenue,5803000000.0,5878000000.0,5290000000.0,5012000000.0
totalOtherIncomeExpenseNet,-53000000.0,-54000000.0,-53000000.0,-53000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2946000000.0,1216000000.0,1997000000.0,287000000.0
netIncomeApplicableToCommonShares,2946000000.0,1216000000.0,1997000000.0,287000000.0
investments,-1040000000.0,-525000000.0,-650000000.0,-423000000.0
changeToLiabilities,311000000.0,172000000.0,184000000.0,112000000.0
totalCashflowsFromInvestingActivities,-1057000000.0,-560000000.0,-679000000.0,-451000000.0
totalCashFromFinancingActivities,-685000000.0,-798000000.0,-546000000.0,-603000000.0
changeToOperatingActivities,694000000.0,642000000.0,260000000.0,483000000.0
issuanceOfStock,13000000.0,7000000.0,11000000.0,9000000.0
changeInCash,239000000.0,133000000.0,-17000000.0,127000000.0
repurchaseOfStock,-144000000.0,-261000000.0,-67000000.0,-125000000.0
totalCashFromOperatingActivities,1981000000.0,1491000000.0,1208000000.0,1181000000.0
depreciation,93000000.0,81000000.0,72000000.0,63000000.0
dividendsPaid,-395000000.0,-375000000.0,-355000000.0,-336000000.0
changeToAccountReceivables,-240000000.0,-23000000.0,-174000000.0,-109000000.0
otherCashflowsFromFinancingActivities,-159000000.0,-184000000.0,-142000000.0,-159000000.0
changeToNetincome,-1798000000.0,-641000000.0,-1223000000.0,436000000.0
capitalExpenditures,-15000000.0,-20000000.0,-24000000.0,-20000000.0
netBorrowings,,15000000.0,7000000.0,8000000.0
annualDilutedAverageShares,162700000.0,162400000.0,165100000.0,164500000.0
