,2021,2020,2019,2018
intangibleAssets,2462000000.0,2894000000.0,2667000000.0,1637000000.0
capitalSurplus,3269000000.0,2969000000.0,2488000000.0,2204000000.0
totalLiab,14069000000.0,14819000000.0,14476000000.0,11964000000.0
totalStockholderEquity,609000000.0,743000000.0,117000000.0,-102000000.0
minorityInterest,362000000.0,358000000.0,441000000.0,299000000.0
otherCurrentLiab,449000000.0,517000000.0,471000000.0,567000000.0
totalAssets,15040000000.0,15920000000.0,15034000000.0,12161000000.0
commonStock,1466000000.0,1466000000.0,1466000000.0,1466000000.0
otherCurrentAssets,537000000.0,476000000.0,433000000.0,407000000.0
retainedEarnings,24350000000.0,23699000000.0,22501000000.0,21615000000.0
otherLiab,2352000000.0,2605000000.0,2614000000.0,2261000000.0
goodWill,3284000000.0,3824000000.0,3508000000.0,2530000000.0
treasuryStock,-28476000000.0,-27391000000.0,-26338000000.0,-25387000000.0
otherAssets,556000000.0,552000000.0,374000000.0,274000000.0
cash,832000000.0,888000000.0,883000000.0,726000000.0
totalCurrentLiabilities,4051000000.0,4404000000.0,4038000000.0,3341000000.0
deferredLongTermAssetCharges,193000000.0,291000000.0,177000000.0,152000000.0
shortLongTermDebt,12000000.0,9000000.0,254000000.0,1000000.0
otherStockholderEquity,-4387000000.0,-4346000000.0,-4275000000.0,-4191000000.0
propertyPlantEquipment,4257000000.0,4237000000.0,4252000000.0,3881000000.0
totalCurrentAssets,4397000000.0,4338000000.0,4179000000.0,3793000000.0
longTermInvestments,84000000.0,75000000.0,54000000.0,46000000.0
netTangibleAssets,-5137000000.0,-5975000000.0,-6058000000.0,-4269000000.0
shortTermInvestments,34000000.0,37000000.0,23000000.0,10000000.0
netReceivables,1297000000.0,1264000000.0,1440000000.0,1400000000.0
longTermDebt,7171000000.0,7300000000.0,7313000000.0,6362000000.0
inventory,1692000000.0,1673000000.0,1400000000.0,1250000000.0
accountsPayable,1479000000.0,1393000000.0,1237000000.0,1222000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3087000000.0,3647000000.0,3301000000.0,3464000000.0
netIncome,2166000000.0,2695000000.0,2367000000.0,2400000000.0
sellingGeneralAdministrative,6477000000.0,6096000000.0,5616000000.0,5434000000.0
grossProfit,10375000000.0,10021000000.0,9336000000.0,9262000000.0
ebit,3831000000.0,3789000000.0,3644000000.0,3759000000.0
operatingIncome,3831000000.0,3789000000.0,3644000000.0,3759000000.0
otherOperatingExpenses,67000000.0,136000000.0,76000000.0,69000000.0
interestExpense,-192000000.0,-183000000.0,-192000000.0,-193000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,749000000.0,787000000.0,774000000.0,906000000.0
totalRevenue,17421000000.0,16471000000.0,15693000000.0,15544000000.0
totalOperatingExpenses,13590000000.0,12682000000.0,12049000000.0,11785000000.0
costOfRevenue,7046000000.0,6450000000.0,6357000000.0,6282000000.0
totalOtherIncomeExpenseNet,-744000000.0,-142000000.0,-343000000.0,-295000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2338000000.0,2860000000.0,2527000000.0,2558000000.0
netIncomeApplicableToCommonShares,2166000000.0,2695000000.0,2367000000.0,2400000000.0
changeToLiabilities,14000000.0,520000000.0,36000000.0,18000000.0
totalCashflowsFromInvestingActivities,-592000000.0,-779000000.0,-2099000000.0,-1170000000.0
netBorrowings,-100000000.0,-577000000.0,1433000000.0,-179000000.0
totalCashFromFinancingActivities,-2774000000.0,-2919000000.0,-870000000.0,-2679000000.0
changeToOperatingActivities,-55000000.0,-26000000.0,87000000.0,-36000000.0
issuanceOfStock,424000000.0,874000000.0,498000000.0,329000000.0
changeInCash,-56000000.0,5000000.0,157000000.0,-809000000.0
repurchaseOfStock,-1320000000.0,-1476000000.0,-1202000000.0,-1238000000.0
effectOfExchangeRate,-15000000.0,-16000000.0,-7000000.0,-16000000.0
totalCashFromOperatingActivities,3325000000.0,3719000000.0,3133000000.0,3056000000.0
depreciation,556000000.0,539000000.0,519000000.0,509000000.0
otherCashflowsFromInvestingActivities,-25000000.0,3000000.0,3000000.0,7000000.0
dividendsPaid,-1679000000.0,-1502000000.0,-1473000000.0,-1448000000.0
changeToInventory,-72000000.0,-251000000.0,-77000000.0,-58000000.0
changeToAccountReceivables,-84000000.0,138000000.0,19000000.0,-79000000.0
otherCashflowsFromFinancingActivities,-99000000.0,-238000000.0,-126000000.0,-143000000.0
changeToNetincome,800000000.0,104000000.0,182000000.0,302000000.0
capitalExpenditures,-567000000.0,-410000000.0,-335000000.0,-436000000.0
investments,,-19000000.0,-53000000.0,-13000000.0
annualDilutedAverageShares,,,,
