,2022,2021,2020,2019
intangibleAssets,884000000.0,918000000.0,894000000.0,912000000.0
capitalSurplus,1202000000.0,1186000000.0,1137000000.0,1046000000.0
totalLiab,5429000000.0,5742000000.0,5305000000.0,4557000000.0
totalStockholderEquity,556000000.0,411000000.0,908000000.0,559000000.0
minorityInterest,173000000.0,181000000.0,,
otherCurrentLiab,95000000.0,294000000.0,325000000.0,264000000.0
totalAssets,6158000000.0,6334000000.0,6213000000.0,5116000000.0
commonStock,131000000.0,131000000.0,159000000.0,159000000.0
otherCurrentAssets,7000000.0,9000000.0,2000000.0,1000000.0
retainedEarnings,1048000000.0,1036000000.0,3567000000.0,3150000000.0
otherLiab,844000000.0,886000000.0,817000000.0,830000000.0
goodWill,1558000000.0,1575000000.0,1577000000.0,1591000000.0
treasuryStock,-1825000000.0,-1942000000.0,-3955000000.0,-3796000000.0
otherAssets,245000000.0,280000000.0,251000000.0,217000000.0
cash,183000000.0,319000000.0,871000000.0,111000000.0
totalCurrentLiabilities,1784000000.0,2056000000.0,1418000000.0,1440000000.0
otherStockholderEquity,-479000000.0,-546000000.0,-640000000.0,-602000000.0
propertyPlantEquipment,1694000000.0,1653000000.0,1408000000.0,1034000000.0
totalCurrentAssets,1725000000.0,1829000000.0,2020000000.0,1305000000.0
longTermInvestments,52000000.0,79000000.0,63000000.0,57000000.0
netTangibleAssets,-1886000000.0,-2082000000.0,-1563000000.0,-1944000000.0
netReceivables,681000000.0,604000000.0,648000000.0,631000000.0
longTermDebt,2474000000.0,2484000000.0,2780000000.0,2287000000.0
inventory,755000000.0,752000000.0,454000000.0,512000000.0
accountsPayable,960000000.0,930000000.0,575000000.0,507000000.0
shortLongTermDebt,,300000000.0,,
researchDevelopment,132000000.0,149000000.0,145000000.0,136000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,607000000.0,900000000.0,1185000000.0,1024000000.0
netIncome,462000000.0,710000000.0,939000000.0,820000000.0
sellingGeneralAdministrative,1679000000.0,1809000000.0,1654000000.0,1482000000.0
grossProfit,2545000000.0,3199000000.0,3063000000.0,2728000000.0
ebit,726000000.0,1218000000.0,1251000000.0,1104000000.0
operatingIncome,726000000.0,1218000000.0,1251000000.0,1104000000.0
otherOperatingExpenses,8000000.0,23000000.0,13000000.0,6000000.0
interestExpense,-106000000.0,-99000000.0,-99000000.0,-97000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,136000000.0,181000000.0,246000000.0,204000000.0
totalRevenue,7107000000.0,7341000000.0,6721000000.0,6214000000.0
totalOperatingExpenses,6381000000.0,6123000000.0,5470000000.0,5110000000.0
costOfRevenue,4562000000.0,4142000000.0,3658000000.0,3486000000.0
totalOtherIncomeExpenseNet,-119000000.0,-318000000.0,-66000000.0,-80000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,471000000.0,719000000.0,939000000.0,820000000.0
netIncomeApplicableToCommonShares,462000000.0,710000000.0,939000000.0,820000000.0
changeToLiabilities,-47000000.0,311000000.0,291000000.0,17000000.0
totalCashflowsFromInvestingActivities,-229000000.0,-452000000.0,-252000000.0,-196000000.0
netBorrowings,-83000000.0,-83000000.0,96000000.0,189000000.0
totalCashFromFinancingActivities,-689000000.0,-1391000000.0,-523000000.0,-815000000.0
changeToOperatingActivities,15000000.0,-32000000.0,21000000.0,-6000000.0
issuanceOfStock,5000000.0,103000000.0,162000000.0,147000000.0
changeInCash,-138000000.0,-555000000.0,766000000.0,-21000000.0
repurchaseOfStock,-25000000.0,-905000000.0,-248000000.0,-661000000.0
effectOfExchangeRate,-6000000.0,12000000.0,-5000000.0,-2000000.0
totalCashFromOperatingActivities,786000000.0,1276000000.0,1546000000.0,992000000.0
depreciation,216000000.0,205000000.0,175000000.0,172000000.0
otherCashflowsFromInvestingActivities,22000000.0,-36000000.0,2000000.0,10000000.0
dividendsPaid,-571000000.0,-558000000.0,-533000000.0,-490000000.0
changeToInventory,-18000000.0,-282000000.0,50000000.0,-7000000.0
changeToAccountReceivables,-84000000.0,82000000.0,-27000000.0,-32000000.0
otherCashflowsFromFinancingActivities,-15000000.0,-31000000.0,-31000000.0,-31000000.0
changeToNetincome,199000000.0,366000000.0,78000000.0,-6000000.0
capitalExpenditures,-251000000.0,-331000000.0,-254000000.0,-206000000.0
annualDilutedAverageShares,123906000.0,127299000.0,127671000.0,129792000.0
