,2021,2020,2019,2018
intangibleAssets,11000000.0,1000000.0,4000000.0,6000000.0
capitalSurplus,2175000000.0,2185000000.0,2174000000.0,2148000000.0
totalLiab,86719000000.0,80079000000.0,66075000000.0,63311000000.0
totalStockholderEquity,7503000000.0,7656000000.0,7327000000.0,7507000000.0
otherCurrentLiab,38000000.0,43000000.0,40000000.0,41000000.0
totalAssets,94616000000.0,88129000000.0,73402000000.0,70818000000.0
commonStock,1141000000.0,1141000000.0,1141000000.0,1141000000.0
otherCurrentAssets,3929000000.0,3839000000.0,4048000000.0,3846000000.0
retainedEarnings,10494000000.0,9727000000.0,9538000000.0,8781000000.0
otherLiab,237000000.0,296000000.0,266000000.0,241000000.0
goodWill,635000000.0,635000000.0,635000000.0,635000000.0
treasuryStock,-6307000000.0,-5397000000.0,-5526000000.0,-4563000000.0
otherAssets,48782000000.0,51428000000.0,49817000000.0,49577000000.0
cash,22679000000.0,15632000000.0,5232000000.0,3962000000.0
totalCurrentLiabilities,83390000000.0,73711000000.0,58847000000.0,56955000000.0
otherStockholderEquity,-212000000.0,64000000.0,-235000000.0,-609000000.0
propertyPlantEquipment,771000000.0,765000000.0,786000000.0,475000000.0
totalCurrentAssets,27335000000.0,20080000000.0,9534000000.0,7865000000.0
longTermInvestments,17082000000.0,15220000000.0,12626000000.0,12260000000.0
netTangibleAssets,6857000000.0,7020000000.0,6688000000.0,6866000000.0
longTermDebt,2796000000.0,5728000000.0,6595000000.0,6115000000.0
inventory,1000000.0,9000000.0,11000000.0,1000000.0
accountsPayable,82339000000.0,72869000000.0,57295000000.0,55561000000.0
shortLongTermDebt,,,674000000.0,348000000.0
shortTermInvestments,,,,3171000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1490000000.0,621000000.0,1538000000.0,1535000000.0
minorityInterest,,,,
netIncome,1168000000.0,497000000.0,1202000000.0,1235000000.0
sellingGeneralAdministrative,1800000000.0,1655000000.0,1639000000.0,1619000000.0
grossProfit,3351000000.0,2375000000.0,3275000000.0,3329000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,1526000000.0,671000000.0,1576000000.0,1647000000.0
otherOperatingExpenses,25000000.0,49000000.0,60000000.0,63000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,322000000.0,124000000.0,336000000.0,300000000.0
totalRevenue,3351000000.0,2375000000.0,3275000000.0,3329000000.0
totalOperatingExpenses,1825000000.0,1704000000.0,1699000000.0,1682000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-36000000.0,-50000000.0,-38000000.0,-112000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1168000000.0,497000000.0,1202000000.0,1235000000.0
netIncomeApplicableToCommonShares,1140000000.0,482000000.0,1195000000.0,1227000000.0
investments,-2400000000.0,-2454000000.0,-97000000.0,5000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,1723000000.0,-4602000000.0,-494000000.0,-1156000000.0
netBorrowings,-2800000000.0,-1746000000.0,727000000.0,1884000000.0
totalCashFromFinancingActivities,4555000000.0,13623000000.0,661000000.0,-1744000000.0
changeToOperatingActivities,-337000000.0,-140000000.0,-345000000.0,233000000.0
issuanceOfStock,34000000.0,4000000.0,18000000.0,52000000.0
changeInCash,6912000000.0,9949000000.0,1257000000.0,-1284000000.0
repurchaseOfStock,-729000000.0,-199000000.0,-1394000000.0,-1338000000.0
totalCashFromOperatingActivities,634000000.0,928000000.0,1090000000.0,1616000000.0
depreciation,99000000.0,108000000.0,114000000.0,120000000.0
otherCashflowsFromInvestingActivities,126000000.0,67000000.0,13000000.0,-26000000.0
dividendsPaid,-392000000.0,-383000000.0,-402000000.0,-263000000.0
otherCashflowsFromFinancingActivities,8442000000.0,15553000000.0,1712000000.0,-2079000000.0
changeToNetincome,-309000000.0,438000000.0,102000000.0,73000000.0
capitalExpenditures,-70000000.0,-79000000.0,-86000000.0,-90000000.0
annualDilutedAverageShares,136566000.0,140216000.0,151293000.0,170500000.0
