,2021,2020,2019,2018
intangibleAssets,92945000000.0,94754000000.0,95493000000.0,97723000000.0
capitalSurplus,40173000000.0,39464000000.0,38447000000.0,37461000000.0
totalLiab,177896000000.0,180851000000.0,178168000000.0,177866000000.0
totalStockholderEquity,96092000000.0,90323000000.0,82726000000.0,71613000000.0
minorityInterest,1917000000.0,2695000000.0,2520000000.0,2205000000.0
deferredLongTermLiab,1094000000.0,1060000000.0,1083000000.0,991000000.0
otherCurrentLiab,4862000000.0,4669000000.0,6198000000.0,3990000000.0
totalAssets,275905000000.0,273869000000.0,263414000000.0,251684000000.0
commonStock,54000000.0,54000000.0,54000000.0,54000000.0
otherCurrentAssets,4088000000.0,3535000000.0,7000000000.0,6930000000.0
retainedEarnings,61902000000.0,56438000000.0,50695000000.0,41983000000.0
otherLiab,44187000000.0,42533000000.0,41054000000.0,42918000000.0
goodWill,70189000000.0,70669000000.0,68725000000.0,66154000000.0
treasuryStock,-6037000000.0,-5633000000.0,-6470000000.0,-7885000000.0
otherAssets,19368000000.0,18106000000.0,14455000000.0,13639000000.0
cash,8711000000.0,11740000000.0,5500000000.0,3814000000.0
totalCurrentLiabilities,29348000000.0,28796000000.0,30292000000.0,27603000000.0
shortLongTermDebt,2132000000.0,3146000000.0,4452000000.0,4398000000.0
otherStockholderEquity,1480000000.0,1884000000.0,1047000000.0,-368000000.0
propertyPlantEquipment,60514000000.0,55779000000.0,52360000000.0,44437000000.0
totalCurrentAssets,24807000000.0,26741000000.0,25392000000.0,21848000000.0
longTermInvestments,8082000000.0,7820000000.0,6989000000.0,7883000000.0
netTangibleAssets,-67042000000.0,-75100000000.0,-81492000000.0,-92264000000.0
netReceivables,12008000000.0,11466000000.0,11292000000.0,11104000000.0
longTermDebt,96175000000.0,104521000000.0,102931000000.0,107345000000.0
accountsPayable,12455000000.0,11364000000.0,10826000000.0,8494000000.0
shortTermInvestments,,,1600000000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,19093000000.0,14065000000.0,16996000000.0,15242000000.0
netIncome,14159000000.0,10534000000.0,13057000000.0,11731000000.0
sellingGeneralAdministrative,43314000000.0,39850000000.0,40424000000.0,34791000000.0
grossProfit,77935000000.0,70443000000.0,74502000000.0,64815000000.0
ebit,20817000000.0,17493000000.0,21125000000.0,19148000000.0
operatingIncome,20817000000.0,17493000000.0,21125000000.0,19148000000.0
otherOperatingExpenses,,,,-141000000.0
interestExpense,-4281000000.0,-4588000000.0,-4567000000.0,-3542000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5259000000.0,3364000000.0,3673000000.0,3380000000.0
totalRevenue,116385000000.0,103564000000.0,108942000000.0,94507000000.0
totalOperatingExpenses,95568000000.0,86071000000.0,87817000000.0,75359000000.0
costOfRevenue,38450000000.0,33121000000.0,34440000000.0,29692000000.0
totalOtherIncomeExpenseNet,-1724000000.0,-3428000000.0,-4129000000.0,-3906000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,13834000000.0,10701000000.0,13323000000.0,11862000000.0
netIncomeApplicableToCommonShares,14159000000.0,10534000000.0,13057000000.0,11731000000.0
investments,-174000000.0,-812000000.0,-1899000000.0,-1257000000.0
changeToLiabilities,765000000.0,-266000000.0,-347000000.0,-394000000.0
totalCashflowsFromInvestingActivities,-13446000000.0,-12047000000.0,-14841000000.0,-50854000000.0
netBorrowings,-8870000000.0,-133000000.0,-4988000000.0,36362000000.0
totalCashFromFinancingActivities,-18618000000.0,-6513000000.0,-9181000000.0,27140000000.0
changeToOperatingActivities,-298000000.0,852000000.0,-2156000000.0,899000000.0
changeInCash,-2989000000.0,6179000000.0,1680000000.0,338000000.0
repurchaseOfStock,-4672000000.0,-534000000.0,-504000000.0,-5320000000.0
effectOfExchangeRate,-71000000.0,2000000.0,5000000.0,-245000000.0
totalCashFromOperatingActivities,29146000000.0,24737000000.0,25697000000.0,24297000000.0
depreciation,13804000000.0,13100000000.0,12953000000.0,11017000000.0
otherCashflowsFromInvestingActivities,451000000.0,250000000.0,86000000.0,650000000.0
dividendsPaid,-4532000000.0,-4140000000.0,-3735000000.0,-3352000000.0
changeToAccountReceivables,-1335000000.0,-20000000.0,-57000000.0,-802000000.0
otherCashflowsFromFinancingActivities,-544000000.0,-1706000000.0,46000000.0,-550000000.0
changeToNetincome,2051000000.0,537000000.0,2247000000.0,1846000000.0
capitalExpenditures,-10150000000.0,-10677000000.0,-11069000000.0,-10234000000.0
annualDilutedAverageShares,4654000000.0,4624000000.0,4610000000.0,4640000000.0
