,2021,2020,2019,2018
intangibleAssets,20707300000.0,22040600000.0,22293000000.0,22675400000.0
capitalSurplus,22190300000.0,21185500000.0,21113200000.0,21054300000.0
totalLiab,169381000000.0,98308100000.0,49056000000.0,51510400000.0
totalStockholderEquity,27399300000.0,26319900000.0,26128900000.0,25918500000.0
otherCurrentLiab,159545000000.0,88076400000.0,38410900000.0,40582400000.0
totalAssets,196780300000.0,124659600000.0,75215300000.0,77475700000.0
commonStock,3600000.0,3600000.0,3600000.0,3600000.0
otherCurrentAssets,158377400000.0,87088500000.0,37441400000.0,39886000000.0
retainedEarnings,5151900000.0,4995900000.0,5008700000.0,4855300000.0
otherLiab,5761600000.0,6090400000.0,6184000000.0,6411000000.0
goodWill,10528000000.0,10798800000.0,10742500000.0,10805300000.0
treasuryStock,53500000.0,134900000.0,3400000.0,5300000.0
otherAssets,413400000.0,1478000000.0,1553400000.0,1659600000.0
cash,2834900000.0,1633200000.0,1551400000.0,1374500000.0
totalCurrentLiabilities,160398400000.0,88197900000.0,38522500000.0,41272600000.0
otherStockholderEquity,53500000.0,134900000.0,3400000.0,5300000.0
propertyPlantEquipment,930800000.0,1058300000.0,1058600000.0,448700000.0
totalCurrentAssets,161761800000.0,89283900000.0,39567800000.0,41886700000.0
longTermInvestments,2439000000.0,,,1031600000.0
netTangibleAssets,-3836000000.0,-6519500000.0,-6906600000.0,-7562200000.0
shortTermInvestments,115000000.0,100900000.0,83200000.0,72900000.0
netReceivables,434500000.0,461300000.0,491800000.0,553300000.0
longTermDebt,2695700000.0,3443800000.0,3743200000.0,3826800000.0
accountsPayable,48800000.0,69300000.0,61900000.0,116000000.0
minorityInterest,,31600000.0,30400000.0,46800000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3373600000.0,2722100000.0,2689600000.0,2777800000.0
netIncome,2636400000.0,2105200000.0,2116500000.0,1962200000.0
sellingGeneralAdministrative,1482100000.0,1558000000.0,1446500000.0,1126100000.0
grossProfit,4679300000.0,4870300000.0,4868000000.0,4309400000.0
ebit,2604500000.0,2673400000.0,2656100000.0,2681200000.0
operatingIncome,2604500000.0,2673400000.0,2656100000.0,2681200000.0
otherOperatingExpenses,207300000.0,174500000.0,292100000.0,253400000.0
interestExpense,-166900000.0,-166200000.0,-178000000.0,-157700000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,736700000.0,615700000.0,573800000.0,814100000.0
totalRevenue,4679300000.0,4870300000.0,4868000000.0,4309400000.0
totalOperatingExpenses,2074800000.0,2196900000.0,2211900000.0,1628200000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,769100000.0,48700000.0,33500000.0,34300000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2636900000.0,2106400000.0,2115800000.0,1963700000.0
netIncomeApplicableToCommonShares,2617100000.0,2105200000.0,2116500000.0,1962200000.0
investments,199200000.0,22000000.0,93000000.0,22500000.0
changeToLiabilities,-18600000.0,7400000.0,-54100000.0,32300000.0
totalCashflowsFromInvestingActivities,58400000.0,-175500000.0,-152600000.0,-1889600000.0
netBorrowings,71167800000.0,49400200000.0,-3040200000.0,1119400000.0
totalCashFromFinancingActivities,69908700000.0,47246600000.0,-4719300000.0,-1080000000.0
changeToOperatingActivities,23000000.0,18900000.0,-12700000.0,-112500000.0
changeInCash,72369500000.0,49786700000.0,-2199100000.0,-528800000.0
repurchaseOfStock,-31700000.0,-41400000.0,-36800000.0,-35000000.0
totalCashFromOperatingActivities,2402400000.0,2715600000.0,2672800000.0,2440800000.0
depreciation,385400000.0,464400000.0,473300000.0,248700000.0
dividendsPaid,-2189300000.0,-2110000000.0,-1695900000.0,-2149900000.0
changeToAccountReceivables,-45700000.0,28200000.0,60800000.0,-65500000.0
otherCashflowsFromFinancingActivities,-3100000.0,-2200000.0,53600000.0,-14500000.0
changeToNetincome,-457600000.0,86800000.0,117600000.0,180200000.0
capitalExpenditures,-127200000.0,-197500000.0,-245600000.0,-116700000.0
issuanceOfStock,,,,11500000.0
annualDilutedAverageShares,358929000.0,358524000.0,358239000.0,343737000.0
