,2021,2020,2019,2018
intangibleAssets,900000000.0,963000000.0,1003000000.0,909000000.0
capitalSurplus,1871000000.0,1848000000.0,1790000000.0,1715000000.0
totalLiab,14309000000.0,13635000000.0,11272000000.0,10803000000.0
totalStockholderEquity,8474000000.0,8062000000.0,7507000000.0,7348000000.0
minorityInterest,927000000.0,927000000.0,958000000.0,911000000.0
otherCurrentLiab,1717000000.0,1447000000.0,1388000000.0,1249000000.0
totalAssets,23710000000.0,22624000000.0,19737000000.0,19062000000.0
commonStock,556000000.0,556000000.0,556000000.0,556000000.0
retainedEarnings,16741000000.0,15419000000.0,14416000000.0,12917000000.0
otherLiab,3301000000.0,3324000000.0,3054000000.0,2822000000.0
goodWill,1287000000.0,1293000000.0,1286000000.0,1126000000.0
treasuryStock,-10694000000.0,-9761000000.0,-9255000000.0,-7840000000.0
otherAssets,2810000000.0,2337000000.0,2083000000.0,1891000000.0
cash,2592000000.0,3401000000.0,1129000000.0,1303000000.0
totalCurrentLiabilities,7084000000.0,6335000000.0,6260000000.0,6384000000.0
deferredLongTermAssetCharges,428000000.0,479000000.0,441000000.0,410000000.0
shortLongTermDebt,45000000.0,50000000.0,19000000.0,15000000.0
otherStockholderEquity,-1571000000.0,-1982000000.0,-2030000000.0,-1812000000.0
propertyPlantEquipment,4866000000.0,4693000000.0,4741000000.0,4096000000.0
totalCurrentAssets,12309000000.0,11897000000.0,9387000000.0,9818000000.0
longTermInvestments,1538000000.0,1441000000.0,1237000000.0,1222000000.0
netTangibleAssets,6287000000.0,5806000000.0,5218000000.0,5313000000.0
shortTermInvestments,595000000.0,461000000.0,341000000.0,222000000.0
netReceivables,4091000000.0,3992000000.0,3861000000.0,3983000000.0
longTermDebt,3523000000.0,3572000000.0,1510000000.0,1495000000.0
inventory,4355000000.0,3425000000.0,3486000000.0,3759000000.0
accountsPayable,3021000000.0,2820000000.0,2534000000.0,2822000000.0
researchDevelopment,1090000000.0,906000000.0,1001000000.0,902000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2751000000.0,2338000000.0,2834000000.0,2753000000.0
netIncome,2131000000.0,1789000000.0,2260000000.0,2141000000.0
sellingGeneralAdministrative,2278000000.0,2060000000.0,2454000000.0,2437000000.0
grossProfit,5695000000.0,4894000000.0,5980000000.0,5737000000.0
ebit,2310000000.0,1912000000.0,2489000000.0,2392000000.0
operatingIncome,2310000000.0,1912000000.0,2489000000.0,2392000000.0
otherOperatingExpenses,17000000.0,16000000.0,36000000.0,6000000.0
interestExpense,-111000000.0,-100000000.0,-109000000.0,-114000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,587000000.0,527000000.0,566000000.0,566000000.0
totalRevenue,24021000000.0,19811000000.0,23571000000.0,23771000000.0
totalOperatingExpenses,21711000000.0,17899000000.0,21082000000.0,21379000000.0
costOfRevenue,18326000000.0,14917000000.0,17591000000.0,18034000000.0
totalOtherIncomeExpenseNet,441000000.0,426000000.0,345000000.0,361000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2164000000.0,1811000000.0,2268000000.0,2187000000.0
netIncomeApplicableToCommonShares,2131000000.0,1789000000.0,2260000000.0,2141000000.0
investments,-181000000.0,-175000000.0,-126000000.0,-74000000.0
changeToLiabilities,217000000.0,288000000.0,-310000000.0,302000000.0
totalCashflowsFromInvestingActivities,-873000000.0,-719000000.0,-1150000000.0,-974000000.0
netBorrowings,-32000000.0,1614000000.0,-152000000.0,457000000.0
totalCashFromFinancingActivities,-2227000000.0,280000000.0,-2095000000.0,-1400000000.0
changeToOperatingActivities,354000000.0,200000000.0,160000000.0,601000000.0
issuanceOfStock,56000000.0,88000000.0,76000000.0,13000000.0
changeInCash,-809000000.0,2272000000.0,-174000000.0,-66000000.0
repurchaseOfStock,-1402000000.0,-641000000.0,-1271000000.0,-1140000000.0
effectOfExchangeRate,35000000.0,-11000000.0,-110000000.0,-70000000.0
totalCashFromOperatingActivities,2256000000.0,2722000000.0,3181000000.0,2378000000.0
depreciation,659000000.0,670000000.0,669000000.0,609000000.0
otherCashflowsFromInvestingActivities,74000000.0,31000000.0,-12000000.0,-46000000.0
dividendsPaid,-809000000.0,-782000000.0,-761000000.0,-718000000.0
changeToInventory,-945000000.0,46000000.0,291000000.0,-695000000.0
changeToAccountReceivables,-174000000.0,-51000000.0,195000000.0,-363000000.0
otherCashflowsFromFinancingActivities,-40000000.0,1000000.0,13000000.0,-12000000.0
changeToNetincome,11000000.0,-223000000.0,-87000000.0,-219000000.0
capitalExpenditures,-734000000.0,-528000000.0,-700000000.0,-709000000.0
annualDilutedAverageShares,145900000.0,149000000.0,156100000.0,162800000.0
