,2021,2020,2019,2018
capitalSurplus,5406000000.0,5365000000.0,5113000000.0,5088000000.0
totalLiab,21565000000.0,23589000000.0,21782000000.0,19737000000.0
totalStockholderEquity,6407000000.0,5496000000.0,5018000000.0,4755000000.0
minorityInterest,557000000.0,581000000.0,37000000.0,37000000.0
deferredLongTermLiab,2259000000.0,2653000000.0,2489000000.0,1743000000.0
otherCurrentLiab,311000000.0,1250000000.0,299000000.0,306000000.0
totalAssets,28753000000.0,29666000000.0,26837000000.0,24529000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,89000000.0,488000000.0,50000000.0,58000000.0
retainedEarnings,1057000000.0,214000000.0,-25000000.0,-271000000.0
otherLiab,7246000000.0,8690000000.0,7014000000.0,6429000000.0
treasuryStock,-59000000.0,-86000000.0,-73000000.0,-65000000.0
otherAssets,3677000000.0,6143000000.0,5462000000.0,3866000000.0
cash,452000000.0,32000000.0,140000000.0,153000000.0
totalCurrentLiabilities,2204000000.0,3074000000.0,2704000000.0,2624000000.0
shortLongTermDebt,376000000.0,587000000.0,1111000000.0,974000000.0
otherStockholderEquity,-59000000.0,-86000000.0,-73000000.0,-65000000.0
propertyPlantEquipment,22378000000.0,21049000000.0,18973000000.0,18126000000.0
totalCurrentAssets,2627000000.0,2404000000.0,2331000000.0,2468000000.0
longTermInvestments,71000000.0,70000000.0,71000000.0,69000000.0
netTangibleAssets,6407000000.0,5496000000.0,5018000000.0,4755000000.0
netReceivables,943000000.0,872000000.0,1145000000.0,1227000000.0
longTermDebt,12046000000.0,11744000000.0,11951000000.0,10615000000.0
inventory,667000000.0,576000000.0,605000000.0,650000000.0
accountsPayable,886000000.0,668000000.0,635000000.0,733000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,823000000.0,809000000.0,764000000.0,774000000.0
netIncome,1353000000.0,755000000.0,680000000.0,657000000.0
sellingGeneralAdministrative,-165000000.0,-118000000.0,-91000000.0,-90000000.0
grossProfit,2646000000.0,2630000000.0,2435000000.0,2398000000.0
ebit,1308000000.0,1348000000.0,1206000000.0,1252000000.0
operatingIncome,1308000000.0,1348000000.0,1206000000.0,1252000000.0
otherOperatingExpenses,389000000.0,357000000.0,331000000.0,303000000.0
interestExpense,-503000000.0,-507000000.0,-464000000.0,-461000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,95000000.0,115000000.0,131000000.0,115000000.0
totalRevenue,7329000000.0,6418000000.0,6624000000.0,6873000000.0
totalOperatingExpenses,6021000000.0,5070000000.0,5418000000.0,5621000000.0
costOfRevenue,4683000000.0,3788000000.0,4189000000.0,4475000000.0
totalOtherIncomeExpenseNet,-485000000.0,-539000000.0,-442000000.0,-478000000.0
discontinuedOperations,602000000.0,58000000.0,49000000.0,49000000.0
netIncomeFromContinuingOps,728000000.0,694000000.0,633000000.0,659000000.0
netIncomeApplicableToCommonShares,1348000000.0,755000000.0,680000000.0,657000000.0
changeToLiabilities,153000000.0,56000000.0,-71000000.0,22000000.0
totalCashflowsFromInvestingActivities,-1233000000.0,-2867000000.0,-2816000000.0,-2606000000.0
netBorrowings,100000000.0,1079000000.0,859000000.0,824000000.0
totalCashFromFinancingActivities,-295000000.0,1619000000.0,1008000000.0,874000000.0
changeToOperatingActivities,-3000000.0,-104000000.0,-56000000.0,54000000.0
issuanceOfStock,26000000.0,253000000.0,12000000.0,41000000.0
changeInCash,291000000.0,28000000.0,-18000000.0,-29000000.0
totalCashFromOperatingActivities,1819000000.0,1276000000.0,1790000000.0,1703000000.0
depreciation,979000000.0,905000000.0,844000000.0,781000000.0
otherCashflowsFromInvestingActivities,843000000.0,-614000000.0,-816000000.0,-146000000.0
dividendsPaid,-509000000.0,-465000000.0,-434000000.0,-405000000.0
changeToInventory,-93000000.0,28000000.0,44000000.0,14000000.0
changeToAccountReceivables,-103000000.0,-5000000.0,48000000.0,15000000.0
otherCashflowsFromFinancingActivities,-136000000.0,752000000.0,571000000.0,414000000.0
changeToNetincome,-602000000.0,-497000000.0,156000000.0,8000000.0
capitalExpenditures,-2076000000.0,-2311000000.0,-2097000000.0,-2074000000.0
investments,,,,146000000.0
annualDilutedAverageShares,,,,
