,2021,2020,2019,2018
intangibleAssets,7824000000.0,8388000000.0,2063000000.0,2239000000.0
capitalSurplus,19672000000.0,19459000000.0,7647000000.0,7449000000.0
totalLiab,51353000000.0,42757000000.0,28302000000.0,19878000000.0
totalStockholderEquity,26795000000.0,25773000000.0,12551000000.0,10917000000.0
minorityInterest,227000000.0,189000000.0,141000000.0,106000000.0
otherCurrentLiab,434000000.0,523000000.0,383000000.0,385000000.0
totalAssets,78375000000.0,68719000000.0,40994000000.0,30901000000.0
commonStock,1000000.0,1000000.0,,
otherCurrentAssets,1625000000.0,1340000000.0,1110000000.0,811000000.0
retainedEarnings,8139000000.0,6792000000.0,4984000000.0,3663000000.0
otherLiab,3398000000.0,3156000000.0,1099000000.0,1164000000.0
goodWill,19771000000.0,18652000000.0,6863000000.0,7015000000.0
treasuryStock,-1017000000.0,-479000000.0,-80000000.0,-195000000.0
otherAssets,1283000000.0,1348000000.0,1236000000.0,1082000000.0
cash,13118000000.0,10800000000.0,12123000000.0,5342000000.0
totalCurrentLiabilities,25765000000.0,21585000000.0,12932000000.0,11971000000.0
shortLongTermDebt,267000000.0,97000000.0,88000000.0,38000000.0
otherStockholderEquity,77000000.0,337000000.0,134000000.0,-56000000.0
propertyPlantEquipment,6957000000.0,4085000000.0,2782000000.0,1706000000.0
totalCurrentAssets,28497000000.0,23393000000.0,20323000000.0,11998000000.0
longTermInvestments,14043000000.0,12853000000.0,7727000000.0,6861000000.0
netTangibleAssets,-800000000.0,-1267000000.0,3625000000.0,1663000000.0
shortTermInvestments,1539000000.0,1580000000.0,863000000.0,722000000.0
netReceivables,12215000000.0,9673000000.0,6227000000.0,5123000000.0
longTermDebt,18078000000.0,16529000000.0,13527000000.0,6696000000.0
accountsPayable,24860000000.0,20761000000.0,12300000000.0,11548000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1813000000.0,2773000000.0,1782000000.0,1368000000.0
netIncome,1347000000.0,1808000000.0,1321000000.0,900000000.0
sellingGeneralAdministrative,9941000000.0,10763000000.0,6448000000.0,6331000000.0
grossProfit,19574000000.0,17912000000.0,11945000000.0,10631000000.0
ebit,3681000000.0,4110000000.0,2580000000.0,2132000000.0
operatingIncome,3681000000.0,4110000000.0,2580000000.0,2132000000.0
otherOperatingExpenses,5182000000.0,2320000000.0,2659000000.0,1957000000.0
interestExpense,-665000000.0,-728000000.0,-412000000.0,-343000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,477000000.0,979000000.0,473000000.0,474000000.0
totalRevenue,118176000000.0,104176000000.0,70807000000.0,56688000000.0
totalOperatingExpenses,114495000000.0,100066000000.0,68227000000.0,54556000000.0
costOfRevenue,98602000000.0,86264000000.0,58862000000.0,46057000000.0
totalOtherIncomeExpenseNet,-1868000000.0,-1337000000.0,-798000000.0,-764000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1336000000.0,1794000000.0,1309000000.0,894000000.0
netIncomeApplicableToCommonShares,1347000000.0,1808000000.0,1321000000.0,900000000.0
investments,-1942000000.0,-2481000000.0,-766000000.0,-1855000000.0
changeToLiabilities,1032000000.0,57000000.0,-430000000.0,-585000000.0
totalCashflowsFromInvestingActivities,-3299000000.0,-6955000000.0,-1532000000.0,-4585000000.0
netBorrowings,1833000000.0,1040000000.0,6918000000.0,1994000000.0
totalCashFromFinancingActivities,1362000000.0,260000000.0,6832000000.0,4612000000.0
changeToOperatingActivities,2797000000.0,2190000000.0,504000000.0,1587000000.0
changeInCash,2257000000.0,-1174000000.0,6781000000.0,1261000000.0
repurchaseOfStock,-297000000.0,-626000000.0,-75000000.0,-71000000.0
effectOfExchangeRate,-11000000.0,18000000.0,-2000000.0,-2000000.0
totalCashFromOperatingActivities,4205000000.0,5503000000.0,1483000000.0,1234000000.0
depreciation,1476000000.0,1259000000.0,643000000.0,495000000.0
otherCashflowsFromInvestingActivities,19000000.0,-22000000.0,-22000000.0,-22000000.0
changeToAccountReceivables,-2453000000.0,-52000000.0,-1076000000.0,-1173000000.0
otherCashflowsFromFinancingActivities,-174000000.0,-154000000.0,-11000000.0,-90000000.0
changeToNetincome,6000000.0,241000000.0,521000000.0,10000000.0
capitalExpenditures,-910000000.0,-869000000.0,-730000000.0,-675000000.0
issuanceOfStock,,,,2779000000.0
annualDilutedAverageShares,590516000.0,579135000.0,420409000.0,398506000.0
