,2021,2020,2019,2018
intangibleAssets,44000000.0,50000000.0,58000000.0,65000000.0
capitalSurplus,8529000000.0,6914000000.0,6080000000.0,6072000000.0
totalLiab,28264000000.0,25123000000.0,27170000000.0,18951000000.0
totalStockholderEquity,8625000000.0,5985000000.0,6619000000.0,6318000000.0
deferredLongTermLiab,2321000000.0,2094000000.0,2117000000.0,1967000000.0
otherCurrentLiab,2402000000.0,1902000000.0,2061000000.0,1459000000.0
totalAssets,37679000000.0,33471000000.0,35529000000.0,27009000000.0
commonStock,6000000.0,6000000.0,5000000.0,5000000.0
otherCurrentAssets,3766000000.0,38000000.0,1044000000.0,223000000.0
retainedEarnings,154000000.0,-845000000.0,632000000.0,349000000.0
otherLiab,8390000000.0,8731000000.0,8914000000.0,6967000000.0
goodWill,4294000000.0,4697000000.0,4882000000.0,867000000.0
treasuryStock,-64000000.0,-90000000.0,-98000000.0,-108000000.0
otherAssets,2480000000.0,3048000000.0,3226000000.0,2163000000.0
cash,230000000.0,147000000.0,241000000.0,4231000000.0
totalCurrentLiabilities,4287000000.0,4825000000.0,3978000000.0,3302000000.0
shortLongTermDebt,540000000.0,1895000000.0,868000000.0,482000000.0
otherStockholderEquity,-64000000.0,-90000000.0,-98000000.0,-108000000.0
propertyPlantEquipment,23506000000.0,22393000000.0,20655000000.0,14044000000.0
totalCurrentAssets,7355000000.0,2920000000.0,3937000000.0,7025000000.0
netTangibleAssets,4287000000.0,1238000000.0,1679000000.0,5386000000.0
shortTermInvestments,1481000000.0,914000000.0,871000000.0,540000000.0
netReceivables,1204000000.0,1263000000.0,1277000000.0,1568000000.0
longTermDebt,15570000000.0,11541000000.0,14254000000.0,8682000000.0
inventory,608000000.0,500000000.0,472000000.0,394000000.0
accountsPayable,1196000000.0,853000000.0,884000000.0,1240000000.0
longTermInvestments,,363000000.0,2771000000.0,2845000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,778000000.0,563000000.0,545000000.0,551000000.0
minorityInterest,,,,
netIncome,1486000000.0,-773000000.0,791000000.0,368000000.0
sellingGeneralAdministrative,-7000000.0,6000000.0,57000000.0,27000000.0
grossProfit,3207000000.0,2929000000.0,2951000000.0,2502000000.0
ebit,1370000000.0,1218000000.0,1195000000.0,841000000.0
operatingIncome,1370000000.0,1218000000.0,1195000000.0,841000000.0
otherOperatingExpenses,528000000.0,516000000.0,474000000.0,404000000.0
interestExpense,-529000000.0,-529000000.0,-567000000.0,-420000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,110000000.0,80000000.0,30000000.0,155000000.0
totalRevenue,8352000000.0,7418000000.0,7564000000.0,6277000000.0
totalOperatingExpenses,6982000000.0,6200000000.0,6369000000.0,5436000000.0
costOfRevenue,5145000000.0,4489000000.0,4613000000.0,3775000000.0
totalOtherIncomeExpenseNet,-592000000.0,-655000000.0,-650000000.0,-290000000.0
discontinuedOperations,818000000.0,-1256000000.0,276000000.0,-28000000.0
netIncomeFromContinuingOps,668000000.0,483000000.0,515000000.0,396000000.0
netIncomeApplicableToCommonShares,1391000000.0,-949000000.0,674000000.0,333000000.0
investments,1320000000.0,80000000.0,42000000.0,428000000.0
changeToLiabilities,175000000.0,2000000.0,-455000000.0,220000000.0
totalCashflowsFromInvestingActivities,-1851000000.0,-1265000000.0,-8421000000.0,-1207000000.0
netBorrowings,2451000000.0,-1686000000.0,3505000000.0,429000000.0
totalCashFromFinancingActivities,1916000000.0,-834000000.0,2776000000.0,3053000000.0
changeToOperatingActivities,-2292000000.0,22000000.0,-168000000.0,203000000.0
changeInCash,87000000.0,-104000000.0,-4007000000.0,3982000000.0
totalCashFromOperatingActivities,22000000.0,1995000000.0,1638000000.0,2136000000.0
depreciation,1103000000.0,1034000000.0,954000000.0,699000000.0
otherCashflowsFromInvestingActivities,-12000000.0,1251000000.0,34000000.0,16000000.0
dividendsPaid,-492000000.0,-529000000.0,-695000000.0,-510000000.0
changeToInventory,-140000000.0,9000000.0,-52000000.0,1000000.0
changeToAccountReceivables,-98000000.0,90000000.0,226000000.0,-154000000.0
otherCashflowsFromFinancingActivities,-43000000.0,-14000000.0,-34000000.0,-450000000.0
changeToNetincome,-506000000.0,1432000000.0,177000000.0,220000000.0
capitalExpenditures,-3164000000.0,-2596000000.0,-2506000000.0,-1651000000.0
issuanceOfStock,,672000000.0,672000000.0,1844000000.0
annualDilutedAverageShares,609938000.0,531031000.0,505000000.0,452465000.0
