,2021,2020,2019,2018
intangibleAssets,531000000.0,457000000.0,474000000.0,528000000.0
capitalSurplus,29267000000.0,28633000000.0,28127000000.0,27680000000.0
totalLiab,371352000000.0,361398000000.0,332354000000.0,320870000000.0
totalStockholderEquity,56184000000.0,55357000000.0,53158000000.0,47308000000.0
totalAssets,432381000000.0,421602000000.0,390365000000.0,372538000000.0
commonStock,7000000.0,7000000.0,7000000.0,7000000.0
otherCurrentAssets,7862000000.0,4551000000.0,2537000000.0,3128000000.0
retainedEarnings,51006000000.0,40088000000.0,40340000000.0,35875000000.0
otherLiab,7996000000.0,7198000000.0,6391000000.0,6529000000.0
goodWill,14782000000.0,14653000000.0,14653000000.0,14544000000.0
treasuryStock,-24096000000.0,-13371000000.0,-15316000000.0,-16254000000.0
otherAssets,284541000000.0,253009000000.0,272770000000.0,253072000000.0
cash,21746000000.0,40509000000.0,13407000000.0,13186000000.0
totalCurrentLiabilities,327903000000.0,312641000000.0,275824000000.0,264838000000.0
shortLongTermDebt,7999000000.0,,,
otherStockholderEquity,374000000.0,3494000000.0,1156000000.0,-1263000000.0
propertyPlantEquipment,5347000000.0,5603000000.0,5811000000.0,4191000000.0
totalCurrentAssets,31796000000.0,47369000000.0,17101000000.0,16833000000.0
longTermInvestments,95384000000.0,100511000000.0,79556000000.0,83370000000.0
netTangibleAssets,41291000000.0,40614000000.0,38331000000.0,32510000000.0
longTermDebt,34214000000.0,39796000000.0,48280000000.0,49503000000.0
inventory,40000000.0,42000000.0,61000000.0,59000000.0
accountsPayable,310980000000.0,305442000000.0,262697000000.0,249764000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,15809000000.0,3203000000.0,6874000000.0,7318000000.0
minorityInterest,,,,
netIncome,12390000000.0,2714000000.0,5546000000.0,6015000000.0
sellingGeneralAdministrative,14997000000.0,13060000000.0,13287000000.0,12424000000.0
grossProfit,32379000000.0,18259000000.0,22357000000.0,22220000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,16004000000.0,3524000000.0,7369000000.0,7856000000.0
otherOperatingExpenses,1378000000.0,1675000000.0,1701000000.0,1940000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3415000000.0,486000000.0,1341000000.0,1293000000.0
totalRevenue,32379000000.0,18259000000.0,22357000000.0,22220000000.0
totalOperatingExpenses,16375000000.0,14735000000.0,14988000000.0,14364000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-195000000.0,-321000000.0,-495000000.0,-538000000.0
discontinuedOperations,-4000000.0,-3000000.0,13000000.0,-10000000.0
netIncomeFromContinuingOps,12394000000.0,2717000000.0,5533000000.0,6025000000.0
netIncomeApplicableToCommonShares,11965000000.0,2375000000.0,5192000000.0,5710000000.0
investments,1861000000.0,-19890000000.0,5882000000.0,-16860000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-31501000000.0,-14841000000.0,-22998000000.0,-15618000000.0
netBorrowings,3554000000.0,-16480000000.0,-4186000000.0,-1191000000.0
totalCashFromFinancingActivities,474000000.0,25164000000.0,6619000000.0,1777000000.0
changeToOperatingActivities,-2591000000.0,2104000000.0,837000000.0,-1032000000.0
issuanceOfStock,308000000.0,303000000.0,216000000.0,213000000.0
changeInCash,-18717000000.0,27022000000.0,260000000.0,-863000000.0
repurchaseOfStock,-7605000000.0,-393000000.0,-1481000000.0,-2284000000.0
totalCashFromOperatingActivities,12310000000.0,16699000000.0,16639000000.0,12978000000.0
depreciation,3481000000.0,3501000000.0,3339000000.0,2396000000.0
otherCashflowsFromInvestingActivities,-668000000.0,-822000000.0,-877000000.0,-802000000.0
dividendsPaid,-1157077000.0,-740000000.0,-1035000000.0,-1038000000.0
otherCashflowsFromFinancingActivities,5687000000.0,42519000000.0,12643000000.0,6077000000.0
changeToNetincome,-987000000.0,8093000000.0,6980000000.0,5673000000.0
capitalExpenditures,-698000000.0,-710000000.0,-887000000.0,-874000000.0
annualDilutedAverageShares,444200000.0,458900000.0,469900000.0,483100000.0
