,2022,2021,2020,2019,2018
intangibleAssets,,1271500000.0,1289000000.0,1405300000.0,1521300000.0
capitalSurplus,,1715200000.0,1646800000.0,1615000000.0,1572100000.0
totalLiab,,2664200000.0,2912700000.0,2645900000.0,2805000000.0
totalStockholderEquity,,6941800000.0,3824600000.0,3628400000.0,3307600000.0
minorityInterest,,200000.0,200000.0,200000.0,200000.0
otherCurrentLiab,,303400000.0,266200000.0,292100000.0,259000000.0
totalAssets,,9606200000.0,6737500000.0,6274500000.0,6112800000.0
commonStock,,5400000.0,5300000.0,5300000.0,5300000.0
otherCurrentAssets,,89600000.0,900000.0,500000.0,2500000.0
retainedEarnings,,6202100000.0,3261800000.0,3026400000.0,2576000000.0
otherLiab,,304300000.0,271100000.0,272700000.0,282800000.0
goodWill,,2574000000.0,2447300000.0,2428900000.0,2392100000.0
treasuryStock,,-980900000.0,-1089300000.0,-1018300000.0,-845800000.0
otherAssets,,2673600000.0,184900000.0,144800000.0,132500000.0
cash,,95900000.0,115900000.0,89000000.0,77700000.0
totalCurrentLiabilities,,732100000.0,1004400000.0,1110600000.0,536500000.0
deferredLongTermAssetCharges,,2546600000.0,80100000.0,78000000.0,58400000.0
otherStockholderEquity,,-341300000.0,-472000000.0,-447100000.0,-430700000.0
propertyPlantEquipment,,1604600000.0,1542100000.0,1132100000.0,976000000.0
totalCurrentAssets,,1465300000.0,1274200000.0,1163400000.0,1090900000.0
longTermInvestments,,17200000.0,,,
netTangibleAssets,,3096300000.0,88300000.0,-205800000.0,-605800000.0
netReceivables,,515300000.0,435400000.0,435300000.0,374700000.0
longTermDebt,,1396100000.0,1400400000.0,1262600000.0,1985700000.0
inventory,,585600000.0,570400000.0,506900000.0,468800000.0
accountsPayable,,161400000.0,176000000.0,150100000.0,146400000.0
shortLongTermDebt,,,350500000.0,500000000.0,
researchDevelopment,,92700000.0,93300000.0,86700000.0,84800000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,,491500000.0,266500000.0,477400000.0,331900000.0
netIncome,,2944700000.0,238400000.0,466700000.0,139900000.0
sellingGeneralAdministrative,,1142400000.0,990900000.0,993300000.0,973300000.0
grossProfit,,1985200000.0,1624900000.0,1756800000.0,1632300000.0
ebit,,604000000.0,403500000.0,531000000.0,427500000.0
operatingIncome,,604000000.0,403500000.0,531000000.0,427500000.0
otherOperatingExpenses,,,,,
interestExpense,,-23100000.0,-36800000.0,-68000000.0,-82700000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,,-2453200000.0,28100000.0,10700000.0,192000000.0
totalRevenue,,2922500000.0,2430900000.0,2653400000.0,2532800000.0
totalOperatingExpenses,,2318500000.0,2027400000.0,2122400000.0,2105300000.0
costOfRevenue,,937300000.0,806000000.0,896600000.0,900500000.0
totalOtherIncomeExpenseNet,,-112500000.0,-137000000.0,-53600000.0,-95600000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,,2944700000.0,238400000.0,466700000.0,139900000.0
netIncomeApplicableToCommonShares,,2944700000.0,238400000.0,466700000.0,139900000.0
changeToLiabilities,,-16000000.0,23200000.0,3600000.0,2900000.0
totalCashflowsFromInvestingActivities,,-450300000.0,-364500000.0,-351300000.0,-1517500000.0
netBorrowings,,-309800000.0,-37100000.0,-199700000.0,849600000.0
totalCashFromFinancingActivities,,-311400000.0,-95500000.0,-351400000.0,844400000.0
changeToOperatingActivities,,-59200000.0,-82800000.0,40500000.0,176800000.0
issuanceOfStock,,39500000.0,16200000.0,29900000.0,22300000.0
changeInCash,,-20200000.0,27300000.0,9300000.0,-8600000.0
repurchaseOfStock,,-24800000.0,-47800000.0,-156100000.0,-156100000.0
effectOfExchangeRate,,2900000.0,700000.0,-1200000.0,-4400000.0
totalCashFromOperatingActivities,,738600000.0,486600000.0,713200000.0,668900000.0
depreciation,,309300000.0,287100000.0,280800000.0,275100000.0
dividendsPaid,,-3000000.0,-3000000.0,-3000000.0,-2900000.0
changeToInventory,,-9200000.0,-62300000.0,-37300000.0,-5000000.0
changeToAccountReceivables,,-75500000.0,8500000.0,-55600000.0,-59500000.0
otherCashflowsFromFinancingActivities,,-13300000.0,-23800000.0,-22500000.0,-24600000.0
changeToNetincome,,-2365500000.0,86900000.0,5800000.0,134300000.0
capitalExpenditures,,-214400000.0,-310400000.0,-292100000.0,-1299000000.0
annualDilutedAverageShares,,49800000.0,49600000.0,50000000.0,
