,2021,2020,2019,2018
capitalSurplus,60581000000.0,47133000000.0,46983000000.0,46879000000.0
totalLiab,45255000000.0,32769000000.0,35464000000.0,37916000000.0
totalStockholderEquity,45406000000.0,29849000000.0,34981000000.0,31939000000.0
otherCurrentLiab,4390000000.0,861000000.0,2358000000.0,2094000000.0
totalAssets,90661000000.0,62618000000.0,70514000000.0,69980000000.0
commonStock,21000000.0,18000000.0,18000000.0,18000000.0
otherCurrentAssets,1348000000.0,325000000.0,419000000.0,417000000.0
retainedEarnings,40674000000.0,35213000000.0,39742000000.0,34010000000.0
otherLiab,14021000000.0,12094000000.0,13046000000.0,15665000000.0
treasuryStock,-55870000000.0,-52515000000.0,-51762000000.0,-48968000000.0
otherAssets,2036000000.0,1996000000.0,1992000000.0,1917000000.0
cash,5028000000.0,2991000000.0,5088000000.0,5915000000.0
totalCurrentLiabilities,12021000000.0,5366000000.0,7043000000.0,7395000000.0
shortLongTermDebt,920000000.0,451000000.0,18000000.0,33000000.0
otherStockholderEquity,-4950000000.0,-5218000000.0,-5357000000.0,-6063000000.0
propertyPlantEquipment,65560000000.0,40676000000.0,43165000000.0,45698000000.0
totalCurrentAssets,16050000000.0,12066000000.0,16913000000.0,13274000000.0
longTermInvestments,7015000000.0,7880000000.0,8444000000.0,9091000000.0
netTangibleAssets,45406000000.0,29849000000.0,34981000000.0,31939000000.0
shortTermInvestments,1563000000.0,4865000000.0,5139000000.0,1710000000.0
netReceivables,6670000000.0,2754000000.0,3401000000.0,4067000000.0
longTermDebt,17753000000.0,14027000000.0,14157000000.0,14158000000.0
inventory,1208000000.0,1002000000.0,1026000000.0,1007000000.0
accountsPayable,5025000000.0,2669000000.0,3200000000.0,3895000000.0
minorityInterest,,,69000000.0,125000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,12712000000.0,-3140000000.0,9524000000.0,9973000000.0
netIncome,8079000000.0,-2701000000.0,7189000000.0,6257000000.0
sellingGeneralAdministrative,740000000.0,442000000.0,639000000.0,585000000.0
grossProfit,22936000000.0,6794000000.0,16182000000.0,17984000000.0
ebit,12801000000.0,-1628000000.0,7435000000.0,9673000000.0
operatingIncome,12801000000.0,-1628000000.0,7435000000.0,9673000000.0
otherOperatingExpenses,1851000000.0,1002000000.0,1275000000.0,1401000000.0
interestExpense,-884000000.0,-806000000.0,-778000000.0,-735000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4633000000.0,-485000000.0,2267000000.0,3668000000.0
totalRevenue,46660000000.0,19216000000.0,33346000000.0,37491000000.0
totalOperatingExpenses,33859000000.0,20844000000.0,25911000000.0,27818000000.0
costOfRevenue,23724000000.0,12422000000.0,17164000000.0,19507000000.0
totalOtherIncomeExpenseNet,-89000000.0,-1512000000.0,2089000000.0,300000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,8079000000.0,-2655000000.0,7257000000.0,6305000000.0
netIncomeApplicableToCommonShares,8079000000.0,-2701000000.0,7189000000.0,6257000000.0
investments,3091000000.0,-658000000.0,-2910000000.0,1620000000.0
changeToLiabilities,1399000000.0,-249000000.0,-378000000.0,-52000000.0
totalCashflowsFromInvestingActivities,-8544000000.0,-4121000000.0,-6618000000.0,-3843000000.0
netBorrowings,-505000000.0,46000000.0,-80000000.0,-4995000000.0
totalCashFromFinancingActivities,-6335000000.0,-2708000000.0,-5229000000.0,-9359000000.0
changeToOperatingActivities,-649000000.0,76000000.0,37000000.0,-55000000.0
issuanceOfStock,145000000.0,145000000.0,145000000.0,121000000.0
changeInCash,2083000000.0,-2047000000.0,-789000000.0,-385000000.0
repurchaseOfStock,-3623000000.0,-892000000.0,-3500000000.0,-2999000000.0
effectOfExchangeRate,-34000000.0,-20000000.0,-46000000.0,-117000000.0
totalCashFromOperatingActivities,16996000000.0,4802000000.0,11104000000.0,12934000000.0
depreciation,7218000000.0,6389000000.0,6311000000.0,6012000000.0
otherCashflowsFromInvestingActivities,326000000.0,-65000000.0,-84000000.0,205000000.0
dividendsPaid,-2359000000.0,-1831000000.0,-1500000000.0,-1363000000.0
changeToInventory,-160000000.0,-25000000.0,-67000000.0,86000000.0
changeToAccountReceivables,-2500000000.0,521000000.0,505000000.0,235000000.0
otherCashflowsFromFinancingActivities,7000000.0,-31000000.0,-149000000.0,-123000000.0
changeToNetincome,428000000.0,1486000000.0,-1817000000.0,30000000.0
capitalExpenditures,-5324000000.0,-4715000000.0,-6636000000.0,-6750000000.0
annualDilutedAverageShares,,,,
