,2022,2021,2020,2019
capitalSurplus,6884000000.0,7031000000.0,6698000000.0,6417000000.0
totalLiab,43519000000.0,41190000000.0,36851000000.0,29816000000.0
totalStockholderEquity,20642000000.0,17564000000.0,18284000000.0,15243000000.0
minorityInterest,5000000.0,514000000.0,421000000.0,341000000.0
otherCurrentLiab,7301000000.0,6309000000.0,5317000000.0,5452000000.0
totalAssets,64166000000.0,59268000000.0,55556000000.0,45400000000.0
commonStock,2000000.0,4000000.0,4000000.0,4000000.0
otherCurrentAssets,1499000000.0,1312000000.0,1023000000.0,1111000000.0
retainedEarnings,15585000000.0,11666000000.0,12879000000.0,10258000000.0
otherLiab,1172000000.0,1435000000.0,1278000000.0,1085000000.0
goodWill,993000000.0,996000000.0,988000000.0,53000000.0
treasuryStock,-1829000000.0,-1137000000.0,-1297000000.0,-1436000000.0
otherAssets,1437000000.0,1385000000.0,1261000000.0,972000000.0
cash,10203000000.0,11258000000.0,12277000000.0,8384000000.0
totalCurrentLiabilities,31998000000.0,29441000000.0,24844000000.0,23237000000.0
deferredLongTermAssetCharges,445000000.0,444000000.0,406000000.0,398000000.0
shortLongTermDebt,73000000.0,799000000.0,95000000.0,1699000000.0
otherStockholderEquity,-1829000000.0,-1137000000.0,-1297000000.0,-1436000000.0
propertyPlantEquipment,29040000000.0,27382000000.0,25187000000.0,20890000000.0
totalCurrentAssets,32696000000.0,29505000000.0,28120000000.0,23485000000.0
netTangibleAssets,19649000000.0,16568000000.0,17296000000.0,15190000000.0
shortTermInvestments,846000000.0,917000000.0,1028000000.0,1060000000.0
netReceivables,2241000000.0,1803000000.0,1550000000.0,1535000000.0
longTermDebt,6484000000.0,6692000000.0,7514000000.0,5124000000.0
inventory,17907000000.0,14215000000.0,12242000000.0,11395000000.0
accountsPayable,17848000000.0,16278000000.0,14172000000.0,11679000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7840000000.0,6680000000.0,5367000000.0,4765000000.0
netIncome,5844000000.0,5007000000.0,4002000000.0,3659000000.0
sellingGeneralAdministrative,19779000000.0,18022000000.0,16387000000.0,14994000000.0
grossProfit,27572000000.0,25245000000.0,21822000000.0,19817000000.0
ebit,7793000000.0,7223000000.0,5435000000.0,4737000000.0
operatingIncome,7793000000.0,7223000000.0,5435000000.0,4737000000.0
otherOperatingExpenses,,,,
interestExpense,-158000000.0,-171000000.0,-160000000.0,-150000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1925000000.0,1601000000.0,1308000000.0,1061000000.0
totalRevenue,226954000000.0,195929000000.0,166761000000.0,152703000000.0
totalOperatingExpenses,219161000000.0,188706000000.0,161326000000.0,147966000000.0
costOfRevenue,199382000000.0,170684000000.0,144939000000.0,132886000000.0
totalOtherIncomeExpenseNet,47000000.0,-543000000.0,-68000000.0,28000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5915000000.0,5079000000.0,4059000000.0,3704000000.0
netIncomeApplicableToCommonShares,5844000000.0,5007000000.0,4002000000.0,3659000000.0
investments,24000000.0,115000000.0,52000000.0,137000000.0
changeToLiabilities,1891000000.0,1838000000.0,2261000000.0,322000000.0
totalCashflowsFromInvestingActivities,-3915000000.0,-3535000000.0,-3891000000.0,-2865000000.0
netBorrowings,-800000000.0,-94000000.0,792000000.0,419000000.0
totalCashFromFinancingActivities,-4283000000.0,-6488000000.0,-1147000000.0,-1147000000.0
changeToOperatingActivities,549000000.0,1057000000.0,728000000.0,623000000.0
changeInCash,-1055000000.0,-1019000000.0,3893000000.0,2329000000.0
repurchaseOfStock,-802000000.0,-808000000.0,-526000000.0,-519000000.0
effectOfExchangeRate,-249000000.0,46000000.0,70000000.0,-15000000.0
totalCashFromOperatingActivities,7392000000.0,8958000000.0,8861000000.0,6356000000.0
depreciation,1900000000.0,1781000000.0,1645000000.0,1492000000.0
otherCashflowsFromInvestingActivities,-48000000.0,-62000000.0,30000000.0,-4000000.0
dividendsPaid,-1498000000.0,-1318000000.0,-1479000000.0,-1038000000.0
changeToInventory,-4003000000.0,-1892000000.0,-791000000.0,-536000000.0
otherCashflowsFromFinancingActivities,-1183000000.0,162000000.0,66000000.0,-9000000.0
changeToNetincome,1211000000.0,1167000000.0,1016000000.0,796000000.0
capitalExpenditures,-3891000000.0,-3588000000.0,-2810000000.0,-2998000000.0
annualDilutedAverageShares,,444346000.0,443901000.0,442923000.0
