,2022,2021,2020,2019
intangibleAssets,3198000000.0,3239000000.0,3350000000.0,3415000000.0
capitalSurplus,415000000.0,414000000.0,394000000.0,372000000.0
totalLiab,8559000000.0,8580000000.0,9803000000.0,12036000000.0
totalStockholderEquity,3331000000.0,3152000000.0,2563000000.0,1103000000.0
minorityInterest,2000000.0,2000000.0,6000000.0,9000000.0
otherCurrentLiab,157000000.0,129000000.0,154000000.0,628000000.0
totalAssets,11892000000.0,11734000000.0,12372000000.0,13148000000.0
commonStock,12000000.0,12000000.0,12000000.0,12000000.0
otherCurrentAssets,67000000.0,98000000.0,80000000.0,499000000.0
retainedEarnings,4040000000.0,3742000000.0,3190000000.0,1993000000.0
otherLiab,1500000000.0,1576000000.0,1550000000.0,1548000000.0
goodWill,3979000000.0,3981000000.0,3986000000.0,4017000000.0
treasuryStock,-1136000000.0,-1016000000.0,-1033000000.0,-1274000000.0
otherAssets,170000000.0,214000000.0,29000000.0,1217000000.0
cash,109000000.0,69000000.0,859000000.0,31000000.0
totalCurrentLiabilities,2886000000.0,1814000000.0,3075000000.0,3385000000.0
shortLongTermDebt,566000000.0,,921000000.0,500000000.0
otherStockholderEquity,2000000.0,5000000.0,-10000000.0,-198000000.0
propertyPlantEquipment,2582000000.0,2605000000.0,2622000000.0,2455000000.0
totalCurrentAssets,1963000000.0,1695000000.0,2385000000.0,1967000000.0
netTangibleAssets,-3846000000.0,-4068000000.0,-4773000000.0,-6329000000.0
netReceivables,541000000.0,595000000.0,575000000.0,574000000.0
longTermDebt,3996000000.0,5010000000.0,4990000000.0,7101000000.0
inventory,1246000000.0,933000000.0,871000000.0,863000000.0
accountsPayable,1334000000.0,1070000000.0,1049000000.0,814000000.0
longTermInvestments,,,,77000000.0
researchDevelopment,87000000.0,84000000.0,92000000.0,88000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,975000000.0,1336000000.0,766000000.0,625000000.0
netIncome,757000000.0,1002000000.0,1628000000.0,211000000.0
sellingGeneralAdministrative,1330000000.0,1386000000.0,1519000000.0,1383000000.0
grossProfit,2632000000.0,2814000000.0,3008000000.0,2711000000.0
ebit,1258000000.0,1936000000.0,1259000000.0,1145000000.0
operatingIncome,1258000000.0,1936000000.0,1259000000.0,1145000000.0
otherOperatingExpenses,-43000000.0,-592000000.0,138000000.0,95000000.0
interestExpense,-189000000.0,-210000000.0,-345000000.0,-356000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,218000000.0,328000000.0,174000000.0,151000000.0
totalRevenue,8562000000.0,8476000000.0,8691000000.0,8107000000.0
totalOperatingExpenses,7304000000.0,6540000000.0,7432000000.0,6962000000.0
costOfRevenue,5930000000.0,5662000000.0,5683000000.0,5396000000.0
totalOtherIncomeExpenseNet,-283000000.0,-600000000.0,-493000000.0,-520000000.0
discontinuedOperations,,-6000000.0,1036000000.0,-263000000.0
netIncomeFromContinuingOps,757000000.0,1008000000.0,592000000.0,474000000.0
netIncomeApplicableToCommonShares,757000000.0,1002000000.0,1628000000.0,211000000.0
changeToLiabilities,200000000.0,-164000000.0,145000000.0,125000000.0
totalCashflowsFromInvestingActivities,-230000000.0,-158000000.0,2272000000.0,153000000.0
netBorrowings,-277000000.0,-1181000000.0,-2560000000.0,-1159000000.0
totalCashFromFinancingActivities,-910000000.0,-1669000000.0,-2987000000.0,-1591000000.0
changeToOperatingActivities,25000000.0,-28000000.0,-3000000.0,-1000000.0
issuanceOfStock,3000000.0,2000000.0,23000000.0,23000000.0
changeInCash,40000000.0,-790000000.0,680000000.0,-195000000.0
repurchaseOfStock,-185000000.0,-51000000.0,-12000000.0,-8000000.0
effectOfExchangeRate,-1000000.0,2000000.0,-1000000.0,-7000000.0
totalCashFromOperatingActivities,1181000000.0,1035000000.0,1396000000.0,1250000000.0
depreciation,337000000.0,317000000.0,328000000.0,363000000.0
otherCashflowsFromInvestingActivities,11000000.0,8000000.0,2470000000.0,553000000.0
dividendsPaid,-451000000.0,-439000000.0,-426000000.0,-423000000.0
changeToInventory,-314000000.0,-77000000.0,-20000000.0,36000000.0
changeToAccountReceivables,48000000.0,-20000000.0,-30000000.0,-11000000.0
changeToNetincome,128000000.0,5000000.0,-652000000.0,527000000.0
capitalExpenditures,-242000000.0,-275000000.0,-299000000.0,-384000000.0
investments,,,30000000.0,30000000.0
otherCashflowsFromFinancingActivities,,,-12000000.0,-1000000.0
annualDilutedAverageShares,,305000000.0,304000000.0,302000000.0
