,2021,2020,2019,2018
intangibleAssets,1061192000.0,787599000.0,689413000.0,610888000.0
capitalSurplus,1718304000.0,1627564000.0,1531785000.0,1447512000.0
totalLiab,4432300000.0,3347163000.0,3026315000.0,2517576000.0
totalStockholderEquity,2534820000.0,2114602000.0,1634584000.0,1317332000.0
minorityInterest,57172000.0,29066000.0,31891000.0,20971000.0
otherCurrentLiab,324077000.0,285745000.0,242046000.0,216419000.0
totalAssets,7024292000.0,5490831000.0,4692790000.0,3855879000.0
commonStock,505000.0,498000.0,489000.0,482000.0
otherCurrentAssets,96248000.0,71536000.0,55089000.0,47922000.0
retainedEarnings,980751000.0,625414000.0,280329000.0,42096000.0
otherLiab,482579000.0,422246000.0,350216000.0,322756000.0
goodWill,2711881000.0,1809168000.0,1540565000.0,1247133000.0
treasuryStock,-164740000.0,-138874000.0,-178019000.0,-172758000.0
otherAssets,191763000.0,168551000.0,134295000.0,78554000.0
cash,241214000.0,228424000.0,238014000.0,195442000.0
totalCurrentLiabilities,1033185000.0,839751000.0,710181000.0,558222000.0
deferredLongTermAssetCharges,40226000.0,37729000.0,44659000.0,23386000.0
shortLongTermDebt,101000.0,47196000.0,35548000.0,28228000.0
otherStockholderEquity,-164740000.0,-138874000.0,-178019000.0,-172703000.0
propertyPlantEquipment,1584009000.0,1302578000.0,1184213000.0,932877000.0
totalCurrentAssets,1274095000.0,1201131000.0,1021325000.0,897836000.0
longTermInvestments,201352000.0,221804000.0,122979000.0,88591000.0
netTangibleAssets,-1238253000.0,-482165000.0,-595394000.0,-540689000.0
shortTermInvestments,1063000.0,1024000.0,941000.0,885000.0
netReceivables,642881000.0,617740000.0,514033000.0,472248000.0
longTermDebt,2639035000.0,1903542000.0,1822136000.0,1610546000.0
inventory,199146000.0,185695000.0,160660000.0,127892000.0
accountsPayable,198130000.0,122475000.0,111498000.0,66250000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,480710000.0,447114000.0,304084000.0,281681000.0
netIncome,390982000.0,364304000.0,252019000.0,226373000.0
sellingGeneralAdministrative,578226000.0,511282000.0,487687000.0,435642000.0
grossProfit,1337470000.0,1078914000.0,965026000.0,842686000.0
ebit,634387000.0,455755000.0,387801000.0,342214000.0
operatingIncome,634387000.0,455755000.0,387801000.0,342214000.0
otherOperatingExpenses,,,,
interestExpense,-73910000.0,-86433000.0,-60882000.0,-63772000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,81873000.0,81808000.0,50023000.0,54463000.0
totalRevenue,3540160000.0,2923933000.0,2621226000.0,2266096000.0
totalOperatingExpenses,2905773000.0,2468178000.0,2233425000.0,1923882000.0
costOfRevenue,2202690000.0,1845019000.0,1656200000.0,1423410000.0
totalOtherIncomeExpenseNet,-153677000.0,-8641000.0,-83717000.0,-60533000.0
discontinuedOperations,,,,1506000.0
netIncomeFromContinuingOps,398837000.0,365306000.0,254061000.0,227218000.0
netIncomeApplicableToCommonShares,390982000.0,364304000.0,252019000.0,226373000.0
investments,-39023000.0,-15291000.0,-21399000.0,10724000.0
changeToLiabilities,48424000.0,38350000.0,15257000.0,51455000.0
totalCashflowsFromInvestingActivities,-1437932000.0,-601544000.0,-681502000.0,-955003000.0
netBorrowings,708236000.0,30588000.0,233873000.0,554025000.0
totalCashFromFinancingActivities,672598000.0,47248000.0,231937000.0,558059000.0
changeToOperatingActivities,46310000.0,39381000.0,20644000.0,-2107000.0
issuanceOfStock,45652000.0,46586000.0,34546000.0,37657000.0
changeInCash,13195000.0,-6927000.0,42728000.0,30987000.0
repurchaseOfStock,-40707000.0,-23979000.0,-18087000.0,-13846000.0
effectOfExchangeRate,17730000.0,794000.0,11357000.0,-9474000.0
totalCashFromOperatingActivities,760799000.0,546575000.0,480936000.0,437405000.0
depreciation,265540000.0,234924000.0,198095000.0,161779000.0
otherCashflowsFromInvestingActivities,264000.0,-1065000.0,-3888000.0,-805000.0
changeToInventory,-25159000.0,-18379000.0,-21399000.0,-13338000.0
changeToAccountReceivables,-26633000.0,-85627000.0,-8323000.0,-21196000.0
otherCashflowsFromFinancingActivities,-40583000.0,-5947000.0,-18395000.0,-19777000.0
changeToNetincome,61335000.0,-26378000.0,24643000.0,34439000.0
capitalExpenditures,-228772000.0,-166560000.0,-140514000.0,-140054000.0
annualDilutedAverageShares,,,,
