,2022,2021,2020,2019
intangibleAssets,8978000000.0,4114000000.0,4724000000.0,2497000000.0
capitalSurplus,50919000000.0,35601000000.0,32116000000.0,13927000000.0
totalLiab,37078000000.0,24808000000.0,21241000000.0,15132000000.0
totalStockholderEquity,58131000000.0,41493000000.0,33885000000.0,15605000000.0
deferredLongTermLiab,2421000000.0,1715000000.0,1348000000.0,1232000000.0
otherCurrentLiab,15628000000.0,12607000000.0,10662000000.0,8581000000.0
totalAssets,95209000000.0,66301000000.0,55126000000.0,30737000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
otherCurrentAssets,1454000000.0,1146000000.0,926000000.0,830000000.0
retainedEarnings,7377000000.0,5933000000.0,1861000000.0,1735000000.0
otherLiab,1724000000.0,1472000000.0,946000000.0,511000000.0
goodWill,47937000000.0,26318000000.0,25134000000.0,12851000000.0
treasuryStock,-166000000.0,-42000000.0,-93000000.0,-58000000.0
otherAssets,4965000000.0,4408000000.0,1927000000.0,1353000000.0
cash,5464000000.0,6195000000.0,4145000000.0,2669000000.0
totalCurrentLiabilities,21788000000.0,17728000000.0,14845000000.0,11255000000.0
deferredLongTermAssetCharges,2544000000.0,2651000000.0,486000000.0,
shortLongTermDebt,4000000.0,4000000.0,4000000.0,
otherStockholderEquity,-166000000.0,-42000000.0,-93000000.0,-58000000.0
propertyPlantEquipment,5695000000.0,5663000000.0,5415000000.0,2051000000.0
totalCurrentAssets,22850000000.0,21889000000.0,15963000000.0,10683000000.0
longTermInvestments,4784000000.0,3909000000.0,1963000000.0,1302000000.0
netTangibleAssets,1216000000.0,11061000000.0,4027000000.0,257000000.0
shortTermInvestments,5073000000.0,5771000000.0,3802000000.0,1673000000.0
netReceivables,9739000000.0,7786000000.0,6174000000.0,5139000000.0
longTermDebt,10592000000.0,2673000000.0,2673000000.0,3173000000.0
accountsPayable,2956000000.0,2616000000.0,1876000000.0,2461000000.0
researchDevelopment,4465000000.0,3598000000.0,2766000000.0,1886000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1532000000.0,2561000000.0,706000000.0,983000000.0
minorityInterest,,,,
netIncome,1444000000.0,4072000000.0,126000000.0,1110000000.0
sellingGeneralAdministrative,14399000000.0,11761000000.0,9634000000.0,7410000000.0
grossProfit,19466000000.0,15814000000.0,12863000000.0,9831000000.0
ebit,602000000.0,455000000.0,463000000.0,535000000.0
operatingIncome,602000000.0,455000000.0,463000000.0,535000000.0
otherOperatingExpenses,,,,
interestExpense,-220000000.0,-126000000.0,-126000000.0,-126000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,88000000.0,-1511000000.0,580000000.0,-127000000.0
totalRevenue,26492000000.0,21252000000.0,17098000000.0,13282000000.0
totalOperatingExpenses,25890000000.0,20797000000.0,16635000000.0,12747000000.0
costOfRevenue,7026000000.0,5438000000.0,4235000000.0,3451000000.0
totalOtherIncomeExpenseNet,930000000.0,2106000000.0,243000000.0,448000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1444000000.0,4072000000.0,126000000.0,1110000000.0
netIncomeApplicableToCommonShares,1444000000.0,4072000000.0,126000000.0,1110000000.0
investments,1057000000.0,-1980000000.0,-1968000000.0,402000000.0
changeToLiabilities,3136000000.0,2972000000.0,2647000000.0,1790000000.0
totalCashflowsFromInvestingActivities,-14536000000.0,-3971000000.0,-2980000000.0,-5308000000.0
netBorrowings,6549000000.0,-107000000.0,-676000000.0,1306000000.0
totalCashFromFinancingActivities,7838000000.0,1194000000.0,164000000.0,2010000000.0
changeToOperatingActivities,-2970000000.0,-2608000000.0,-1977000000.0,-1039000000.0
issuanceOfStock,1289000000.0,1321000000.0,840000000.0,704000000.0
changeInCash,-731000000.0,2050000000.0,1476000000.0,126000000.0
effectOfExchangeRate,-33000000.0,26000000.0,-39000000.0,26000000.0
totalCashFromOperatingActivities,6000000000.0,4801000000.0,4331000000.0,3398000000.0
depreciation,2462000000.0,2846000000.0,2135000000.0,982000000.0
changeToAccountReceivables,-1824000000.0,-1556000000.0,-1000000000.0,-923000000.0
changeToNetincome,1568000000.0,-1983000000.0,1524000000.0,741000000.0
capitalExpenditures,-717000000.0,-710000000.0,-643000000.0,-595000000.0
otherCashflowsFromFinancingActivities,,-20000000.0,-20000000.0,-20000000.0
annualDilutedAverageShares,974000000.0,930000000.0,850000000.0,775000000.0
