,2022,2021,2020,2019
intangibleAssets,2569000000.0,3619000000.0,1576000000.0,2201000000.0
totalLiab,54229000000.0,56222000000.0,56933000000.0,64222000000.0
totalStockholderEquity,39773000000.0,41275000000.0,37920000000.0,33571000000.0
otherCurrentLiab,18309000000.0,17081000000.0,16504000000.0,16111000000.0
totalAssets,94002000000.0,97497000000.0,94853000000.0,97793000000.0
commonStock,42714000000.0,42346000000.0,41202000000.0,40266000000.0
otherCurrentAssets,4355000000.0,2880000000.0,2343000000.0,2373000000.0
retainedEarnings,-1319000000.0,-654000000.0,-2763000000.0,-5903000000.0
otherLiab,19449000000.0,20116000000.0,19363000000.0,18035000000.0
goodWill,38304000000.0,38168000000.0,33806000000.0,33529000000.0
treasuryStock,-1622000000.0,-417000000.0,-519000000.0,-792000000.0
otherAssets,11912000000.0,12316000000.0,12355000000.0,10244000000.0
cash,7079000000.0,9175000000.0,11809000000.0,11750000000.0
totalCurrentLiabilities,25640000000.0,26257000000.0,25331000000.0,31712000000.0
deferredLongTermAssetCharges,4449000000.0,4360000000.0,3990000000.0,4065000000.0
shortLongTermDebt,499000000.0,2508000000.0,3005000000.0,5999000000.0
otherStockholderEquity,-1622000000.0,-417000000.0,-519000000.0,-792000000.0
propertyPlantEquipment,3000000000.0,3433000000.0,3374000000.0,2789000000.0
totalCurrentAssets,36717000000.0,39112000000.0,43573000000.0,47755000000.0
longTermInvestments,1500000000.0,849000000.0,169000000.0,1275000000.0
netTangibleAssets,-1100000000.0,-512000000.0,2538000000.0,-2159000000.0
shortTermInvestments,12188000000.0,15343000000.0,17610000000.0,21663000000.0
netReceivables,10527000000.0,10146000000.0,10523000000.0,10586000000.0
longTermDebt,8416000000.0,9018000000.0,11578000000.0,14475000000.0
inventory,2568000000.0,1559000000.0,1282000000.0,1383000000.0
accountsPayable,2594000000.0,2513000000.0,2359000000.0,2188000000.0
researchDevelopment,6774000000.0,6549000000.0,6347000000.0,6577000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,14477000000.0,13262000000.0,13970000000.0,14571000000.0
minorityInterest,,,,
netIncome,11812000000.0,10591000000.0,11214000000.0,11621000000.0
sellingGeneralAdministrative,11136000000.0,11365000000.0,11073000000.0,11377000000.0
grossProfit,32248000000.0,31894000000.0,31683000000.0,32666000000.0
ebit,14025000000.0,13765000000.0,14122000000.0,14562000000.0
operatingIncome,14025000000.0,13765000000.0,14122000000.0,14562000000.0
otherOperatingExpenses,,,,
interestExpense,-360000000.0,-434000000.0,-585000000.0,-859000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2665000000.0,2671000000.0,2756000000.0,2950000000.0
totalRevenue,51557000000.0,49818000000.0,49301000000.0,51904000000.0
totalOperatingExpenses,37532000000.0,36053000000.0,35179000000.0,37342000000.0
costOfRevenue,19309000000.0,17924000000.0,17618000000.0,19238000000.0
totalOtherIncomeExpenseNet,452000000.0,-503000000.0,-152000000.0,9000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,11812000000.0,10591000000.0,11214000000.0,11621000000.0
netIncomeApplicableToCommonShares,11812000000.0,10591000000.0,11214000000.0,11621000000.0
investments,2327000000.0,2473000000.0,4428000000.0,17911000000.0
changeToLiabilities,1273000000.0,1507000000.0,2152000000.0,1494000000.0
totalCashflowsFromInvestingActivities,1553000000.0,-5285000000.0,3500000000.0,14837000000.0
netBorrowings,-1895000000.0,-3005000000.0,-10190000000.0,-1084000000.0
totalCashFromFinancingActivities,-15962000000.0,-12097000000.0,-18856000000.0,-27889000000.0
changeToOperatingActivities,-266000000.0,1377000000.0,-889000000.0,-776000000.0
issuanceOfStock,660000000.0,643000000.0,655000000.0,640000000.0
changeInCash,-1363000000.0,-1870000000.0,40000000.0,2779000000.0
repurchaseOfStock,-8381000000.0,-3513000000.0,-3386000000.0,-21579000000.0
effectOfExchangeRate,-180000000.0,58000000.0,-30000000.0,-30000000.0
totalCashFromOperatingActivities,13226000000.0,15454000000.0,15426000000.0,15831000000.0
depreciation,1877000000.0,1731000000.0,1700000000.0,1774000000.0
otherCashflowsFromInvestingActivities,-15000000.0,-56000000.0,-10000000.0,-12000000.0
dividendsPaid,-6224000000.0,-6163000000.0,-6016000000.0,-5979000000.0
changeToInventory,-1030000000.0,-244000000.0,84000000.0,131000000.0
changeToAccountReceivables,-1009000000.0,-107000000.0,-107000000.0,-84000000.0
otherCashflowsFromFinancingActivities,-122000000.0,-59000000.0,81000000.0,113000000.0
changeToNetincome,1259000000.0,1148000000.0,1594000000.0,1359000000.0
capitalExpenditures,-477000000.0,-692000000.0,-770000000.0,-909000000.0
annualDilutedAverageShares,4192000000.0,4236000000.0,4254000000.0,4453000000.0
