,2021,2020,2019,2018
intangibleAssets,175000000.0,,,
totalLiab,27031000000.0,26683000000.0,26394000000.0,24149000000.0
totalStockholderEquity,13490000000.0,13101000000.0,11848000000.0,12563000000.0
minorityInterest,10000000.0,9000000.0,15000000.0,17000000.0
otherCurrentLiab,314000000.0,210000000.0,238000000.0,309000000.0
totalAssets,40531000000.0,39793000000.0,38257000000.0,36729000000.0
commonStock,2202000000.0,2288000000.0,773000000.0,818000000.0
otherCurrentAssets,70000000.0,96000000.0,77000000.0,181000000.0
retainedEarnings,11630000000.0,11259000000.0,11404000000.0,12157000000.0
otherLiab,8135000000.0,7905000000.0,7757000000.0,7495000000.0
goodWill,276000000.0,63000000.0,,
treasuryStock,-342000000.0,-446000000.0,-329000000.0,-412000000.0
otherAssets,414000000.0,209000000.0,312000000.0,299000000.0
cash,2239000000.0,3129000000.0,958000000.0,858000000.0
totalCurrentLiabilities,2233000000.0,2019000000.0,2151000000.0,1915000000.0
shortLongTermDebt,181000000.0,401000000.0,245000000.0,18000000.0
otherStockholderEquity,-342000000.0,-446000000.0,-329000000.0,-412000000.0
propertyPlantEquipment,33516000000.0,32916000000.0,32700000000.0,31998000000.0
totalCurrentAssets,3873000000.0,4441000000.0,3278000000.0,2565000000.0
longTermInvestments,2277000000.0,2164000000.0,1967000000.0,1867000000.0
netTangibleAssets,13039000000.0,13038000000.0,11848000000.0,12563000000.0
shortTermInvestments,77000000.0,2000000.0,996000000.0,253000000.0
netReceivables,1148000000.0,912000000.0,986000000.0,1010000000.0
longTermDebt,16138000000.0,16301000000.0,15989000000.0,14735000000.0
inventory,339000000.0,302000000.0,261000000.0,263000000.0
accountsPayable,963000000.0,809000000.0,1043000000.0,949000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4951000000.0,3627000000.0,4316000000.0,4304000000.0
netIncome,3781000000.0,2765000000.0,3331000000.0,3309000000.0
sellingGeneralAdministrative,,,,
grossProfit,6643000000.0,5760000000.0,6228000000.0,6262000000.0
ebit,5223000000.0,4377000000.0,4879000000.0,4931000000.0
operatingIncome,5223000000.0,4377000000.0,4879000000.0,4931000000.0
otherOperatingExpenses,,,,
interestExpense,-722000000.0,-754000000.0,-737000000.0,-639000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1170000000.0,862000000.0,985000000.0,995000000.0
totalRevenue,12522000000.0,10583000000.0,11937000000.0,12250000000.0
totalOperatingExpenses,7299000000.0,6206000000.0,7058000000.0,7319000000.0
costOfRevenue,5879000000.0,4823000000.0,5709000000.0,5988000000.0
totalOtherIncomeExpenseNet,-272000000.0,-750000000.0,-563000000.0,-627000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,3781000000.0,2765000000.0,3331000000.0,3309000000.0
netIncomeApplicableToCommonShares,3781000000.0,2765000000.0,3331000000.0,3308000000.0
investments,-70000000.0,998000000.0,-730000000.0,-231000000.0
changeToLiabilities,128000000.0,-20000000.0,98000000.0,104000000.0
totalCashflowsFromInvestingActivities,-1877000000.0,-649000000.0,-2102000000.0,-1684000000.0
netBorrowings,-426000000.0,255000000.0,1482000000.0,2981000000.0
totalCashFromFinancingActivities,-4112000000.0,-1443000000.0,-2648000000.0,-2500000000.0
changeToOperatingActivities,114000000.0,-100000000.0,-28000000.0,54000000.0
changeInCash,-890000000.0,2171000000.0,100000000.0,457000000.0
repurchaseOfStock,-2886000000.0,-867000000.0,-3373000000.0,-4671000000.0
totalCashFromOperatingActivities,5099000000.0,4263000000.0,4850000000.0,4641000000.0
depreciation,1420000000.0,1383000000.0,1349000000.0,1331000000.0
otherCashflowsFromInvestingActivities,-4000000.0,-77000000.0,31000000.0,-27000000.0
dividendsPaid,-839000000.0,-797000000.0,-763000000.0,-751000000.0
changeToAccountReceivables,-141000000.0,83000000.0,45000000.0,-46000000.0
otherCashflowsFromFinancingActivities,39000000.0,-34000000.0,6000000.0,-59000000.0
changeToNetincome,-275000000.0,113000000.0,53000000.0,-7000000.0
capitalExpenditures,-1791000000.0,-1626000000.0,-1657000000.0,-1745000000.0
annualDilutedAverageShares,,,,
