,2022,2021,2020,2019
intangibleAssets,514800000.0,540420000.0,595402000.0,645679000.0
totalLiab,4839060000.0,4548976000.0,4434683000.0,4433941000.0
totalStockholderEquity,3308196000.0,3687847000.0,3235202000.0,3002721000.0
deferredLongTermLiab,232224000.0,227139000.0,227059000.0,205954000.0
otherCurrentLiab,97525000.0,79135000.0,27099000.0,
totalAssets,8147256000.0,8236823000.0,7669885000.0,7436662000.0
commonStock,1771917000.0,1516202000.0,1102689000.0,840328000.0
otherCurrentAssets,83700000.0,79400000.0,76200000.0,69600000.0
retainedEarnings,8719163000.0,7877015000.0,7296509000.0,6691236000.0
otherLiab,731607000.0,779717000.0,721402000.0,732308000.0
goodWill,3042976000.0,2913069000.0,2870020000.0,2842441000.0
treasuryStock,-7182884000.0,-5705370000.0,-5335517000.0,-4756771000.0
otherAssets,574384000.0,560200000.0,450932000.0,409077000.0
cash,90471000.0,493640000.0,145402000.0,96645000.0
totalCurrentLiabilities,1432890000.0,1934085000.0,885195000.0,1127733000.0
shortLongTermDebt,311574000.0,899070000.0,,312264000.0
otherStockholderEquity,107917000.0,30888000.0,-153380000.0,-39152000.0
propertyPlantEquipment,1377376000.0,1357270000.0,1421732000.0,1281385000.0
totalCurrentAssets,2631983000.0,2843309000.0,2309699000.0,2236280000.0
longTermInvestments,5737000.0,22555000.0,22100000.0,21800000.0
netTangibleAssets,-249580000.0,234358000.0,-230220000.0,-485399000.0
netReceivables,1027928000.0,923992000.0,870369000.0,917595000.0
longTermDebt,2545499000.0,1704400000.0,2705391000.0,2573900000.0
inventory,1388856000.0,1291901000.0,1179309000.0,1118722000.0
accountsPayable,251504000.0,230786000.0,230995000.0,226020000.0
capitalSurplus,,,171521000.0,227928000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1498768000.0,1287749000.0,1058291000.0,1102399000.0
minorityInterest,,,,
netIncome,1235757000.0,1110968000.0,876037000.0,884981000.0
sellingGeneralAdministrative,2044876000.0,1924045000.0,2061832000.0,1980644000.0
grossProfit,3632246000.0,3314651000.0,3233748000.0,3128588000.0
ebit,1587370000.0,1390606000.0,1171916000.0,1147944000.0
operatingIncome,1587370000.0,1390606000.0,1171916000.0,1147944000.0
otherOperatingExpenses,,,,
interestExpense,-88844000.0,-98210000.0,-105393000.0,-101736000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,263011000.0,176781000.0,181931000.0,219764000.0
totalRevenue,7854459000.0,7116340000.0,7085120000.0,6892303000.0
totalOperatingExpenses,6267089000.0,5725734000.0,5913204000.0,5744359000.0
costOfRevenue,4222213000.0,3801689000.0,3851372000.0,3763715000.0
totalOtherIncomeExpenseNet,-88602000.0,-102857000.0,-113625000.0,-45545000.0
discontinuedOperations,,,-323000.0,2346000.0
netIncomeFromContinuingOps,1235757000.0,1110968000.0,876360000.0,882635000.0
netIncomeApplicableToCommonShares,1229625000.0,1103345000.0,867879000.0,875413000.0
investments,-6076000.0,-4299000.0,-10031000.0,55501000.0
changeToLiabilities,22697000.0,-2604000.0,2629000.0,12276000.0
totalCashflowsFromInvestingActivities,-402635000.0,-137215000.0,-285398000.0,-235638000.0
netBorrowings,251706000.0,251706000.0,-312500000.0,312500000.0
totalCashFromFinancingActivities,-1537943000.0,-879868000.0,-955207000.0,-873305000.0
changeToOperatingActivities,-41447000.0,4434000.0,-86818000.0,-54534000.0
issuanceOfStock,117737000.0,129957000.0,90519000.0,65371000.0
changeInCash,-403169000.0,348238000.0,48757000.0,-42079000.0
repurchaseOfStock,-1525873000.0,-554121000.0,-464518000.0,-1016300000.0
effectOfExchangeRate,-216000.0,4581000.0,-2121000.0,-998000.0
totalCashFromOperatingActivities,1537625000.0,1360740000.0,1291483000.0,1067862000.0
depreciation,288801000.0,282551000.0,279753000.0,267393000.0
otherCashflowsFromInvestingActivities,-7006000.0,-11113000.0,-4658000.0,-7807000.0
dividendsPaid,-375119000.0,-451327000.0,-267956000.0,-220764000.0
changeToInventory,-95138000.0,-111160000.0,-62000000.0,-150267000.0
changeToAccountReceivables,-100392000.0,-32576000.0,39681000.0,-94918000.0
otherCashflowsFromFinancingActivities,-6394000.0,-4377000.0,-752000.0,-14112000.0
changeToNetincome,119138000.0,52877000.0,108403000.0,98345000.0
capitalExpenditures,-240672000.0,-143470000.0,-230289000.0,-276719000.0
annualDilutedAverageShares,,,,
