,2022,2021,2020,2019
intangibleAssets,1060000000.0,817000000.0,889000000.0,930800000.0
capitalSurplus,4649000000.0,4205000000.0,3818000000.0,2757400000.0
totalLiab,5712000000.0,4838000000.0,4271000000.0,3895800000.0
totalStockholderEquity,4795000000.0,3915000000.0,2899000000.0,1681600000.0
otherCurrentLiab,236000000.0,339000000.0,199000000.0,171900000.0
totalAssets,10507000000.0,9112000000.0,7777000000.0,6184000000.0
commonStock,2000000.0,2000000.0,2000000.0,1500000.0
otherCurrentAssets,144000000.0,119000000.0,65000000.0,50000000.0
retainedEarnings,538000000.0,25000000.0,-535000000.0,-723400000.0
otherLiab,384000000.0,476000000.0,433000000.0,342300000.0
goodWill,3006000000.0,2519000000.0,2471000000.0,2220900000.0
treasuryStock,-394000000.0,-317000000.0,-386000000.0,-353900000.0
otherAssets,236000000.0,210000000.0,117000000.0,99800000.0
cash,449000000.0,896000000.0,953000000.0,345400000.0
totalCurrentLiabilities,1072000000.0,1196000000.0,893000000.0,670700000.0
deferredLongTermAssetCharges,49000000.0,66000000.0,49000000.0,38600000.0
shortLongTermDebt,14000000.0,75000000.0,73000000.0,76500000.0
otherStockholderEquity,-394000000.0,-317000000.0,-386000000.0,-353900000.0
propertyPlantEquipment,3220000000.0,2608000000.0,2002000000.0,1536700000.0
totalCurrentAssets,2916000000.0,2918000000.0,2293000000.0,1395800000.0
longTermInvestments,69000000.0,40000000.0,5000000.0,
netTangibleAssets,729000000.0,579000000.0,-461000000.0,-1470100000.0
shortTermInvestments,89000000.0,71000000.0,,
netReceivables,1449000000.0,1193000000.0,899000000.0,716400000.0
longTermDebt,3954000000.0,2973000000.0,2803000000.0,2715500000.0
inventory,724000000.0,593000000.0,347000000.0,265300000.0
accountsPayable,421000000.0,385000000.0,321000000.0,255800000.0
deferredLongTermLiab,,,,3000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,605000000.0,715000000.0,260000000.0,160000000.0
minorityInterest,,,,
netIncome,519000000.0,585000000.0,221000000.0,137000000.0
sellingGeneralAdministrative,844000000.0,687000000.0,577000000.0,512000000.0
grossProfit,1640000000.0,1352000000.0,983000000.0,805000000.0
ebit,796000000.0,665000000.0,406000000.0,293000000.0
operatingIncome,796000000.0,665000000.0,406000000.0,293000000.0
otherOperatingExpenses,,,,
interestExpense,-123000000.0,-110000000.0,-126000000.0,-111000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,86000000.0,130000000.0,39000000.0,23000000.0
totalRevenue,4828000000.0,3998000000.0,3094000000.0,2518000000.0
totalOperatingExpenses,4032000000.0,3333000000.0,2688000000.0,2225000000.0
costOfRevenue,3188000000.0,2646000000.0,2111000000.0,1713000000.0
totalOtherIncomeExpenseNet,-191000000.0,50000000.0,-146000000.0,-133000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,519000000.0,585000000.0,221000000.0,137000000.0
netIncomeApplicableToCommonShares,503000000.0,529000000.0,173000000.0,132000000.0
investments,-22000000.0,-103000000.0,-3000000.0,-2000000.0
changeToLiabilities,37000000.0,50000000.0,72000000.0,36000000.0
totalCashflowsFromInvestingActivities,-1884000000.0,-649000000.0,-827000000.0,-1510000000.0
netBorrowings,1022000000.0,99000000.0,49000000.0,150000000.0
totalCashFromFinancingActivities,1031000000.0,142000000.0,1002000000.0,1201000000.0
changeToOperatingActivities,-448000000.0,-36000000.0,33000000.0,-43000000.0
issuanceOfStock,26000000.0,120000000.0,1046000000.0,445000000.0
changeInCash,-447000000.0,-57000000.0,608000000.0,-65000000.0
repurchaseOfStock,-10000000.0,-46000000.0,-32000000.0,-15000000.0
effectOfExchangeRate,-33000000.0,17000000.0,-7000000.0,-4000000.0
totalCashFromOperatingActivities,439000000.0,433000000.0,440000000.0,248000000.0
depreciation,378000000.0,289000000.0,254000000.0,229000000.0
dividendsPaid,-4000000.0,-22000000.0,-36000000.0,-36000000.0
changeToInventory,-128000000.0,-260000000.0,-76000000.0,-34000000.0
changeToAccountReceivables,-73000000.0,-186000000.0,-151000000.0,-119000000.0
otherCashflowsFromFinancingActivities,-3000000.0,-9000000.0,-25000000.0,-29000000.0
changeToNetincome,147000000.0,-20000000.0,75000000.0,28000000.0
capitalExpenditures,-660000000.0,-686000000.0,-466000000.0,-218000000.0
annualDilutedAverageShares,,,,
