,2021,2020,2019,2018
capitalSurplus,10911000000.0,1804000000.0,1782427000.0,1763142000.0
totalLiab,8112000000.0,2308000000.0,2335758000.0,2110670000.0
totalStockholderEquity,11738000000.0,2216000000.0,2151487000.0,2088159000.0
deferredLongTermLiab,5000000.0,7000000.0,8938000.0,4572000.0
otherCurrentLiab,188000000.0,,9000.0,
totalAssets,19900000000.0,4524000000.0,4487245000.0,4198829000.0
commonStock,89000000.0,48000000.0,47688000.0,47610000.0
otherCurrentAssets,24000000.0,40000000.0,15271000.0,59528000.0
retainedEarnings,2563000000.0,2185000000.0,2143213000.0,1607658000.0
otherLiab,3512000000.0,942000000.0,842022000.0,597302000.0
treasuryStock,-1825000000.0,-1821000000.0,-1821841000.0,-1330251000.0
otherAssets,72000000.0,29000000.0,27375000.0,27497000.0
cash,1036000000.0,140000000.0,200227000.0,2287000.0
totalCurrentLiabilities,1220000000.0,390000000.0,328034000.0,287264000.0
otherStockholderEquity,1000000.0,2000000.0,1360000.0,4437000.0
propertyPlantEquipment,17692000000.0,4079000000.0,3891622000.0,3463606000.0
totalCurrentAssets,2136000000.0,416000000.0,568248000.0,544545000.0
netTangibleAssets,11738000000.0,2216000000.0,2151487000.0,2088159000.0
netReceivables,1037000000.0,221000000.0,338818000.0,471654000.0
longTermDebt,3125000000.0,946000000.0,1133025000.0,1226104000.0
inventory,39000000.0,15000000.0,13932000.0,11076000.0
accountsPayable,747000000.0,162000000.0,189811000.0,241939000.0
shortLongTermDebt,,188000000.0,87000000.0,
longTermInvestments,,,,163181000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1502000000.0,242000000.0,900000000.0,698137000.0
minorityInterest,,,,
netIncome,1158000000.0,201000000.0,681000000.0,557043000.0
sellingGeneralAdministrative,164000000.0,106000000.0,95000000.0,96641000.0
grossProfit,2851000000.0,761000000.0,1333000000.0,1393141000.0
ebit,1672000000.0,296000000.0,876000000.0,786991000.0
operatingIncome,1672000000.0,296000000.0,876000000.0,786991000.0
otherOperatingExpenses,304000000.0,-47000000.0,-64000000.0,-21790000.0
interestExpense,-62000000.0,-54000000.0,-55000000.0,-73201000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,344000000.0,41000000.0,219000000.0,141094000.0
totalRevenue,3670000000.0,1405000000.0,1985000000.0,2143716000.0
totalOperatingExpenses,1998000000.0,1109000000.0,1109000000.0,1356725000.0
costOfRevenue,819000000.0,644000000.0,652000000.0,750575000.0
totalOtherIncomeExpenseNet,-170000000.0,-54000000.0,24000000.0,-88854000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1158000000.0,201000000.0,681000000.0,557043000.0
netIncomeApplicableToCommonShares,1155000000.0,201000000.0,681000000.0,557043000.0
changeToLiabilities,47000000.0,-30000000.0,-30000000.0,30468000.0
totalCashflowsFromInvestingActivities,313000000.0,-584000000.0,-543000000.0,-293383000.0
netBorrowings,-190000000.0,-87000000.0,-7000000.0,-297000000.0
totalCashFromFinancingActivities,-1086000000.0,-256000000.0,-690000000.0,-1289280000.0
changeToOperatingActivities,-1000000.0,7000000.0,-22000000.0,16536000.0
issuanceOfStock,2000000.0,2000000.0,2000000.0,2000000.0
changeInCash,894000000.0,-62000000.0,212000000.0,-477760000.0
repurchaseOfStock,-114000000.0,-10000000.0,-531000000.0,-880911000.0
totalCashFromOperatingActivities,1667000000.0,778000000.0,1445000000.0,1104903000.0
depreciation,693000000.0,391000000.0,406000000.0,417479000.0
dividendsPaid,-780000000.0,-159000000.0,-146000000.0,-111369000.0
changeToInventory,5000000.0,-2000000.0,-3000000.0,-3927000.0
changeToAccountReceivables,-229000000.0,-6000000.0,153000000.0,-146921000.0
otherCashflowsFromFinancingActivities,-4000000.0,-4000000.0,-6000000.0,-6000000.0
changeToNetincome,-40000000.0,93000000.0,274000000.0,289210000.0
capitalExpenditures,-728000000.0,-576000000.0,-788000000.0,-894470000.0
investments,,-9000000.0,242000000.0,-77263000.0
annualDilutedAverageShares,,,,
