,2021,2020,2019,2018
intangibleAssets,1218000000.0,1046000000.0,1041000000.0,1150000000.0
capitalSurplus,27000000.0,32000000.0,33000000.0,47000000.0
totalLiab,5861000000.0,6087000000.0,5182000000.0,4422000000.0
totalStockholderEquity,11991000000.0,10836000000.0,11022000000.0,11424000000.0
deferredLongTermLiab,394000000.0,467000000.0,485000000.0,400000000.0
otherCurrentLiab,864000000.0,875000000.0,842000000.0,842000000.0
totalAssets,17852000000.0,16923000000.0,16204000000.0,15846000000.0
commonStock,5000000.0,5000000.0,5000000.0,6000000.0
otherCurrentAssets,756000000.0,725000000.0,991000000.0,1027000000.0
retainedEarnings,11922000000.0,10689000000.0,11022000000.0,11485000000.0
otherLiab,918000000.0,1027000000.0,739000000.0,976000000.0
goodWill,5620000000.0,5031000000.0,3979000000.0,3481000000.0
treasuryStock,37000000.0,110000000.0,-38000000.0,-114000000.0
otherAssets,1502000000.0,1696000000.0,1321000000.0,1131000000.0
cash,1792000000.0,2680000000.0,2645000000.0,1161000000.0
totalCurrentLiabilities,3529000000.0,3540000000.0,2983000000.0,2710000000.0
deferredLongTermAssetCharges,404000000.0,445000000.0,585000000.0,442000000.0
shortLongTermDebt,38000000.0,38000000.0,38000000.0,9000000.0
otherStockholderEquity,37000000.0,110000000.0,-38000000.0,-114000000.0
propertyPlantEquipment,2104000000.0,2264000000.0,2235000000.0,1394000000.0
totalCurrentAssets,7342000000.0,6851000000.0,7611000000.0,8610000000.0
longTermInvestments,66000000.0,35000000.0,17000000.0,80000000.0
netTangibleAssets,5153000000.0,4759000000.0,6002000000.0,6793000000.0
shortTermInvestments,927000000.0,44000000.0,365000000.0,2927000000.0
netReceivables,3867000000.0,3402000000.0,3610000000.0,3495000000.0
longTermDebt,626000000.0,663000000.0,700000000.0,736000000.0
accountsPayable,361000000.0,389000000.0,239000000.0,215000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2830000000.0,2096000000.0,2485000000.0,2799000000.0
minorityInterest,,,,
netIncome,2137000000.0,1392000000.0,1842000000.0,2101000000.0
sellingGeneralAdministrative,3533000000.0,3123000000.0,2855000000.0,3007000000.0
grossProfit,6914000000.0,6060000000.0,6149000000.0,6287000000.0
ebit,2807000000.0,2385000000.0,2787000000.0,2820000000.0
operatingIncome,2807000000.0,2385000000.0,2787000000.0,2820000000.0
otherOperatingExpenses,,,,
interestExpense,-9000000.0,-24000000.0,-26000000.0,-27000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,693000000.0,704000000.0,643000000.0,698000000.0
totalRevenue,18507000000.0,16652000000.0,16783000000.0,16125000000.0
totalOperatingExpenses,15700000000.0,14267000000.0,13996000000.0,13305000000.0
costOfRevenue,11593000000.0,10592000000.0,10634000000.0,9838000000.0
totalOtherIncomeExpenseNet,23000000.0,-289000000.0,-302000000.0,-21000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2137000000.0,1392000000.0,1842000000.0,2101000000.0
netIncomeApplicableToCommonShares,2137000000.0,1392000000.0,1842000000.0,2101000000.0
investments,-915000000.0,283000000.0,2597000000.0,-139000000.0
changeToLiabilities,-16000000.0,174000000.0,64000000.0,-90000000.0
totalCashflowsFromInvestingActivities,-2164000000.0,-1238000000.0,1588000000.0,-1627000000.0
netBorrowings,-53000000.0,-50000000.0,-28000000.0,-141000000.0
totalCashFromFinancingActivities,-1203000000.0,-2009000000.0,-2569000000.0,-1693000000.0
changeToOperatingActivities,-65000000.0,375000000.0,375000000.0,48000000.0
issuanceOfStock,130000000.0,142000000.0,159000000.0,181000000.0
changeInCash,-888000000.0,35000000.0,1484000000.0,-764000000.0
repurchaseOfStock,-771000000.0,-1621000000.0,-2247000000.0,-1261000000.0
effectOfExchangeRate,-16000000.0,-17000000.0,-34000000.0,-36000000.0
totalCashFromOperatingActivities,2495000000.0,3299000000.0,2499000000.0,2592000000.0
depreciation,541000000.0,529000000.0,504000000.0,484000000.0
dividendsPaid,-509000000.0,-480000000.0,-453000000.0,-468000000.0
changeToAccountReceivables,-407000000.0,264000000.0,37000000.0,-365000000.0
changeToNetincome,272000000.0,535000000.0,30000000.0,400000000.0
capitalExpenditures,-279000000.0,-398000000.0,-392000000.0,-377000000.0
otherCashflowsFromFinancingActivities,,,,-4000000.0
annualDilutedAverageShares,,,,
