,2021,2020,2019,2018
intangibleAssets,10044000000.0,10747000000.0,11424000000.0,12055000000.0
capitalSurplus,27751000000.0,27707000000.0,27997000000.0,25965000000.0
totalLiab,16721000000.0,17586000000.0,17842000000.0,33530000000.0
totalStockholderEquity,25384000000.0,24824000000.0,24309000000.0,74660000000.0
minorityInterest,239000000.0,239000000.0,246000000.0,493000000.0
otherCurrentLiab,3400000000.0,2880000000.0,2825000000.0,5568000000.0
totalAssets,42344000000.0,42649000000.0,42397000000.0,108683000000.0
commonStock,7000000.0,7000000.0,7000000.0,7000000.0
otherCurrentAssets,683000000.0,1143000000.0,1170000000.0,10109000000.0
retainedEarnings,524000000.0,,-425000000.0,-1000000.0
otherLiab,5725000000.0,7545000000.0,9063000000.0,14436000000.0
goodWill,10107000000.0,10269000000.0,10229000000.0,10193000000.0
treasuryStock,-2898000000.0,-2890000000.0,-3270000000.0,74660000000.0
otherAssets,1736000000.0,1882000000.0,2058000000.0,58781000000.0
cash,4459000000.0,3526000000.0,1764000000.0,2270000000.0
totalCurrentLiabilities,9558000000.0,8548000000.0,8238000000.0,13310000000.0
deferredLongTermAssetCharges,438000000.0,464000000.0,287000000.0,304000000.0
shortLongTermDebt,1000000.0,1000000.0,1000000.0,263000000.0
otherStockholderEquity,-2898000000.0,-2890000000.0,-3270000000.0,74660000000.0
propertyPlantEquipment,4787000000.0,4917000000.0,5101000000.0,4544000000.0
totalCurrentAssets,15546000000.0,14768000000.0,13519000000.0,22972000000.0
longTermInvestments,124000000.0,66000000.0,66000000.0,138000000.0
netTangibleAssets,5233000000.0,3808000000.0,2656000000.0,52412000000.0
shortTermInvestments,86000000.0,269000000.0,5000000.0,5000000.0
netReceivables,4835000000.0,4948000000.0,5548000000.0,5278000000.0
longTermDebt,1097000000.0,1098000000.0,110000000.0,5717000000.0
inventory,5180000000.0,4882000000.0,5032000000.0,5310000000.0
accountsPayable,4126000000.0,3615000000.0,3702000000.0,3798000000.0
researchDevelopment,1187000000.0,1142000000.0,1147000000.0,1355000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2346000000.0,675000000.0,-316000000.0,-6806000000.0
netIncome,1759000000.0,681000000.0,-959000000.0,-5065000000.0
sellingGeneralAdministrative,1891000000.0,2675000000.0,2874000000.0,2766000000.0
grossProfit,6435000000.0,5710000000.0,5543000000.0,5893000000.0
ebit,2635000000.0,1211000000.0,1047000000.0,1381000000.0
operatingIncome,2635000000.0,1211000000.0,1047000000.0,1381000000.0
otherOperatingExpenses,,,,
interestExpense,-30000000.0,-45000000.0,-136000000.0,-337000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,524000000.0,-81000000.0,-46000000.0,-31000000.0
totalRevenue,15655000000.0,14217000000.0,13846000000.0,14287000000.0
totalOperatingExpenses,13020000000.0,13006000000.0,12799000000.0,12906000000.0
costOfRevenue,9220000000.0,8507000000.0,8303000000.0,8394000000.0
totalOtherIncomeExpenseNet,-289000000.0,-536000000.0,-1363000000.0,-8187000000.0
discontinuedOperations,-53000000.0,-55000000.0,-671000000.0,1748000000.0
netIncomeFromContinuingOps,1822000000.0,756000000.0,-270000000.0,-6775000000.0
netIncomeApplicableToCommonShares,1759000000.0,681000000.0,-959000000.0,-5065000000.0
investments,137000000.0,-275000000.0,33000000.0,930000000.0
changeToLiabilities,1098000000.0,-47000000.0,781000000.0,642000000.0
totalCashflowsFromInvestingActivities,-362000000.0,-674000000.0,-904000000.0,-505000000.0
netBorrowings,11000000.0,998000000.0,-7671000000.0,-4800000000.0
totalCashFromFinancingActivities,-1266000000.0,303000000.0,-2929000000.0,-2624000000.0
changeToOperatingActivities,93000000.0,253000000.0,-935000000.0,-1564000000.0
issuanceOfStock,100000000.0,56000000.0,47000000.0,85000000.0
changeInCash,963000000.0,1700000000.0,-2851000000.0,-2890000000.0
repurchaseOfStock,-950000000.0,-275000000.0,-25000000.0,-25000000.0
effectOfExchangeRate,-136000000.0,7000000.0,-88000000.0,-244000000.0
totalCashFromOperatingActivities,2727000000.0,2064000000.0,1070000000.0,483000000.0
depreciation,1243000000.0,1177000000.0,1000000000.0,909000000.0
otherCashflowsFromInvestingActivities,-1000000.0,-7000000.0,-13000000.0,-3000000.0
dividendsPaid,-397000000.0,-388000000.0,-194000000.0,-194000000.0
changeToInventory,-422000000.0,104000000.0,74000000.0,-498000000.0
changeToAccountReceivables,-113000000.0,187000000.0,-361000000.0,-1522000000.0
otherCashflowsFromFinancingActivities,-30000000.0,-88000000.0,4914000000.0,2091000000.0
changeToNetincome,-931000000.0,-291000000.0,1470000000.0,7581000000.0
capitalExpenditures,-573000000.0,-475000000.0,-1163000000.0,-1501000000.0
annualDilutedAverageShares,741600000.0,751200000.0,749500000.0,749400000.0
