,2021,2020,2019,2018
intangibleAssets,29026000000.0,31142000000.0,33121000000.0,36524000000.0
capitalSurplus,47360000000.0,46496000000.0,45955000000.0,45423000000.0
totalLiab,157618000000.0,161014000000.0,158279000000.0,137913000000.0
totalStockholderEquity,75075000000.0,69389000000.0,63864000000.0,58225000000.0
minorityInterest,306000000.0,312000000.0,306000000.0,318000000.0
otherCurrentLiab,24121000000.0,22620000000.0,18579000000.0,16398000000.0
totalAssets,232999000000.0,230715000000.0,222449000000.0,196456000000.0
commonStock,17000000.0,17000000.0,17000000.0,17000000.0
otherCurrentAssets,5292000000.0,5277000000.0,5113000000.0,4581000000.0
retainedEarnings,54906000000.0,49640000000.0,45108000000.0,40911000000.0
otherLiab,19663000000.0,21033000000.0,21351000000.0,22460000000.0
goodWill,79121000000.0,79552000000.0,79749000000.0,78678000000.0
treasuryStock,-27208000000.0,-26764000000.0,-27216000000.0,-28126000000.0
otherAssets,9801000000.0,9505000000.0,9059000000.0,8930000000.0
cash,9408000000.0,7854000000.0,5683000000.0,4059000000.0
totalCurrentLiabilities,67807000000.0,62017000000.0,53303000000.0,44009000000.0
shortLongTermDebt,4155000000.0,5407000000.0,3754000000.0,1265000000.0
otherStockholderEquity,936000000.0,1385000000.0,990000000.0,73000000.0
propertyPlantEquipment,32018000000.0,33335000000.0,32904000000.0,11349000000.0
totalCurrentAssets,60008000000.0,56369000000.0,50302000000.0,45243000000.0
longTermInvestments,23025000000.0,20812000000.0,17314000000.0,15732000000.0
netTangibleAssets,-33072000000.0,-41305000000.0,-49006000000.0,-56977000000.0
shortTermInvestments,3117000000.0,3000000000.0,2373000000.0,2522000000.0
netReceivables,24431000000.0,21742000000.0,19617000000.0,17631000000.0
longTermDebt,50721000000.0,58157000000.0,63918000000.0,70802000000.0
inventory,17760000000.0,18496000000.0,17516000000.0,16450000000.0
accountsPayable,12544000000.0,11138000000.0,10492000000.0,8925000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10420000000.0,9770000000.0,8997000000.0,1406000000.0
netIncome,7910000000.0,7179000000.0,6634000000.0,-594000000.0
sellingGeneralAdministrative,37072000000.0,34585000000.0,32699000000.0,20827000000.0
grossProfit,50849000000.0,48248000000.0,44517000000.0,30878000000.0
ebit,13777000000.0,13663000000.0,11818000000.0,10051000000.0
operatingIncome,13777000000.0,13663000000.0,11818000000.0,10051000000.0
otherOperatingExpenses,,,,
interestExpense,-2503000000.0,-2907000000.0,-3035000000.0,-2619000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2522000000.0,2569000000.0,2366000000.0,2002000000.0
totalRevenue,290912000000.0,267908000000.0,255765000000.0,193919000000.0
totalOperatingExpenses,277135000000.0,254245000000.0,243947000000.0,183868000000.0
costOfRevenue,240063000000.0,219660000000.0,211248000000.0,163041000000.0
totalOtherIncomeExpenseNet,-3357000000.0,-3893000000.0,-2821000000.0,-8645000000.0
discontinuedOperations,,-9000000.0,-9000000.0,-9000000.0
netIncomeFromContinuingOps,7898000000.0,7201000000.0,6631000000.0,-596000000.0
netIncomeApplicableToCommonShares,7910000000.0,7179000000.0,6629000000.0,-597000000.0
investments,-2717000000.0,-3172000000.0,-485000000.0,125000000.0
changeToLiabilities,2898000000.0,2769000000.0,3550000000.0,2329000000.0
totalCashflowsFromInvestingActivities,-5261000000.0,-5534000000.0,-3339000000.0,-43285000000.0
netBorrowings,-9267000000.0,-5673000000.0,-5320000000.0,38265000000.0
totalCashFromFinancingActivities,-11356000000.0,-7696000000.0,-7654000000.0,36819000000.0
changeToOperatingActivities,3018000000.0,2873000000.0,1182000000.0,-149000000.0
issuanceOfStock,549000000.0,264000000.0,210000000.0,242000000.0
changeInCash,1648000000.0,2635000000.0,1855000000.0,2395000000.0
repurchaseOfStock,-168000000.0,-88000000.0,-112000000.0,-97000000.0
totalCashFromOperatingActivities,18265000000.0,15865000000.0,12848000000.0,8865000000.0
depreciation,4512000000.0,4441000000.0,4371000000.0,2718000000.0
otherCashflowsFromInvestingActivities,122000000.0,101000000.0,47000000.0,21000000.0
dividendsPaid,-2625000000.0,-2624000000.0,-2603000000.0,-2038000000.0
changeToInventory,735000000.0,-973000000.0,-1075000000.0,-1153000000.0
changeToAccountReceivables,-2703000000.0,-1510000000.0,-2158000000.0,-1139000000.0
otherCashflowsFromFinancingActivities,155000000.0,425000000.0,171000000.0,447000000.0
changeToNetincome,1895000000.0,1086000000.0,344000000.0,6853000000.0
capitalExpenditures,-2520000000.0,-2437000000.0,-2457000000.0,-2037000000.0
effectOfExchangeRate,,,,-4000000.0
annualDilutedAverageShares,,,,
