,2021,2020,2019,2018
capitalSurplus,17282000000.0,16829000000.0,17265000000.0,17112000000.0
totalLiab,99595000000.0,107064000000.0,92220000000.0,98221000000.0
totalStockholderEquity,139067000000.0,131688000000.0,144213000000.0,154554000000.0
minorityInterest,873000000.0,1038000000.0,995000000.0,1088000000.0
deferredLongTermLiab,2235000000.0,1939000000.0,1507000000.0,1569000000.0
otherCurrentLiab,1700000000.0,921000000.0,2045765000.0,1628000000.0
totalAssets,239535000000.0,239790000000.0,237428000000.0,253863000000.0
commonStock,1832000000.0,1832000000.0,1832000000.0,1832000000.0
otherCurrentAssets,584000000.0,438000000.0,463000000.0,620000000.0
retainedEarnings,165546000000.0,160377000000.0,174945000000.0,180987000000.0
otherLiab,39183000000.0,39499000000.0,39391000000.0,42317000000.0
goodWill,4385000000.0,4402000000.0,4463000000.0,4518000000.0
treasuryStock,-45593000000.0,-47350000000.0,-49829000000.0,-45377000000.0
otherAssets,10087000000.0,9691000000.0,11380000000.0,10571000000.0
cash,5640000000.0,5596000000.0,5686000000.0,9342000000.0
totalCurrentLiabilities,26791000000.0,22183000000.0,26530000000.0,27171000000.0
deferredLongTermAssetCharges,5659000000.0,5286000000.0,4178000000.0,4399000000.0
shortLongTermDebt,146000000.0,-4265000000.0,-1618000000.0,4999000000.0
otherStockholderEquity,-4129000000.0,-5852000000.0,-5230000000.0,-3784000000.0
propertyPlantEquipment,150629000000.0,160567000000.0,154568000000.0,169207000000.0
totalCurrentAssets,33738000000.0,26078000000.0,28329000000.0,34021000000.0
longTermInvestments,40696000000.0,39052000000.0,38688000000.0,35546000000.0
netTangibleAssets,134682000000.0,127286000000.0,139750000000.0,150036000000.0
shortTermInvestments,35000000.0,31000000.0,63000000.0,1003000000.0
netReceivables,18168000000.0,11398000000.0,13314000000.0,14771000000.0
longTermDebt,30664000000.0,42320000000.0,23409000000.0,28606000000.0
inventory,6305000000.0,5676000000.0,5848000000.0,5704000000.0
accountsPayable,16454000000.0,10950000000.0,14103000000.0,13953000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,21639000000.0,-7453000000.0,5536000000.0,20575000000.0
netIncome,15625000000.0,-5543000000.0,2924000000.0,14824000000.0
sellingGeneralAdministrative,25428000000.0,25416000000.0,25945000000.0,24942000000.0
grossProfit,66234000000.0,43983000000.0,59752000000.0,64324000000.0
ebit,15860000000.0,-4178000000.0,10478000000.0,14624000000.0
operatingIncome,15860000000.0,-4178000000.0,10478000000.0,14624000000.0
otherOperatingExpenses,6886000000.0,4492000000.0,4138000000.0,4864000000.0
interestExpense,-712000000.0,-697000000.0,-798000000.0,-748000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5950000000.0,-1892000000.0,2691000000.0,5715000000.0
totalRevenue,155606000000.0,94471000000.0,139865000000.0,158902000000.0
totalOperatingExpenses,139746000000.0,98649000000.0,129387000000.0,144278000000.0
costOfRevenue,89372000000.0,50488000000.0,80113000000.0,94578000000.0
totalOtherIncomeExpenseNet,5779000000.0,-3275000000.0,-4942000000.0,5951000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,15689000000.0,-5561000000.0,2845000000.0,14860000000.0
netIncomeApplicableToCommonShares,15625000000.0,-5543000000.0,2924000000.0,14824000000.0
investments,438000000.0,112000000.0,1094000000.0,-609000000.0
changeToLiabilities,5475000000.0,-3576000000.0,-109000000.0,-494000000.0
totalCashflowsFromInvestingActivities,-5865000000.0,-6965000000.0,-11458000000.0,-12290000000.0
netBorrowings,-12936000000.0,7470000000.0,-7846000000.0,-4502000000.0
totalCashFromFinancingActivities,-23113000000.0,-3736000000.0,-19758000000.0,-13699000000.0
changeToOperatingActivities,-280000000.0,-39000000.0,110000000.0,269000000.0
issuanceOfStock,38000000.0,38000000.0,38000000.0,38000000.0
changeInCash,58000000.0,-174000000.0,-3570000000.0,4538000000.0
effectOfExchangeRate,-151000000.0,-50000000.0,332000000.0,-91000000.0
totalCashFromOperatingActivities,29187000000.0,10577000000.0,27314000000.0,30618000000.0
depreciation,17545000000.0,17383000000.0,18546000000.0,19017000000.0
otherCashflowsFromInvestingActivities,401000000.0,-1419000000.0,-1245000000.0,111000000.0
dividendsPaid,-10179000000.0,-9651000000.0,-8959000000.0,-8502000000.0
changeToInventory,-530000000.0,284000000.0,7000000.0,-424000000.0
changeToAccountReceivables,-7548000000.0,2423000000.0,1852000000.0,437000000.0
otherCashflowsFromFinancingActivities,-36000000.0,-24000000.0,-18000000.0,-91000000.0
changeToNetincome,-2323000000.0,341000000.0,3917000000.0,-2923000000.0
capitalExpenditures,-8056000000.0,-8922000000.0,-14116000000.0,-13792000000.0
repurchaseOfStock,,-1531000000.0,-2935000000.0,-604000000.0
annualDilutedAverageShares,,,,
