,2021,2020,2019,2018
intangibleAssets,4920000000.0,4283000000.0,1111000000.0,1362006000.0
capitalSurplus,6877000000.0,6382000000.0,760000000.0,748076000.0
totalLiab,33490000000.0,31351000000.0,4524000000.0,4882309000.0
totalStockholderEquity,4480000000.0,5016000000.0,1117000000.0,1029153000.0
minorityInterest,61000000.0,18000000.0,,
otherCurrentLiab,3748000000.0,1484000000.0,104000000.0,121929000.0
totalAssets,38031000000.0,36385000000.0,5641000000.0,5911462000.0
otherCurrentAssets,4090000000.0,3604000000.0,257000000.0,180663000.0
retainedEarnings,-2410000000.0,-1391000000.0,366000000.0,290206000.0
otherLiab,1293000000.0,1864000000.0,363000000.0,259024000.0
goodWill,11076000000.0,9864000000.0,910000000.0,1008316000.0
treasuryStock,13000000.0,25000000.0,-9000000.0,-9130000.0
otherAssets,650000000.0,810000000.0,76000000.0,76752000.0
cash,1070000000.0,1776000000.0,206000000.0,230752000.0
totalCurrentLiabilities,5297000000.0,2513000000.0,688000000.0,402177000.0
shortLongTermDebt,70000000.0,67000000.0,246000000.0,462000.0
otherStockholderEquity,36000000.0,34000000.0,,1000.0
propertyPlantEquipment,15263000000.0,15192000000.0,2803000000.0,2882606000.0
totalCurrentAssets,5964000000.0,6063000000.0,605000000.0,573196000.0
longTermInvestments,158000000.0,173000000.0,136000000.0,8586000.0
netTangibleAssets,-11516000000.0,-9131000000.0,-904000000.0,-1341169000.0
netReceivables,472000000.0,386000000.0,58000000.0,76227000.0
longTermDebt,13750000000.0,14163000000.0,2325000000.0,4221108000.0
inventory,42000000.0,44000000.0,18000000.0,20595000.0
accountsPayable,254000000.0,167000000.0,62000000.0,58524000.0
shortTermInvestments,,10000000.0,14000000.0,16957000.0
deferredLongTermLiab,,,,9533000.0
commonStock,,,,1000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-1269000000.0,-1606000000.0,125000000.0,135000000.0
netIncome,-1019000000.0,-1757000000.0,81000000.0,95000000.0
sellingGeneralAdministrative,2091000000.0,1097000000.0,569000000.0,427000000.0
grossProfit,4924000000.0,1782000000.0,1239000000.0,925000000.0
ebit,1707000000.0,102000000.0,448000000.0,341000000.0
operatingIncome,1707000000.0,102000000.0,448000000.0,341000000.0
otherOperatingExpenses,,,,
interestExpense,-2295000000.0,-1202000000.0,-286000000.0,-172000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-283000000.0,132000000.0,44000000.0,40000000.0
totalRevenue,9571000000.0,3628000000.0,2528000000.0,2056000000.0
totalOperatingExpenses,7864000000.0,3526000000.0,2080000000.0,1715000000.0
costOfRevenue,4647000000.0,1846000000.0,1289000000.0,1131000000.0
totalOtherIncomeExpenseNet,-2976000000.0,-1708000000.0,-323000000.0,-206000000.0
discontinuedOperations,-30000000.0,-20000000.0,-20000000.0,-20000000.0
netIncomeFromContinuingOps,-986000000.0,-1738000000.0,81000000.0,95000000.0
netIncomeApplicableToCommonShares,-1019000000.0,-1757000000.0,81000000.0,95000000.0
investments,200000000.0,24000000.0,4000000.0,-1000000.0
changeToLiabilities,486000000.0,25000000.0,31000000.0,-17000000.0
totalCashflowsFromInvestingActivities,-2923000000.0,-6105000000.0,369000000.0,-1268000000.0
netBorrowings,-1041000000.0,8295000000.0,-703000000.0,1091000000.0
totalCashFromFinancingActivities,-550000000.0,10641000000.0,-712000000.0,1044000000.0
changeToOperatingActivities,-67000000.0,9000000.0,10000000.0,10000000.0
issuanceOfStock,3000000.0,2718000000.0,2718000000.0,2718000000.0
changeInCash,-2259000000.0,4063000000.0,-30000000.0,99000000.0
repurchaseOfStock,-45000000.0,-16000000.0,-8000000.0,-21000000.0
effectOfExchangeRate,32000000.0,129000000.0,129000000.0,129000000.0
totalCashFromOperatingActivities,1172000000.0,-582000000.0,313000000.0,323000000.0
depreciation,1126000000.0,583000000.0,222000000.0,157000000.0
otherCashflowsFromInvestingActivities,-1431000000.0,18000000.0,18000000.0,-8000000.0
changeToAccountReceivables,-135000000.0,-70000000.0,5000000.0,6000000.0
otherCashflowsFromFinancingActivities,533000000.0,-356000000.0,-1000000.0,-26000000.0
changeToNetincome,382000000.0,498000000.0,-35000000.0,66000000.0
capitalExpenditures,-520000000.0,-164000000.0,-171000000.0,-147000000.0
changeToInventory,,,,596000.0
annualDilutedAverageShares,,,,
