,2021,2020,2019,2018
intangibleAssets,784000000.0,765000000.0,685000000.0,670000000.0
totalLiab,72282000000.0,69444000000.0,69790000000.0,55866000000.0
totalStockholderEquity,25525000000.0,23730000000.0,29607000000.0,20107000000.0
deferredLongTermLiab,8643000000.0,9133000000.0,7652000000.0,2676000000.0
otherCurrentLiab,3081000000.0,5626000000.0,4223000000.0,1804000000.0
totalAssets,99590000000.0,95905000000.0,103823000000.0,77914000000.0
commonStock,21610000000.0,21258000000.0,23824000000.0,12588000000.0
otherCurrentAssets,2459000000.0,2348000000.0,1624000000.0,1116000000.0
retainedEarnings,5373000000.0,4189000000.0,7576000000.0,9219000000.0
otherLiab,25375000000.0,24070000000.0,30439000000.0,16959000000.0
goodWill,7405000000.0,7381000000.0,7395000000.0,6410000000.0
treasuryStock,-1458000000.0,-1717000000.0,-1793000000.0,-1700000000.0
otherAssets,20460000000.0,18902000000.0,30272000000.0,9487000000.0
cash,283000000.0,172000000.0,135000000.0,268000000.0
totalCurrentLiabilities,8673000000.0,10843000000.0,9940000000.0,7647000000.0
shortLongTermDebt,805000000.0,1905000000.0,2435000000.0,3650000000.0
otherStockholderEquity,-1458000000.0,-1717000000.0,-1793000000.0,-1700000000.0
propertyPlantEquipment,60280000000.0,58412000000.0,57662000000.0,54560000000.0
totalCurrentAssets,7269000000.0,6886000000.0,6096000000.0,5161000000.0
longTermInvestments,3392000000.0,3559000000.0,1713000000.0,1626000000.0
netTangibleAssets,17336000000.0,15584000000.0,21527000000.0,13027000000.0
netReceivables,2568000000.0,2507000000.0,2425000000.0,2080000000.0
longTermDebt,37658000000.0,33907000000.0,28898000000.0,31225000000.0
inventory,1631000000.0,1550000000.0,1616000000.0,1418000000.0
accountsPayable,1197000000.0,944000000.0,1023000000.0,914000000.0
minorityInterest,,344000000.0,2039000000.0,1941000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3098000000.0,1411000000.0,869000000.0,2619000000.0
netIncome,3288000000.0,-401000000.0,1358000000.0,2447000000.0
sellingGeneralAdministrative,-479000000.0,-405000000.0,-141000000.0,-260000000.0
grossProfit,6808000000.0,7399000000.0,6426000000.0,5108000000.0
ebit,4427000000.0,3599000000.0,3356000000.0,3128000000.0
operatingIncome,4427000000.0,3599000000.0,3356000000.0,3128000000.0
otherOperatingExpenses,382000000.0,1873000000.0,928000000.0,580000000.0
interestExpense,-1331000000.0,-1367000000.0,-1477000000.0,-1279000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,425000000.0,83000000.0,209000000.0,522000000.0
totalRevenue,13964000000.0,14172000000.0,14401000000.0,11199000000.0
totalOperatingExpenses,9537000000.0,10573000000.0,11045000000.0,8071000000.0
costOfRevenue,7156000000.0,6773000000.0,7975000000.0,6091000000.0
totalOtherIncomeExpenseNet,-1329000000.0,-2188000000.0,-2487000000.0,-509000000.0
discontinuedOperations,641000000.0,-1878000000.0,716000000.0,452000000.0
netIncomeFromContinuingOps,2673000000.0,1328000000.0,660000000.0,2097000000.0
netIncomeApplicableToCommonShares,3220000000.0,-466000000.0,1341000000.0,2447000000.0
investments,-1021000000.0,-326000000.0,-209000000.0,-428000000.0
changeToLiabilities,156000000.0,35000000.0,-225000000.0,67000000.0
totalCashflowsFromInvestingActivities,-6247000000.0,-2916000000.0,-4622000000.0,-2358000000.0
netBorrowings,3844000000.0,3907000000.0,-4451000000.0,-2211000000.0
totalCashFromFinancingActivities,2371000000.0,-2333000000.0,-704000000.0,-2209000000.0
changeToOperatingActivities,-2073000000.0,-632000000.0,-500000000.0,-169000000.0
issuanceOfStock,192000000.0,159000000.0,4097000000.0,2461000000.0
changeInCash,161000000.0,-22000000.0,-122000000.0,206000000.0
totalCashFromOperatingActivities,4037000000.0,5227000000.0,5204000000.0,4773000000.0
depreciation,2768000000.0,2836000000.0,2977000000.0,2280000000.0
otherCashflowsFromInvestingActivities,181000000.0,3598000000.0,72000000.0,-67000000.0
dividendsPaid,-2036000000.0,-2873000000.0,-2983000000.0,-2185000000.0
changeToInventory,-74000000.0,39000000.0,-90000000.0,-29000000.0
changeToAccountReceivables,-183000000.0,-292000000.0,-105000000.0,-110000000.0
otherCashflowsFromFinancingActivities,-371000000.0,-446000000.0,1842000000.0,-274000000.0
changeToNetincome,155000000.0,3642000000.0,1789000000.0,287000000.0
capitalExpenditures,-6061000000.0,-6331000000.0,-5321000000.0,-4405000000.0
repurchaseOfStock,,-3080000000.0,-3080000000.0,-3080000000.0
annualDilutedAverageShares,810000000.0,831000000.0,838000000.0,681000000.0
