,2021,2020,2019,2018
intangibleAssets,6001000000.0,6011000000.0,5163000000.0,4830000000.0
capitalSurplus,11447000000.0,11259000000.0,11129000000.0,11671000000.0
totalLiab,68572000000.0,70462000000.0,49174000000.0,46579000000.0
totalStockholderEquity,3887000000.0,1534000000.0,15358000000.0,13687000000.0
otherCurrentLiab,8956000000.0,5830000000.0,8350000000.0,7665000000.0
totalAssets,72459000000.0,71996000000.0,64532000000.0,60266000000.0
otherCurrentAssets,163000000.0,192000000.0,238000000.0,91000000.0
retainedEarnings,-148000000.0,-428000000.0,12454000000.0,10039000000.0
otherLiab,15412000000.0,21397000000.0,14803000000.0,13947000000.0
goodWill,9753000000.0,9753000000.0,9781000000.0,9781000000.0
treasuryStock,-7412000000.0,-9297000000.0,-8225000000.0,-8023000000.0
otherAssets,3920000000.0,5784000000.0,2800000000.0,5065000000.0
cash,7933000000.0,8307000000.0,2882000000.0,1565000000.0
totalCurrentLiabilities,20966000000.0,15927000000.0,20204000000.0,18578000000.0
deferredLongTermAssetCharges,1294000000.0,1988000000.0,120000000.0,242000000.0
shortLongTermDebt,1502000000.0,1443000000.0,2058000000.0,1416000000.0
otherStockholderEquity,-7130000000.0,-9038000000.0,-7989000000.0,-7825000000.0
propertyPlantEquipment,35133000000.0,31379000000.0,35918000000.0,33152000000.0
totalCurrentAssets,15940000000.0,17404000000.0,8249000000.0,6340000000.0
longTermInvestments,1712000000.0,1665000000.0,2621000000.0,1098000000.0
netTangibleAssets,-11867000000.0,-14230000000.0,414000000.0,-924000000.0
shortTermInvestments,3386000000.0,5789000000.0,,203000000.0
netReceivables,2404000000.0,1396000000.0,2854000000.0,2314000000.0
longTermDebt,23582000000.0,26531000000.0,8052000000.0,7959000000.0
inventory,1098000000.0,732000000.0,1251000000.0,1055000000.0
accountsPayable,4240000000.0,2840000000.0,3266000000.0,2976000000.0
commonStock,,,15440000000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,398000000.0,-15587000000.0,6198000000.0,5151000000.0
minorityInterest,,,,
netIncome,280000000.0,-12385000000.0,4767000000.0,3935000000.0
sellingGeneralAdministrative,953000000.0,643000000.0,2211000000.0,1941000000.0
grossProfit,2171000000.0,-3780000000.0,13186000000.0,11452000000.0
ebit,-2185000000.0,-7945000000.0,6567000000.0,5459000000.0
operatingIncome,-2185000000.0,-7945000000.0,6567000000.0,5459000000.0
otherOperatingExpenses,1405000000.0,1232000000.0,1827000000.0,1723000000.0
interestExpense,-1279000000.0,-929000000.0,-301000000.0,-311000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,118000000.0,-3202000000.0,1431000000.0,1216000000.0
totalRevenue,29899000000.0,17095000000.0,47007000000.0,44438000000.0
totalOperatingExpenses,32084000000.0,25040000000.0,40440000000.0,38979000000.0
costOfRevenue,27728000000.0,20875000000.0,33821000000.0,32986000000.0
totalOtherIncomeExpenseNet,2583000000.0,-7642000000.0,-369000000.0,-308000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,280000000.0,-12385000000.0,4767000000.0,3935000000.0
netIncomeApplicableToCommonShares,280000000.0,-12385000000.0,4767000000.0,3935000000.0
investments,2381000000.0,-7891000000.0,315000000.0,649000000.0
changeToLiabilities,4176000000.0,123000000.0,685000000.0,198000000.0
totalCashflowsFromInvestingActivities,-898000000.0,-9238000000.0,-4563000000.0,-4393000000.0
netBorrowings,-3932000000.0,20162000000.0,148000000.0,700000000.0
totalCashFromFinancingActivities,-3852000000.0,19356000000.0,-2880000000.0,-1726000000.0
changeToOperatingActivities,-367000000.0,-255000000.0,449000000.0,59000000.0
changeInCash,-1486000000.0,6325000000.0,982000000.0,895000000.0
totalCashFromOperatingActivities,3264000000.0,-3793000000.0,8425000000.0,7014000000.0
depreciation,1697000000.0,1986000000.0,2342000000.0,2124000000.0
otherCashflowsFromInvestingActivities,-32000000.0,552000000.0,58000000.0,126000000.0
changeToInventory,-318000000.0,354000000.0,-139000000.0,324000000.0
changeToAccountReceivables,-981000000.0,1168000000.0,-775000000.0,108000000.0
otherCashflowsFromFinancingActivities,80000000.0,-202000000.0,-21000000.0,58000000.0
changeToNetincome,-1524000000.0,4912000000.0,857000000.0,61000000.0
capitalExpenditures,-3247000000.0,-1899000000.0,-4936000000.0,-5168000000.0
repurchaseOfStock,,-344000000.0,-2027000000.0,-1575000000.0
dividendsPaid,,-260000000.0,-980000000.0,-909000000.0
annualDilutedAverageShares,641000000.0,636000000.0,653000000.0,694000000.0
