,2021,2020,2019,2018
intangibleAssets,8442000000.0,8072000000.0,13593000000.0,14655000000.0
capitalSurplus,49574000000.0,50039000000.0,50796000000.0,81976000000.0
totalLiab,18657000000.0,31834000000.0,27793000000.0,91955000000.0
totalStockholderEquity,26433000000.0,38504000000.0,40987000000.0,94292000000.0
minorityInterest,617000000.0,566000000.0,569000000.0,1608000000.0
deferredLongTermLiab,703000000.0,265000000.0,312000000.0,134000000.0
otherCurrentLiab,686000000.0,9314000000.0,591000000.0,69836000000.0
totalAssets,45707000000.0,70904000000.0,69349000000.0,187855000000.0
commonStock,5000000.0,7000000.0,7000000.0,8000000.0
otherCurrentAssets,304000000.0,21576000000.0,436000000.0,110532000000.0
retainedEarnings,-23187000000.0,-11586000000.0,-8400000000.0,30257000000.0
otherLiab,3389000000.0,3689000000.0,5414000000.0,6019000000.0
goodWill,19578000000.0,18702000000.0,33151000000.0,34496000000.0
treasuryStock,41000000.0,44000000.0,-1416000000.0,-17949000000.0
otherAssets,1207000000.0,6785000000.0,647000000.0,359000000.0
cash,2011000000.0,2544000000.0,1540000000.0,8548000000.0
totalCurrentLiabilities,4262000000.0,12226000000.0,8346000000.0,73312000000.0
deferredLongTermAssetCharges,143000000.0,190000000.0,189000000.0,178000000.0
otherStockholderEquity,41000000.0,44000000.0,-1416000000.0,-12528000000.0
propertyPlantEquipment,7434000000.0,7290000000.0,10699000000.0,9917000000.0
totalCurrentAssets,8065000000.0,29008000000.0,9999000000.0,126655000000.0
longTermInvestments,981000000.0,1047000000.0,1260000000.0,1773000000.0
netTangibleAssets,-1587000000.0,11730000000.0,-5757000000.0,45141000000.0
netReceivables,2664000000.0,2331000000.0,3704000000.0,3439000000.0
longTermDebt,10630000000.0,15609000000.0,13615000000.0,12599000000.0
inventory,2862000000.0,2393000000.0,4319000000.0,4107000000.0
accountsPayable,2612000000.0,2222000000.0,2934000000.0,2619000000.0
shortLongTermDebt,,1000000.0,2000000000.0,11000000.0
shortTermInvestments,,,,29000000.0
researchDevelopment,618000000.0,625000000.0,689000000.0,1070000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2196000000.0,-2246000000.0,-126000000.0,600000000.0
netIncome,6467000000.0,-2951000000.0,498000000.0,3845000000.0
sellingGeneralAdministrative,1803000000.0,1671000000.0,1985000000.0,2932000000.0
grossProfit,5850000000.0,4830000000.0,5410000000.0,8920000000.0
ebit,2704000000.0,1838000000.0,2035000000.0,3874000000.0
operatingIncome,2704000000.0,1838000000.0,2035000000.0,3874000000.0
otherOperatingExpenses,,,,
interestExpense,-525000000.0,-672000000.0,-667000000.0,-55000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,392000000.0,160000000.0,-2000000.0,195000000.0
totalRevenue,16653000000.0,14338000000.0,15436000000.0,22594000000.0
totalOperatingExpenses,13949000000.0,12500000000.0,13401000000.0,18720000000.0
costOfRevenue,10803000000.0,9508000000.0,10026000000.0,13674000000.0
totalOtherIncomeExpenseNet,-508000000.0,-4084000000.0,-2161000000.0,-3274000000.0
discontinuedOperations,4711000000.0,-517000000.0,724000000.0,3595000000.0
netIncomeFromContinuingOps,1804000000.0,-2406000000.0,-124000000.0,405000000.0
netIncomeApplicableToCommonShares,6467000000.0,-2951000000.0,497000000.0,3828000000.0
changeToLiabilities,317000000.0,177000000.0,-1049000000.0,201000000.0
totalCashflowsFromInvestingActivities,-2401000000.0,-202000000.0,-2313000000.0,-2462000000.0
netBorrowings,-3600000000.0,4415000000.0,-160000000.0,6669000000.0
totalCashFromFinancingActivities,-6507000000.0,3238000000.0,-11550000000.0,-1918000000.0
changeToOperatingActivities,25000000.0,113000000.0,-1091000000.0,-2452000000.0
issuanceOfStock,115000000.0,57000000.0,85000000.0,197000000.0
changeInCash,-6699000000.0,7198000000.0,-12445000000.0,7000000.0
repurchaseOfStock,-2169000000.0,-247000000.0,-2413000000.0,-4549000000.0
effectOfExchangeRate,-72000000.0,67000000.0,9000000.0,-344000000.0
totalCashFromOperatingActivities,2281000000.0,4095000000.0,1409000000.0,4731000000.0
depreciation,1395000000.0,1373000000.0,1402000000.0,2170000000.0
otherCashflowsFromInvestingActivities,39000000.0,29000000.0,-5000000.0,714000000.0
dividendsPaid,-630000000.0,-882000000.0,-1611000000.0,-3491000000.0
changeToInventory,-537000000.0,570000000.0,387000000.0,-1496000000.0
changeToAccountReceivables,-255000000.0,308000000.0,-2227000000.0,-1611000000.0
otherCashflowsFromFinancingActivities,-223000000.0,-105000000.0,-7451000000.0,-744000000.0
changeToNetincome,-5131000000.0,4505000000.0,3489000000.0,4074000000.0
capitalExpenditures,-3237000000.0,-1264000000.0,-2652000000.0,-3997000000.0
investments,,,45000000.0,615000000.0
annualDilutedAverageShares,,,,
