,2021,2020,2019,2018
intangibleAssets,558000000.0,635000000.0,671000000.0,588000000.0
capitalSurplus,4369000000.0,4257000000.0,4206000000.0,4130000000.0
totalLiab,96834000000.0,102005000000.0,102137000000.0,98423000000.0
totalStockholderEquity,12352000000.0,9828000000.0,11296000000.0,10567000000.0
deferredLongTermLiab,33000000.0,33000000.0,24000000.0,23000000.0
otherCurrentLiab,9000000.0,17000000.0,,
totalAssets,110242000000.0,112889000000.0,113996000000.0,109553000000.0
commonStock,6000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,2582000000.0,25000000.0,40000000.0,1846000000.0
retainedEarnings,24766000000.0,19955000000.0,21290000000.0,18906000000.0
otherLiab,198000000.0,227000000.0,199000000.0,144000000.0
goodWill,255000000.0,255000000.0,255000000.0,255000000.0
treasuryStock,-16789000000.0,-14390000000.0,-14206000000.0,-12475000000.0
otherAssets,2100000000.0,2322000000.0,1158000000.0,958000000.0
cash,8750000000.0,13564000000.0,6924000000.0,13299000000.0
totalCurrentLiabilities,83344000000.0,80537000000.0,76237000000.0,71051000000.0
deferredLongTermAssetCharges,1494000000.0,1775000000.0,551000000.0,434000000.0
shortLongTermDebt,5185000000.0,,,
otherStockholderEquity,-94000000.0,45000000.0,-119000000.0,-156000000.0
propertyPlantEquipment,425000000.0,487000000.0,541000000.0,509000000.0
totalCurrentAssets,99142000000.0,96805000000.0,100519000000.0,103580000000.0
longTermInvestments,7762000000.0,12385000000.0,10852000000.0,3663000000.0
netTangibleAssets,11539000000.0,8938000000.0,10370000000.0,9724000000.0
netReceivables,87810000000.0,83215000000.0,93555000000.0,88422000000.0
longTermDebt,13292000000.0,21241000000.0,25701000000.0,27228000000.0
accountsPayable,72393000000.0,76904000000.0,72746000000.0,67759000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7064000000.0,1435000000.0,3835000000.0,3597000000.0
minorityInterest,,,,
netIncome,5449000000.0,1141000000.0,2957000000.0,2742000000.0
sellingGeneralAdministrative,3685000000.0,3383000000.0,3481000000.0,3258000000.0
grossProfit,11369000000.0,5414000000.0,7819000000.0,7324000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,7251000000.0,1590000000.0,3931000000.0,3680000000.0
otherOperatingExpenses,433000000.0,441000000.0,407000000.0,386000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1615000000.0,294000000.0,878000000.0,855000000.0
totalRevenue,11869000000.0,5954000000.0,8228000000.0,7674000000.0
totalOperatingExpenses,4618000000.0,4364000000.0,4297000000.0,3994000000.0
costOfRevenue,500000000.0,540000000.0,409000000.0,350000000.0
totalOtherIncomeExpenseNet,-187000000.0,-155000000.0,-96000000.0,-83000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5449000000.0,1141000000.0,2957000000.0,2742000000.0
netIncomeApplicableToCommonShares,5351000000.0,1104000000.0,2908000000.0,2689000000.0
investments,4808000000.0,-1270000000.0,-7146000000.0,-1845000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,40000000.0,1514000000.0,-15274000000.0,-10579000000.0
netBorrowings,-896000000.0,-4792000000.0,-1714000000.0,796000000.0
totalCashFromFinancingActivities,-8316000000.0,-1085000000.0,897000000.0,7146000000.0
changeToOperatingActivities,-86000000.0,254000000.0,7000000.0,-556000000.0
issuanceOfStock,9000000.0,10000000.0,7000000.0,6000000.0
changeInCash,-2257000000.0,6625000000.0,-8181000000.0,1758000000.0
repurchaseOfStock,-2260000000.0,-348000000.0,-1768000000.0,-2065000000.0
totalCashFromOperatingActivities,6019000000.0,6196000000.0,6196000000.0,5191000000.0
depreciation,428000000.0,385000000.0,356000000.0,368000000.0
dividendsPaid,-636000000.0,-576000000.0,-573000000.0,-552000000.0
otherCashflowsFromFinancingActivities,-4533000000.0,4128000000.0,4945000000.0,8961000000.0
changeToNetincome,125000000.0,4316000000.0,2796000000.0,2570000000.0
capitalExpenditures,-194000000.0,-261000000.0,-284000000.0,-254000000.0
annualDilutedAverageShares,,,,
