,2021,2020,2019,2018
intangibleAssets,22843000000.0,21282000000.0,9750000000.0,10282800000.0
capitalSurplus,10090000000.0,9698000000.0,7565000000.0,5834300000.0
totalLiab,38007000000.0,36384000000.0,31800000000.0,19605800000.0
totalStockholderEquity,41899000000.0,36498000000.0,28671000000.0,28214400000.0
minorityInterest,10000000.0,11000000.0,11000000.0,12300000.0
otherCurrentLiab,3692000000.0,3491000000.0,1850000000.0,2209900000.0
totalAssets,83184000000.0,76161000000.0,62082000000.0,47832500000.0
commonStock,9000000.0,9000000.0,8000000.0,8200000.0
retainedEarnings,32827000000.0,27159000000.0,24166000000.0,25163000000.0
otherLiab,6810000000.0,7004000000.0,4712000000.0,5075800000.0
goodWill,41184000000.0,35420000000.0,22713000000.0,22580500000.0
treasuryStock,-1027000000.0,-368000000.0,-3068000000.0,-2791100000.0
otherAssets,2658000000.0,1426000000.0,923000000.0,5587500000.0
cash,2586000000.0,6035000000.0,19912000000.0,787800000.0
totalCurrentLiabilities,8140000000.0,7402000000.0,4932000000.0,4841500000.0
deferredLongTermAssetCharges,1233000000.0,1338000000.0,,
shortLongTermDebt,8000000.0,11000000.0,212000000.0,51800000.0
otherStockholderEquity,-1027000000.0,-368000000.0,-3068000000.0,-2791100000.0
propertyPlantEquipment,4831000000.0,4204000000.0,3066000000.0,2249600000.0
totalCurrentAssets,11648000000.0,13802000000.0,25596000000.0,7093800000.0
longTermInvestments,20000000.0,27000000.0,34000000.0,38300000.0
netTangibleAssets,-22128000000.0,-20204000000.0,-3792000000.0,-4648900000.0
netReceivables,4631000000.0,4810000000.0,3464000000.0,3111800000.0
longTermDebt,22168000000.0,21193000000.0,21517000000.0,9688500000.0
inventory,2767000000.0,2292000000.0,1628000000.0,1631400000.0
accountsPayable,2569000000.0,2049000000.0,1515000000.0,1495400000.0
otherCurrentAssets,,6000000.0,26000000.0,786800000.0
researchDevelopment,1742000000.0,1348000000.0,1126000000.0,1059000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,7598000000.0,4495000000.0,3305000000.0,2962000000.0
netIncome,6433000000.0,3646000000.0,3008000000.0,2651000000.0
sellingGeneralAdministrative,8146000000.0,6858000000.0,5577000000.0,5356000000.0
grossProfit,18056000000.0,13043000000.0,9984000000.0,9505000000.0
ebit,8168000000.0,4837000000.0,3281000000.0,3090000000.0
operatingIncome,8168000000.0,4837000000.0,3281000000.0,3090000000.0
otherOperatingExpenses,,,,
interestExpense,-238000000.0,-275000000.0,-108000000.0,-137000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1251000000.0,849000000.0,873000000.0,556000000.0
totalRevenue,29453000000.0,22284000000.0,17911000000.0,17049000000.0
totalOperatingExpenses,21285000000.0,17447000000.0,14630000000.0,13959000000.0
costOfRevenue,11397000000.0,9241000000.0,7927000000.0,7544000000.0
totalOtherIncomeExpenseNet,-570000000.0,-342000000.0,24000000.0,-128000000.0
discontinuedOperations,86000000.0,86000000.0,576000000.0,245000000.0
netIncomeFromContinuingOps,6347000000.0,3646000000.0,2432000000.0,2406000000.0
netIncomeApplicableToCommonShares,6269000000.0,3510000000.0,2940000000.0,2651000000.0
investments,-808000000.0,-329000000.0,-241000000.0,-124000000.0
changeToLiabilities,320000000.0,745000000.0,-397000000.0,-23000000.0
totalCashflowsFromInvestingActivities,-12987000000.0,-21239000000.0,-1238000000.0,-2949000000.0
netBorrowings,2063000000.0,-1900000000.0,13350000000.0,-442000000.0
totalCashFromFinancingActivities,1295000000.0,1006000000.0,16365000000.0,-797000000.0
changeToOperatingActivities,135000000.0,221000000.0,446000000.0,134000000.0
issuanceOfStock,86000000.0,1882000000.0,1573000000.0,96000000.0
changeInCash,-3449000000.0,-13877000000.0,19124000000.0,158000000.0
effectOfExchangeRate,-115000000.0,148000000.0,45000000.0,-118000000.0
totalCashFromOperatingActivities,8358000000.0,6208000000.0,3952000000.0,4022000000.0
depreciation,2168000000.0,1775000000.0,1189000000.0,1178000000.0
otherCashflowsFromInvestingActivities,37000000.0,24000000.0,-43000000.0,-74000000.0
dividendsPaid,-742000000.0,-615000000.0,-527000000.0,-433000000.0
changeToInventory,-502000000.0,-123000000.0,-22000000.0,-134000000.0
changeToAccountReceivables,-611000000.0,-264000000.0,-157000000.0,-55000000.0
otherCashflowsFromFinancingActivities,-112000000.0,-29000000.0,369000000.0,-18000000.0
changeToNetincome,415000000.0,208000000.0,-115000000.0,271000000.0
capitalExpenditures,-1294000000.0,-791000000.0,-636000000.0,-584000000.0
annualDilutedAverageShares,736800000.0,718700000.0,725500000.0,710200000.0
