,2021,2020,2019,2018
intangibleAssets,29079707000.0,27446484000.0,25789557000.0,24754416000.0
capitalSurplus,4735484000.0,5400774000.0,4947007000.0,3379093000.0
totalLiab,32078612000.0,24108654000.0,21114788000.0,21532755000.0
totalStockholderEquity,15526671000.0,13780155000.0,11564521000.0,8595688000.0
minorityInterest,396442000.0,351138000.0,551626000.0,458569000.0
otherCurrentLiab,2138117000.0,2244125000.0,2270015000.0,2470519000.0
totalAssets,48001725000.0,38239947000.0,33230935000.0,30587012000.0
commonStock,5289000.0,5261000.0,5230000.0,4679000.0
otherCurrentAssets,641978000.0,1804562000.0,243497000.0,289800000.0
retainedEarnings,10785617000.0,8374975000.0,6612302000.0,5212790000.0
otherLiab,4754125000.0,4343974000.0,3565673000.0,2945839000.0
goodWill,227637000.0,217581000.0,126361000.0,
treasuryStock,281000.0,-855000.0,-18000.0,-874000.0
otherAssets,6269061000.0,1117414000.0,289331000.0,496219000.0
cash,2428188000.0,3370092000.0,2443643000.0,887346000.0
totalCurrentLiabilities,6515886000.0,6084746000.0,4496091000.0,4776132000.0
shortLongTermDebt,2027038000.0,2027241000.0,1109873000.0,1341993000.0
otherStockholderEquity,281000.0,-855000.0,-18000.0,-874000.0
propertyPlantEquipment,4751197000.0,2286604000.0,2850512000.0,1928180000.0
totalCurrentAssets,7523182000.0,7022158000.0,4015100000.0,3289205000.0
longTermInvestments,150941000.0,149706000.0,160074000.0,118992000.0
netTangibleAssets,-13780673000.0,-13883910000.0,-14351397000.0,-16158728000.0
shortTermInvestments,2975518000.0,362953000.0,416704000.0,1181471000.0
netReceivables,942561000.0,1104202000.0,588358000.0,639855000.0
longTermDebt,19290320000.0,13512613000.0,12796523000.0,13743800000.0
inventory,534937000.0,380349000.0,322898000.0,290733000.0
accountsPayable,848224000.0,395397000.0,280645000.0,233753000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3218756000.0,2572211000.0,1943927000.0,2189175000.0
netIncome,2410642000.0,1762673000.0,1399512000.0,1575091000.0
sellingGeneralAdministrative,2214936000.0,1876122000.0,1728069000.0,1437281000.0
grossProfit,6142823000.0,5459707000.0,4237522000.0,4296926000.0
ebit,3203035000.0,2869033000.0,1878876000.0,2147621000.0
operatingIncome,3203035000.0,2869033000.0,1878876000.0,2147621000.0
otherOperatingExpenses,,,,
interestExpense,-16174000.0,-12974000.0,-23687000.0,-15006000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,762810000.0,698275000.0,451358000.0,533684000.0
totalRevenue,17881106000.0,15493435000.0,12807684000.0,13621302000.0
totalOperatingExpenses,14678071000.0,12624402000.0,10928808000.0,11473681000.0
costOfRevenue,11738283000.0,10033728000.0,8570162000.0,9324376000.0
totalOtherIncomeExpenseNet,15721000.0,-296822000.0,65051000.0,41554000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2455946000.0,1873936000.0,1492569000.0,1655491000.0
netIncomeApplicableToCommonShares,2410642000.0,1762673000.0,1399512000.0,1575091000.0
investments,-2617690000.0,42149000.0,770108000.0,-673680000.0
changeToLiabilities,2226000.0,72769000.0,73064000.0,-259131000.0
totalCashflowsFromInvestingActivities,-4410413000.0,-3861572000.0,-717836000.0,-1975273000.0
netBorrowings,4660124000.0,1799464000.0,-1358920000.0,-1151256000.0
totalCashFromFinancingActivities,4659428000.0,1499470000.0,-328169000.0,-1134545000.0
changeToOperatingActivities,-10931000.0,-429031000.0,-115284000.0,-117252000.0
issuanceOfStock,58303000.0,27414000.0,1034843000.0,19981000.0
changeInCash,4280266000.0,949674000.0,1616396000.0,-591977000.0
totalCashFromOperatingActivities,4031251000.0,3311776000.0,2662401000.0,2517841000.0
depreciation,724852000.0,714552000.0,630577000.0,712024000.0
otherCashflowsFromInvestingActivities,-44029000.0,-11173000.0,6659000.0,17604000.0
changeToInventory,-167985000.0,58291000.0,-79542000.0,14788000.0
changeToAccountReceivables,209456000.0,-25172000.0,49183000.0,14724000.0
otherCashflowsFromFinancingActivities,-58999000.0,-327408000.0,-4092000.0,-3270000.0
changeToNetincome,781794000.0,1242327000.0,654790000.0,483979000.0
capitalExpenditures,-1185642000.0,-413302000.0,-581081000.0,-393938000.0
annualDilutedAverageShares,,,,
