,2021,2020,2019,2018
intangibleAssets,2881000000.0,3352000000.0,3759000000.0,4225000000.0
capitalSurplus,8151000000.0,7595000000.0,7325000000.0,7042000000.0
totalLiab,44251000000.0,48465000000.0,46430000000.0,50078000000.0
totalStockholderEquity,18165000000.0,12435000000.0,13541000000.0,32483000000.0
minorityInterest,574000000.0,570000000.0,553000000.0,1138000000.0
deferredLongTermLiab,1395000000.0,1174000000.0,789000000.0,717000000.0
otherCurrentLiab,1561000000.0,1979000000.0,1370000000.0,5716000000.0
totalAssets,62990000000.0,61470000000.0,60524000000.0,83699000000.0
commonStock,8000000.0,8000000.0,8000000.0,
otherCurrentAssets,654000000.0,525000000.0,609000000.0,20593000000.0
retainedEarnings,20623000000.0,16361000000.0,17045000000.0,35460000000.0
otherLiab,15534000000.0,19167000000.0,17886000000.0,15214000000.0
goodWill,8764000000.0,8908000000.0,8796000000.0,9846000000.0
treasuryStock,-10617000000.0,-11529000000.0,-10837000000.0,-10019000000.0
otherAssets,2814000000.0,3423000000.0,3031000000.0,2514000000.0
cash,2988000000.0,5104000000.0,2367000000.0,2724000000.0
totalCurrentLiabilities,13226000000.0,11108000000.0,10679000000.0,15547000000.0
deferredLongTermAssetCharges,1358000000.0,2215000000.0,2213000000.0,1779000000.0
shortLongTermDebt,203000000.0,410000000.0,535000000.0,338000000.0
otherStockholderEquity,-8992000000.0,-10904000000.0,-10337000000.0,-10019000000.0
propertyPlantEquipment,21967000000.0,22095000000.0,23068000000.0,21418000000.0
totalCurrentAssets,20848000000.0,19084000000.0,16815000000.0,39370000000.0
longTermInvestments,5716000000.0,4608000000.0,5055000000.0,6326000000.0
netTangibleAssets,6520000000.0,175000000.0,986000000.0,18412000000.0
shortTermInvestments,245000000.0,45000000.0,21000000.0,100000000.0
netReceivables,9588000000.0,7709000000.0,7596000000.0,9054000000.0
longTermDebt,13579000000.0,16205000000.0,15763000000.0,18946000000.0
inventory,7372000000.0,5701000000.0,6214000000.0,6899000000.0
accountsPayable,8416000000.0,5889000000.0,5953000000.0,6935000000.0
researchDevelopment,857000000.0,768000000.0,765000000.0,800000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,8145000000.0,2071000000.0,-1247000000.0,3749000000.0
netIncome,6311000000.0,1225000000.0,-1359000000.0,4641000000.0
sellingGeneralAdministrative,1313000000.0,1368000000.0,1385000000.0,1659000000.0
grossProfit,10777000000.0,5196000000.0,6369000000.0,8530000000.0
ebit,8219000000.0,2659000000.0,3800000000.0,5602000000.0
operatingIncome,8219000000.0,2659000000.0,3800000000.0,5602000000.0
otherOperatingExpenses,,,,
interestExpense,-731000000.0,-827000000.0,-933000000.0,-1063000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1740000000.0,777000000.0,470000000.0,809000000.0
totalRevenue,54968000000.0,38542000000.0,42951000000.0,49604000000.0
totalOperatingExpenses,46749000000.0,35883000000.0,39151000000.0,44002000000.0
costOfRevenue,44191000000.0,33346000000.0,36582000000.0,41074000000.0
totalOtherIncomeExpenseNet,-74000000.0,-588000000.0,-5047000000.0,-1853000000.0
discontinuedOperations,,,445000000.0,1835000000.0
netIncomeFromContinuingOps,6405000000.0,1294000000.0,-1717000000.0,2940000000.0
netIncomeApplicableToCommonShares,6279000000.0,1216000000.0,-1365000000.0,4641000000.0
investments,-556000000.0,-74000000.0,-196000000.0,-279000000.0
changeToLiabilities,2458000000.0,-84000000.0,-948000000.0,787000000.0
totalCashflowsFromInvestingActivities,-2914000000.0,-841000000.0,-2192000000.0,-2195000000.0
netBorrowings,-2696000000.0,-412000000.0,-2967000000.0,-1233000000.0
totalCashFromFinancingActivities,-6071000000.0,-2764000000.0,-4095000000.0,-5404000000.0
changeToOperatingActivities,-5000000.0,590000000.0,-586000000.0,-731000000.0
issuanceOfStock,320000000.0,108000000.0,93000000.0,112000000.0
changeInCash,-2120000000.0,2724000000.0,-397000000.0,-3484000000.0
repurchaseOfStock,-1012000000.0,-152000000.0,-560000000.0,-77000000.0
effectOfExchangeRate,-99000000.0,107000000.0,-27000000.0,-99000000.0
totalCashFromOperatingActivities,7009000000.0,6226000000.0,5930000000.0,4254000000.0
depreciation,2752000000.0,2778000000.0,2842000000.0,2816000000.0
otherCashflowsFromInvestingActivities,-10000000.0,-304000000.0,-34000000.0,288000000.0
dividendsPaid,-2073000000.0,-2071000000.0,-2085000000.0,-3711000000.0
changeToInventory,-1768000000.0,515000000.0,668000000.0,-859000000.0
changeToAccountReceivables,-2132000000.0,171000000.0,1253000000.0,-855000000.0
otherCashflowsFromFinancingActivities,-610000000.0,-237000000.0,1424000000.0,-495000000.0
changeToNetincome,-697000000.0,935000000.0,3964000000.0,-1638000000.0
capitalExpenditures,-2416000000.0,-1392000000.0,-2046000000.0,-2251000000.0
annualDilutedAverageShares,,,,
