,2022,2021,2020,2019,2018
intangibleAssets,95558000.0,81306000.0,,74440000.0,63809000.0
capitalSurplus,840000.0,5122000.0,,243000.0,569000.0
totalLiab,5881352000.0,4867573000.0,,4797851000.0,3947306000.0
totalStockholderEquity,-4209536000.0,-3300405000.0,,-3415759000.0,-3039921000.0
deferredLongTermLiab,8900000.0,8000000.0,,,
otherCurrentLiab,179137000.0,145275000.0,,106121000.0,111150000.0
totalAssets,1671816000.0,1567168000.0,,1382092000.0,907385000.0
commonStock,361000.0,389000.0,,389000.0,410000.0
otherCurrentAssets,361483000.0,365151000.0,,314658000.0,279737000.0
retainedEarnings,-4207917000.0,-3303492000.0,,-3412649000.0,-3036471000.0
otherLiab,91502000.0,78468000.0,,70234000.0,71872000.0
goodWill,15034000.0,15061000.0,,15093000.0,14919000.0
treasuryStock,-2820000.0,-2424000.0,,-3742000.0,-4429000.0
otherAssets,40077000.0,35785000.0,,33276000.0,26767000.0
cash,148160000.0,168821000.0,,190615000.0,25438000.0
totalCurrentLiabilities,590741000.0,470819000.0,,453831000.0,379743000.0
deferredLongTermAssetCharges,2109000.0,1904000.0,,10073000.0,5526000.0
shortLongTermDebt,51500000.0,,,42000000.0,35250000.0
otherStockholderEquity,-2820000.0,-2424000.0,,-3742000.0,-4429000.0
propertyPlantEquipment,534767000.0,525632000.0,,471666000.0,234939000.0
totalCurrentAssets,860540000.0,869384000.0,,787617000.0,566951000.0
longTermInvestments,125840000.0,40000000.0,,,
netTangibleAssets,-4320128000.0,-3396772000.0,,-3505292000.0,-3118649000.0
netReceivables,255327000.0,244560000.0,,210260000.0,190091000.0
longTermDebt,4942388000.0,4058318000.0,,4052792000.0,3479328000.0
inventory,68328000.0,66683000.0,,52955000.0,45975000.0
accountsPayable,91547000.0,94499000.0,,111101000.0,92546000.0
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,625705000.0,555130000.0,,482637000.0,428678000.0
minorityInterest,,,,,
netIncome,510467000.0,491296000.0,,400709000.0,361972000.0
sellingGeneralAdministrative,428333000.0,406613000.0,,380793000.0,371964000.0
grossProfit,1208741000.0,1132255000.0,,1011700000.0,944153000.0
ebit,780408000.0,725642000.0,,630907000.0,572189000.0
operatingIncome,780408000.0,725642000.0,,630907000.0,572189000.0
otherOperatingExpenses,,,,,
interestExpense,-191806000.0,-172166000.0,,-150818000.0,-146345000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,115238000.0,63834000.0,,81928000.0,66706000.0
totalRevenue,4357373000.0,4117411000.0,,3618774000.0,3432867000.0
totalOperatingExpenses,3576965000.0,3391769000.0,,2987867000.0,2860678000.0
costOfRevenue,3148632000.0,2985156000.0,,2607074000.0,2488714000.0
totalOtherIncomeExpenseNet,-154703000.0,-170512000.0,,-148270000.0,-143511000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,510467000.0,491296000.0,,400709000.0,361972000.0
netIncomeApplicableToCommonShares,510467000.0,491296000.0,,400709000.0,361972000.0
changeToLiabilities,51346000.0,68954000.0,,66137000.0,10010000.0
totalCashflowsFromInvestingActivities,-142723000.0,-128927000.0,,-27854000.0,-88257000.0
netBorrowings,939788000.0,-44058000.0,,582915000.0,365912000.0
totalCashFromFinancingActivities,-522833000.0,-446406000.0,,-222792000.0,-322803000.0
changeToOperatingActivities,52651000.0,36913000.0,,-1384000.0,-3178000.0
issuanceOfStock,19682000.0,30970000.0,,13064000.0,9832000.0
changeInCash,-11666000.0,18222000.0,,246505000.0,-17427000.0
repurchaseOfStock,-1327722000.0,-311393000.0,,-704958000.0,-598174000.0
effectOfExchangeRate,-316000.0,761000.0,,201000.0,-538000.0
totalCashFromOperatingActivities,654206000.0,592794000.0,,496950000.0,394171000.0
depreciation,48623000.0,42038000.0,,37130000.0,34965000.0
otherCashflowsFromInvestingActivities,515000.0,-333000.0,,48876000.0,23264000.0
dividendsPaid,-139399000.0,-121925000.0,,-105715000.0,-92166000.0
changeToInventory,-9420000.0,-24959000.0,,-6741000.0,-12455000.0
changeToAccountReceivables,-8107000.0,-33334000.0,,-20900000.0,-18172000.0
otherCashflowsFromFinancingActivities,-15182000.0,-15182000.0,,-8098000.0,-8207000.0
changeToNetincome,-23163000.0,-16640000.0,,-5549000.0,-5704000.0
capitalExpenditures,-94172000.0,-88768000.0,,-85565000.0,-119888000.0
annualDilutedAverageShares,,,,,
