,2022,2021,2020,2019
intangibleAssets,879100000.0,873200000.0,891500000.0,1075400000.0
totalLiab,7937600000.0,7843000000.0,7614900000.0,3500200000.0
totalStockholderEquity,2198200000.0,2813100000.0,2331200000.0,2392600000.0
otherCurrentLiab,583100000.0,670500000.0,525800000.0,503900000.0
totalAssets,10135800000.0,10656100000.0,9946100000.0,5892800000.0
commonStock,2226000000.0,2286600000.0,2205300000.0,1685000000.0
otherCurrentAssets,326900000.0,340200000.0,24900000.0,41600000.0
retainedEarnings,-25900000.0,522300000.0,143500000.0,806600000.0
otherLiab,414700000.0,421100000.0,248600000.0,929900000.0
goodWill,1037400000.0,1037400000.0,1037400000.0,1183700000.0
treasuryStock,-1900000.0,4200000.0,-17600000.0,-99000000.0
otherAssets,218800000.0,228800000.0,189700000.0,188500000.0
cash,420600000.0,1214700000.0,763300000.0,457300000.0
totalCurrentLiabilities,1847500000.0,1848300000.0,1792800000.0,1474100000.0
shortLongTermDebt,28000000.0,200000.0,,
otherStockholderEquity,-1900000.0,4200000.0,-17600000.0,-99000000.0
propertyPlantEquipment,6821100000.0,6645600000.0,6726100000.0,2552600000.0
totalCurrentAssets,1179400000.0,1871100000.0,1101400000.0,892600000.0
netTangibleAssets,281700000.0,902500000.0,402300000.0,133500000.0
netReceivables,71400000.0,65200000.0,43300000.0,88300000.0
longTermDebt,901000000.0,929800000.0,928800000.0,927700000.0
inventory,270600000.0,190800000.0,206900000.0,207300000.0
accountsPayable,366900000.0,304500000.0,249400000.0,332600000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1093500000.0,576500000.0,-161000000.0,782300000.0
minorityInterest,,,,
netIncome,952800000.0,629300000.0,-52400000.0,713400000.0
sellingGeneralAdministrative,466400000.0,487300000.0,614400000.0,660800000.0
grossProfit,1995000000.0,1493500000.0,1408400000.0,1849000000.0
ebit,1160200000.0,655300000.0,438100000.0,851500000.0
operatingIncome,1160200000.0,655300000.0,438100000.0,851500000.0
otherOperatingExpenses,,,,
interestExpense,-70600000.0,-65200000.0,-62200000.0,-54000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,138800000.0,-55900000.0,-111800000.0,63700000.0
totalRevenue,9630000000.0,7196100000.0,7806900000.0,8510400000.0
totalOperatingExpenses,8469800000.0,6540800000.0,7368800000.0,7658900000.0
costOfRevenue,7635000000.0,5702600000.0,6398500000.0,6661400000.0
totalOtherIncomeExpenseNet,-66700000.0,-78800000.0,-599100000.0,-69200000.0
discontinuedOperations,-1900000.0,-3100000.0,-3200000.0,-5200000.0
netIncomeFromContinuingOps,954700000.0,632400000.0,-49200000.0,718600000.0
netIncomeApplicableToCommonShares,952800000.0,629300000.0,-52400000.0,713400000.0
changeToLiabilities,67000000.0,55100000.0,-29100000.0,66300000.0
totalCashflowsFromInvestingActivities,-389000000.0,-263700000.0,-544000000.0,-462600000.0
netBorrowings,-12900000.0,-277100000.0,264800000.0,34700000.0
totalCashFromFinancingActivities,-1609700000.0,-478900000.0,138700000.0,-484200000.0
changeToOperatingActivities,-145900000.0,233400000.0,-23500000.0,28100000.0
issuanceOfStock,40200000.0,46200000.0,525900000.0,59300000.0
changeInCash,-742600000.0,451400000.0,306000000.0,310400000.0
repurchaseOfStock,-1071300000.0,-45400000.0,-330300000.0,-207500000.0
totalCashFromOperatingActivities,1256100000.0,1194000000.0,711300000.0,1257200000.0
depreciation,348700000.0,325500000.0,330200000.0,310000000.0
otherCashflowsFromInvestingActivities,3400000.0,1200000.0,-9500000.0,2100000.0
dividendsPaid,-563000000.0,-202600000.0,-322300000.0,-370800000.0
changeToInventory,-79800000.0,16100000.0,-13900000.0,-2100000.0
changeToAccountReceivables,-3900000.0,-18400000.0,13700000.0,2100000.0
otherCashflowsFromFinancingActivities,-2700000.0,-2700000.0,600000.0,100000.0
changeToNetincome,39000000.0,216700000.0,442800000.0,126900000.0
capitalExpenditures,-376900000.0,-254900000.0,-459900000.0,-452000000.0
annualDilutedAverageShares,,,,
