,2021,2020,2019,2018
intangibleAssets,177000000.0,199000000.0,2393000000.0,849000000.0
totalLiab,31006000000.0,32907000000.0,30432000000.0,25571000000.0
totalStockholderEquity,8705000000.0,12425000000.0,11672000000.0,10237000000.0
minorityInterest,8000000.0,164000000.0,164000000.0,480000000.0
deferredLongTermLiab,3498000000.0,4125000000.0,4171000000.0,4568000000.0
otherCurrentLiab,1146000000.0,1010000000.0,1226000000.0,874000000.0
totalAssets,39719000000.0,45496000000.0,42268000000.0,36288000000.0
commonStock,5379000000.0,5406000000.0,5233000000.0,4245000000.0
otherCurrentAssets,601000000.0,649000000.0,347000000.0,481000000.0
retainedEarnings,3438000000.0,7156000000.0,6587000000.0,6112000000.0
otherLiab,10055000000.0,11132000000.0,10373000000.0,8999000000.0
goodWill,1993000000.0,1993000000.0,2464000000.0,2293000000.0
treasuryStock,-112000000.0,-137000000.0,-148000000.0,-120000000.0
otherAssets,6810000000.0,14827000000.0,6712000000.0,6246000000.0
cash,28000000.0,472000000.0,93000000.0,71000000.0
totalCurrentLiabilities,6346000000.0,2691000000.0,3997000000.0,4438000000.0
shortLongTermDebt,2866000000.0,462000000.0,682000000.0,1495000000.0
otherStockholderEquity,-112000000.0,-137000000.0,-148000000.0,-120000000.0
propertyPlantEquipment,27041000000.0,24606000000.0,25486000000.0,21650000000.0
totalCurrentAssets,3317000000.0,3498000000.0,3086000000.0,3260000000.0
longTermInvestments,381000000.0,373000000.0,2127000000.0,1990000000.0
netTangibleAssets,6535000000.0,10233000000.0,6815000000.0,7095000000.0
netReceivables,1830000000.0,1669000000.0,1887000000.0,1897000000.0
longTermDebt,14512000000.0,18977000000.0,15924000000.0,12127000000.0
inventory,858000000.0,708000000.0,759000000.0,811000000.0
accountsPayable,1414000000.0,1000000000.0,1076000000.0,1329000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,656000000.0,1082000000.0,1013000000.0,1216000000.0
netIncome,907000000.0,1368000000.0,1169000000.0,1120000000.0
sellingGeneralAdministrative,17000000.0,50000000.0,39000000.0,37000000.0
grossProfit,3336000000.0,3279000000.0,3019000000.0,3150000000.0
ebit,1511000000.0,1542000000.0,1405000000.0,1584000000.0
operatingIncome,1511000000.0,1542000000.0,1405000000.0,1584000000.0
otherOperatingExpenses,431000000.0,395000000.0,406000000.0,405000000.0
interestExpense,-630000000.0,-601000000.0,-568000000.0,-559000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-130000000.0,37000000.0,71000000.0,98000000.0
totalRevenue,14964000000.0,11423000000.0,12168000000.0,14212000000.0
totalOperatingExpenses,13453000000.0,9881000000.0,10763000000.0,12628000000.0
costOfRevenue,11628000000.0,8144000000.0,9149000000.0,11062000000.0
totalOtherIncomeExpenseNet,-855000000.0,-460000000.0,-392000000.0,-368000000.0
discontinuedOperations,111000000.0,314000000.0,214000000.0,214000000.0
netIncomeFromContinuingOps,786000000.0,1045000000.0,942000000.0,1118000000.0
netIncomeApplicableToCommonShares,905000000.0,1366000000.0,1167000000.0,1118000000.0
investments,10000000.0,-13000000.0,-139000000.0,-628000000.0
changeToLiabilities,308000000.0,0.0,-288000000.0,146000000.0
totalCashflowsFromInvestingActivities,-3863000000.0,-4070000000.0,-5732000000.0,-3347000000.0
netBorrowings,1655000000.0,2020000000.0,1904000000.0,1315000000.0
totalCashFromFinancingActivities,315000000.0,796000000.0,3100000000.0,654000000.0
changeToOperatingActivities,272000000.0,245000000.0,-34000000.0,266000000.0
changeInCash,-481000000.0,423000000.0,17000000.0,-13000000.0
repurchaseOfStock,-66000000.0,-66000000.0,-66000000.0,-66000000.0
totalCashFromOperatingActivities,3067000000.0,3697000000.0,2649000000.0,2680000000.0
depreciation,1031000000.0,957000000.0,880000000.0,849000000.0
otherCashflowsFromInvestingActivities,-104000000.0,-87000000.0,-126000000.0,-6000000.0
dividendsPaid,-791000000.0,-760000000.0,-692000000.0,-620000000.0
changeToInventory,-153000000.0,45000000.0,59000000.0,-32000000.0
changeToAccountReceivables,-146000000.0,111000000.0,49000000.0,-44000000.0
otherCashflowsFromFinancingActivities,-483000000.0,-466000000.0,-400000000.0,-41000000.0
changeToNetincome,444000000.0,599000000.0,465000000.0,55000000.0
capitalExpenditures,-3772000000.0,-3857000000.0,-2997000000.0,-2713000000.0
issuanceOfStock,,2000000.0,2288000000.0,2288000000.0
annualDilutedAverageShares,,,,
