,2021,2020,2019,2018
intangibleAssets,304000000.0,295000000.0,249000000.0,246000000.0
capitalSurplus,44371000000.0,43767000000.0,40881000000.0,40795000000.0
totalLiab,118451000000.0,113204000000.0,110887000000.0,101558000000.0
totalStockholderEquity,47334000000.0,46002000000.0,44860000000.0,43817000000.0
minorityInterest,1840000000.0,1220000000.0,1129000000.0,17000000.0
deferredLongTermLiab,12487000000.0,12421000000.0,13222000000.0,13617000000.0
otherCurrentLiab,3318000000.0,3210000000.0,2741000000.0,3378000000.0
totalAssets,169587000000.0,162388000000.0,158838000000.0,145392000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
otherCurrentAssets,2783000000.0,2085000000.0,2554000000.0,2325000000.0
retainedEarnings,3265000000.0,2471000000.0,4108000000.0,3113000000.0
otherLiab,40998000000.0,39934000000.0,39718000000.0,35394000000.0
goodWill,19303000000.0,19303000000.0,19303000000.0,19303000000.0
treasuryStock,-303000000.0,-237000000.0,-130000000.0,-92000000.0
otherAssets,27283000000.0,25735000000.0,25416000000.0,24170000000.0
cash,343000000.0,259000000.0,311000000.0,442000000.0
totalCurrentLiabilities,15931000000.0,16305000000.0,14752000000.0,15041000000.0
shortLongTermDebt,3236000000.0,4109000000.0,3022000000.0,3236000000.0
otherStockholderEquity,-303000000.0,-237000000.0,-130000000.0,-92000000.0
propertyPlantEquipment,111292000000.0,106854000000.0,102339000000.0,90181000000.0
totalCurrentAssets,9940000000.0,8682000000.0,9163000000.0,9714000000.0
longTermInvestments,1465000000.0,1519000000.0,2368000000.0,1778000000.0
netTangibleAssets,27727000000.0,26404000000.0,25308000000.0,24268000000.0
netReceivables,3610000000.0,3153000000.0,3060000000.0,3863000000.0
longTermDebt,59684000000.0,54909000000.0,54135000000.0,50352000000.0
inventory,3199000000.0,3167000000.0,3232000000.0,3084000000.0
accountsPayable,3629000000.0,3144000000.0,3487000000.0,3487000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3764000000.0,839000000.0,4097000000.0,3073000000.0
netIncome,3908000000.0,1377000000.0,3748000000.0,2666000000.0
sellingGeneralAdministrative,,,,
grossProfit,12206000000.0,11484000000.0,11576000000.0,10717000000.0
ebit,5844000000.0,5442000000.0,5721000000.0,5362000000.0
operatingIncome,5844000000.0,5442000000.0,5721000000.0,5362000000.0
otherOperatingExpenses,1389000000.0,1337000000.0,1307000000.0,1281000000.0
interestExpense,-2280000000.0,-2162000000.0,-2204000000.0,-2094000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,192000000.0,-236000000.0,519000000.0,448000000.0
totalRevenue,24677000000.0,23453000000.0,24658000000.0,24116000000.0
totalOperatingExpenses,18833000000.0,18011000000.0,18937000000.0,18754000000.0
costOfRevenue,12471000000.0,11969000000.0,13082000000.0,13399000000.0
totalOtherIncomeExpenseNet,-2080000000.0,-4603000000.0,-1624000000.0,-2289000000.0
discontinuedOperations,7000000.0,7000000.0,-7000000.0,19000000.0
netIncomeFromContinuingOps,3572000000.0,1075000000.0,3578000000.0,2625000000.0
netIncomeApplicableToCommonShares,3798000000.0,1269000000.0,3687000000.0,2661000000.0
investments,-32000000.0,-299000000.0,-318000000.0,-294000000.0
changeToLiabilities,249000000.0,-21000000.0,-164000000.0,479000000.0
totalCashflowsFromInvestingActivities,-10935000000.0,-10604000000.0,-11957000000.0,-10060000000.0
netBorrowings,4237000000.0,1505000000.0,3235000000.0,3564000000.0
totalCashFromFinancingActivities,2609000000.0,1731000000.0,3730000000.0,2960000000.0
changeToOperatingActivities,-892000000.0,-647000000.0,-490000000.0,-1519000000.0
issuanceOfStock,5000000.0,2745000000.0,384000000.0,1838000000.0
changeInCash,-36000000.0,-17000000.0,-18000000.0,86000000.0
totalCashFromOperatingActivities,8290000000.0,8856000000.0,8209000000.0,7186000000.0
depreciation,5663000000.0,5486000000.0,5176000000.0,4696000000.0
otherCashflowsFromInvestingActivities,-1188000000.0,-398000000.0,-517000000.0,-377000000.0
dividendsPaid,-3114000000.0,-2812000000.0,-2668000000.0,-2471000000.0
changeToInventory,-34000000.0,66000000.0,-122000000.0,156000000.0
changeToAccountReceivables,-297000000.0,-56000000.0,78000000.0,-345000000.0
otherCashflowsFromFinancingActivities,1481000000.0,293000000.0,817000000.0,29000000.0
changeToNetincome,-591000000.0,2534000000.0,207000000.0,1030000000.0
capitalExpenditures,-9715000000.0,-9907000000.0,-11122000000.0,-9389000000.0
annualDilutedAverageShares,,,,
