,2022,2021,2020,2019
intangibleAssets,3378000000.0,4043000000.0,5731000000.0,5939000000.0
capitalSurplus,10057000000.0,10761000000.0,10714000000.0,11301000000.0
totalLiab,14764000000.0,16730000000.0,20877000000.0,17849000000.0
totalStockholderEquity,5052000000.0,4973000000.0,4785000000.0,11402000000.0
minorityInterest,323000000.0,335000000.0,344000000.0,323000000.0
deferredLongTermLiab,1009000000.0,1144000000.0,1136000000.0,1194000000.0
otherCurrentLiab,1401000000.0,1828000000.0,1285000000.0,2124000000.0
totalAssets,20139000000.0,22038000000.0,26006000000.0,29574000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,303000000.0,517000000.0,270000000.0,359000000.0
retainedEarnings,-4450000000.0,-5331000000.0,-5177000000.0,478000000.0
otherLiab,3031000000.0,3197000000.0,3247000000.0,2926000000.0
goodWill,617000000.0,641000000.0,2017000000.0,7606000000.0
treasuryStock,-558000000.0,-460000000.0,-755000000.0,-380000000.0
otherAssets,5102000000.0,4777000000.0,4245000000.0,3731000000.0
cash,2672000000.0,2968000000.0,3679000000.0,2899000000.0
totalCurrentLiabilities,6853000000.0,8150000000.0,7895000000.0,9453000000.0
deferredLongTermAssetCharges,221000000.0,289000000.0,265000000.0,355000000.0
shortLongTermDebt,249000000.0,556000000.0,290000000.0,766000000.0
otherStockholderEquity,-385000000.0,-302000000.0,-603000000.0,-244000000.0
propertyPlantEquipment,3545000000.0,4312000000.0,4975000000.0,3179000000.0
totalCurrentAssets,7446000000.0,8208000000.0,8987000000.0,9066000000.0
longTermInvestments,51000000.0,57000000.0,51000000.0,53000000.0
netTangibleAssets,1057000000.0,289000000.0,-2963000000.0,-2143000000.0
netReceivables,3854000000.0,4156000000.0,4392000000.0,5181000000.0
longTermDebt,3711000000.0,3849000000.0,8059000000.0,4800000000.0
accountsPayable,840000000.0,914000000.0,1598000000.0,1666000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1141000000.0,654000000.0,-5228000000.0,1515000000.0
netIncome,718000000.0,-149000000.0,-5369000000.0,1257000000.0
sellingGeneralAdministrative,316000000.0,1818000000.0,1392000000.0,1777000000.0
grossProfit,3582000000.0,3643000000.0,4676000000.0,5807000000.0
ebit,1549000000.0,20000000.0,1342000000.0,2062000000.0
operatingIncome,1549000000.0,20000000.0,1342000000.0,2062000000.0
otherOperatingExpenses,,,,
interestExpense,-204000000.0,-361000000.0,-383000000.0,-334000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,405000000.0,800000000.0,130000000.0,288000000.0
totalRevenue,16265000000.0,17729000000.0,19577000000.0,20753000000.0
totalOperatingExpenses,14716000000.0,17709000000.0,18235000000.0,18691000000.0
costOfRevenue,12683000000.0,14086000000.0,14901000000.0,14946000000.0
totalOtherIncomeExpenseNet,-408000000.0,634000000.0,-6570000000.0,-547000000.0
discontinuedOperations,,,,35000000.0
netIncomeFromContinuingOps,736000000.0,-146000000.0,-5358000000.0,1227000000.0
netIncomeApplicableToCommonShares,718000000.0,-149000000.0,-5369000000.0,1257000000.0
investments,24000000.0,24000000.0,-37000000.0,-37000000.0
changeToLiabilities,-444000000.0,-593000000.0,-711000000.0,-126000000.0
totalCashflowsFromInvestingActivities,-60000000.0,4665000000.0,-2137000000.0,69000000.0
netBorrowings,-762000000.0,-5355000000.0,1657000000.0,-149000000.0
totalCashFromFinancingActivities,-1818000000.0,-5476000000.0,657000000.0,-1663000000.0
changeToOperatingActivities,-532000000.0,-915000000.0,-927000000.0,-632000000.0
issuanceOfStock,13000000.0,1000000.0,11000000.0,47000000.0
changeInCash,-296000000.0,-711000000.0,780000000.0,170000000.0
repurchaseOfStock,-646000000.0,-7000000.0,-752000000.0,-1398000000.0
effectOfExchangeRate,29000000.0,39000000.0,-90000000.0,-19000000.0
totalCashFromOperatingActivities,1501000000.0,124000000.0,2350000000.0,1783000000.0
depreciation,1515000000.0,1724000000.0,1680000000.0,1765000000.0
otherCashflowsFromInvestingActivities,-168000000.0,-115000000.0,409000000.0,700000000.0
changeToAccountReceivables,228000000.0,257000000.0,269000000.0,-947000000.0
otherCashflowsFromFinancingActivities,-423000000.0,-62000000.0,-45000000.0,47000000.0
changeToNetincome,104000000.0,-901000000.0,7329000000.0,325000000.0
capitalExpenditures,-254000000.0,-261000000.0,-350000000.0,-297000000.0
dividendsPaid,,-53000000.0,-214000000.0,-210000000.0
annualDilutedAverageShares,,,,
