,2021,2020,2019,2018
intangibleAssets,8000000.0,12000000.0,39000000.0,92000000.0
capitalSurplus,16659000000.0,16497000000.0,16126000000.0,15716000000.0
totalLiab,16848000000.0,15749000000.0,15304000000.0,16538000000.0
totalStockholderEquity,9778000000.0,3561000000.0,2870000000.0,6281000000.0
otherCurrentLiab,1770000000.0,2511000000.0,2007000000.0,1941000000.0
totalAssets,26626000000.0,19310000000.0,18174000000.0,22819000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,895000000.0,2936000000.0,775000000.0,829000000.0
retainedEarnings,36090000000.0,22961000000.0,17754000000.0,16459000000.0
otherLiab,4299000000.0,3690000000.0,4039000000.0,4389000000.0
goodWill,4178000000.0,4285000000.0,4533000000.0,5160000000.0
treasuryStock,-42973000000.0,-35899000000.0,-31012000000.0,-25896000000.0
otherAssets,3838000000.0,5255000000.0,5578000000.0,5066000000.0
cash,1379000000.0,1101000000.0,901000000.0,2202000000.0
totalCurrentLiabilities,4622000000.0,4002000000.0,4066000000.0,4454000000.0
deferredLongTermAssetCharges,3255000000.0,3537000000.0,3980000000.0,4792000000.0
shortLongTermDebt,1355000000.0,1000000.0,999000000.0,1549000000.0
otherStockholderEquity,398000000.0,616000000.0,384000000.0,498000000.0
propertyPlantEquipment,1525000000.0,1722000000.0,2043000000.0,1597000000.0
totalCurrentAssets,9111000000.0,7190000000.0,4706000000.0,7126000000.0
longTermInvestments,7966000000.0,846000000.0,1275000000.0,3778000000.0
netTangibleAssets,5592000000.0,-736000000.0,-1702000000.0,1029000000.0
shortTermInvestments,5944000000.0,2392000000.0,1850000000.0,2713000000.0
netReceivables,779000000.0,652000000.0,1180000000.0,1382000000.0
longTermDebt,7727000000.0,7741000000.0,6722000000.0,7695000000.0
accountsPayable,262000000.0,278000000.0,229000000.0,286000000.0
researchDevelopment,1325000000.0,1028000000.0,930000000.0,1051000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,398000000.0,3345000000.0,1652000000.0,2249000000.0
minorityInterest,,,,
netIncome,13608000000.0,5667000000.0,1786000000.0,2530000000.0
sellingGeneralAdministrative,3056000000.0,3069000000.0,2790000000.0,3486000000.0
grossProfit,7770000000.0,7097000000.0,5844000000.0,6627000000.0
ebit,2958000000.0,2643000000.0,1834000000.0,1821000000.0
operatingIncome,2958000000.0,2643000000.0,1834000000.0,1821000000.0
otherOperatingExpenses,422000000.0,330000000.0,262000000.0,247000000.0
interestExpense,-269000000.0,-304000000.0,-311000000.0,-326000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146000000.0,858000000.0,219000000.0,121000000.0
totalRevenue,10420000000.0,8894000000.0,7429000000.0,8650000000.0
totalOperatingExpenses,7462000000.0,6251000000.0,5595000000.0,6829000000.0
costOfRevenue,2650000000.0,1797000000.0,1585000000.0,2023000000.0
totalOtherIncomeExpenseNet,-2560000000.0,702000000.0,-182000000.0,428000000.0
discontinuedOperations,13356000000.0,3180000000.0,353000000.0,402000000.0
netIncomeFromContinuingOps,252000000.0,2487000000.0,1433000000.0,2128000000.0
netIncomeApplicableToCommonShares,13608000000.0,5667000000.0,1786000000.0,2530000000.0
investments,-3277000000.0,242000000.0,3422000000.0,3815000000.0
changeToLiabilities,-8000000.0,49000000.0,-12000000.0,-2000000.0
totalCashflowsFromInvestingActivities,3663000000.0,3794000000.0,2787000000.0,2894000000.0
netBorrowings,1322000000.0,-6000000.0,-1550000000.0,-750000000.0
totalCashFromFinancingActivities,-6532000000.0,-5692000000.0,-7091000000.0,-5398000000.0
changeToOperatingActivities,-306000000.0,-327000000.0,-25000000.0,-412000000.0
issuanceOfStock,93000000.0,90000000.0,106000000.0,109000000.0
changeInCash,-188000000.0,598000000.0,-1223000000.0,79000000.0
repurchaseOfStock,-7291000000.0,-5312000000.0,-5175000000.0,-4727000000.0
effectOfExchangeRate,24000000.0,77000000.0,-33000000.0,-75000000.0
totalCashFromOperatingActivities,2657000000.0,2419000000.0,3114000000.0,2658000000.0
depreciation,502000000.0,583000000.0,600000000.0,635000000.0
otherCashflowsFromInvestingActivities,5059000000.0,4015000000.0,-127000000.0,4000000.0
dividendsPaid,-466000000.0,-447000000.0,-473000000.0,-473000000.0
changeToAccountReceivables,195000000.0,31000000.0,-93000000.0,-76000000.0
otherCashflowsFromFinancingActivities,-190000000.0,-17000000.0,1000000.0,-30000000.0
changeToNetincome,-11319000000.0,-3611000000.0,948000000.0,-4000000.0
capitalExpenditures,-444000000.0,-463000000.0,-508000000.0,-623000000.0
annualDilutedAverageShares,,,,
