,2021,2020,2019,2018
intangibleAssets,4224100000.0,2977000000.0,2927500000.0,3797700000.0
capitalSurplus,6464600000.0,6235000000.0,5907100000.0,5633200000.0
totalLiab,13953300000.0,11924500000.0,12143300000.0,12020900000.0
totalStockholderEquity,7224200000.0,6166500000.0,8685300000.0,8003200000.0
minorityInterest,28900000.0,35000000.0,40500000.0,50400000.0
otherCurrentLiab,590400000.0,651800000.0,1011800000.0,654000000.0
totalAssets,21206400000.0,18126000000.0,20869100000.0,20074500000.0
commonStock,364100000.0,362600000.0,359600000.0,357000000.0
otherCurrentAssets,84500000.0,30500000.0,1037200000.0,77800000.0
retainedEarnings,8814500000.0,8243000000.0,9993700000.0,8909500000.0
otherLiab,1770300000.0,2022500000.0,2193600000.0,2033700000.0
goodWill,8063900000.0,6006900000.0,5569100000.0,7078000000.0
treasuryStock,-8419000000.0,-8674100000.0,-7575100000.0,-6896500000.0
otherAssets,546000000.0,476000000.0,3849100000.0,685100000.0
cash,359900000.0,1260200000.0,118800000.0,114700000.0
totalCurrentLiabilities,3553200000.0,2932200000.0,3630600000.0,3685600000.0
deferredLongTermAssetCharges,120600000.0,163200000.0,136200000.0,105100000.0
shortLongTermDebt,2500000.0,1800000.0,300900000.0,401400000.0
otherStockholderEquity,-1634800000.0,-1994400000.0,-2089700000.0,-1761700000.0
propertyPlantEquipment,3685300000.0,3548700000.0,3695000000.0,3836000000.0
totalCurrentAssets,4687100000.0,5117400000.0,4828400000.0,4677700000.0
netTangibleAssets,-5063800000.0,-2817400000.0,188700000.0,-2872500000.0
netReceivables,2629700000.0,2442400000.0,2489000000.0,2806700000.0
longTermDebt,8339200000.0,6662200000.0,5970100000.0,6295400000.0
inventory,1491800000.0,1285200000.0,1081600000.0,1546400000.0
accountsPayable,1384200000.0,1160600000.0,1075300000.0,1255600000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1414200000.0,1161400000.0,1731500000.0,1587100000.0
netIncome,1129900000.0,-1205100000.0,1558900000.0,1429100000.0
sellingGeneralAdministrative,3345000000.0,3248400000.0,3466700000.0,3427300000.0
grossProfit,5211200000.0,4932600000.0,5554700000.0,5351600000.0
ebit,1866200000.0,1684200000.0,2088000000.0,1924300000.0
operatingIncome,1866200000.0,1684200000.0,2088000000.0,1924300000.0
otherOperatingExpenses,,,,
interestExpense,-197500000.0,-221000000.0,-214200000.0,-235200000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,270200000.0,176600000.0,288600000.0,321200000.0
totalRevenue,12733100000.0,11790200000.0,12562000000.0,12222100000.0
totalOperatingExpenses,10866900000.0,10106000000.0,10474000000.0,10297800000.0
costOfRevenue,7521900000.0,6857600000.0,7007300000.0,6870500000.0
totalOtherIncomeExpenseNet,-452000000.0,-522800000.0,-356500000.0,-337200000.0
discontinuedOperations,,-2172500000.0,133300000.0,178800000.0
netIncomeFromContinuingOps,1144000000.0,984800000.0,1442900000.0,1265900000.0
netIncomeApplicableToCommonShares,1129900000.0,-1205100000.0,1558900000.0,1429100000.0
changeToLiabilities,200400000.0,55900000.0,22900000.0,99800000.0
totalCashflowsFromInvestingActivities,-4579700000.0,-414500000.0,-1199100000.0,-1030000000.0
netBorrowings,2121300000.0,143300000.0,-652600000.0,-209800000.0
totalCashFromFinancingActivities,1603200000.0,-341800000.0,-1349600000.0,-1172700000.0
changeToOperatingActivities,51400000.0,-241200000.0,10400000.0,-91800000.0
issuanceOfStock,143500000.0,241500000.0,186800000.0,114500000.0
changeInCash,-900300000.0,1073800000.0,-107600000.0,82600000.0
repurchaseOfStock,-106600000.0,-146200000.0,-353700000.0,-562400000.0
effectOfExchangeRate,14300000.0,-30100000.0,20400000.0,7600000.0
totalCashFromOperatingActivities,2061900000.0,1860200000.0,2420700000.0,2277700000.0
depreciation,843100000.0,812700000.0,775300000.0,730400000.0
otherCashflowsFromInvestingActivities,-25200000.0,440000000.0,-90700000.0,-58700000.0
dividendsPaid,-566400000.0,-560800000.0,-552900000.0,-494800000.0
changeToInventory,-73000000.0,-179500000.0,22300000.0,-100500000.0
changeToAccountReceivables,-178200000.0,155600000.0,-173100000.0,-132500000.0
otherCashflowsFromFinancingActivities,11400000.0,-19600000.0,22800000.0,-20200000.0
changeToNetincome,88300000.0,2461800000.0,204000000.0,343200000.0
capitalExpenditures,-643000000.0,-489000000.0,-731300000.0,-778700000.0
annualDilutedAverageShares,,,,
