,2021,2020,2019,2018
intangibleAssets,1293000000.0,1460000000.0,1557000000.0,1654000000.0
capitalSurplus,9710000000.0,8808000000.0,8054000000.0,7117000000.0
totalLiab,42780000000.0,43830000000.0,39866000000.0,37081000000.0
totalStockholderEquity,20037000000.0,18847000000.0,18022000000.0,16726000000.0
minorityInterest,299000000.0,218000000.0,191000000.0,113000000.0
deferredLongTermLiab,3919000000.0,6477000000.0,4992000000.0,4447000000.0
otherCurrentLiab,1182000000.0,1137000000.0,1011000000.0,939000000.0
totalAssets,63116000000.0,62895000000.0,58079000000.0,53920000000.0
commonStock,37000000.0,36000000.0,35000000.0,34000000.0
otherCurrentAssets,721000000.0,661000000.0,564000000.0,309000000.0
retainedEarnings,11445000000.0,11178000000.0,11100000000.0,10728000000.0
otherLiab,13992000000.0,15248000000.0,14209000000.0,13373000000.0
goodWill,439000000.0,446000000.0,446000000.0,440000000.0
treasuryStock,-1155000000.0,-1175000000.0,-1167000000.0,-1153000000.0
otherAssets,6098000000.0,6942000000.0,5389000000.0,4773000000.0
cash,992000000.0,1272000000.0,981000000.0,895000000.0
totalCurrentLiabilities,5427000000.0,7354000000.0,6287000000.0,6207000000.0
shortLongTermDebt,460000000.0,1991000000.0,1453000000.0,650000000.0
otherStockholderEquity,-117000000.0,-137000000.0,-129000000.0,-115000000.0
propertyPlantEquipment,49407000000.0,47395000000.0,44747000000.0,41749000000.0
totalCurrentAssets,5551000000.0,5301000000.0,4272000000.0,3864000000.0
longTermInvestments,328000000.0,1351000000.0,1668000000.0,1440000000.0
netTangibleAssets,18305000000.0,16941000000.0,16019000000.0,14632000000.0
netReceivables,3106000000.0,2741000000.0,2115000000.0,2115000000.0
longTermDebt,22642000000.0,20464000000.0,18561000000.0,17501000000.0
inventory,437000000.0,356000000.0,352000000.0,358000000.0
accountsPayable,1497000000.0,1475000000.0,1164000000.0,1187000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1383000000.0,1234000000.0,1736000000.0,1783000000.0
netIncome,1346000000.0,1101000000.0,1343000000.0,1382000000.0
sellingGeneralAdministrative,138000000.0,203000000.0,81000000.0,170000000.0
grossProfit,7668000000.0,7163000000.0,6766000000.0,6237000000.0
ebit,2688000000.0,2465000000.0,2595000000.0,2363000000.0
operatingIncome,2688000000.0,2465000000.0,2595000000.0,2363000000.0
otherOperatingExpenses,2810000000.0,2575000000.0,2406000000.0,2266000000.0
interestExpense,-930000000.0,-1033000000.0,-1004000000.0,-829000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,190000000.0,90000000.0,296000000.0,401000000.0
totalRevenue,13676000000.0,12246000000.0,12574000000.0,12337000000.0
totalOperatingExpenses,10988000000.0,9781000000.0,9979000000.0,9974000000.0
costOfRevenue,6008000000.0,5083000000.0,5808000000.0,6100000000.0
totalOtherIncomeExpenseNet,-1305000000.0,-1231000000.0,-859000000.0,-580000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1193000000.0,1144000000.0,1440000000.0,1382000000.0
netIncomeApplicableToCommonShares,1346000000.0,1101000000.0,1343000000.0,1382000000.0
changeToLiabilities,44000000.0,170000000.0,10000000.0,-46000000.0
totalCashflowsFromInvestingActivities,-3484000000.0,-4224000000.0,-3782000000.0,-5471000000.0
netBorrowings,462000000.0,2585000000.0,948000000.0,3081000000.0
totalCashFromFinancingActivities,461000000.0,2245000000.0,859000000.0,2938000000.0
changeToOperatingActivities,-591000000.0,-1010000000.0,-230000000.0,-186000000.0
issuanceOfStock,835000000.0,700000000.0,890000000.0,772000000.0
changeInCash,-290000000.0,219000000.0,211000000.0,162000000.0
totalCashFromOperatingActivities,2733000000.0,2198000000.0,3134000000.0,2695000000.0
depreciation,2032000000.0,1920000000.0,1684000000.0,1438000000.0
otherCashflowsFromInvestingActivities,-313000000.0,-288000000.0,-273000000.0,-224000000.0
dividendsPaid,-1030000000.0,-975000000.0,-924000000.0,-842000000.0
changeToInventory,-82000000.0,-4000000.0,6000000.0,-20000000.0
changeToAccountReceivables,-411000000.0,-543000000.0,23000000.0,-140000000.0
otherCashflowsFromFinancingActivities,194000000.0,-65000000.0,-55000000.0,-73000000.0
changeToNetincome,428000000.0,496000000.0,259000000.0,289000000.0
capitalExpenditures,-3983000000.0,-3936000000.0,-3701000000.0,-3764000000.0
annualDilutedAverageShares,,,,
