,2021,2020,2019,2018
intangibleAssets,1992900000.0,1092700000.0,1139500000.0,1194000000.0
capitalSurplus,1536700000.0,1470700000.0,1405100000.0,1356600000.0
totalLiab,7439700000.0,6401500000.0,5286100000.0,3997500000.0
totalStockholderEquity,3584400000.0,3168400000.0,2578600000.0,3107800000.0
minorityInterest,16800000.0,41900000.0,44300000.0,47900000.0
otherCurrentLiab,707100000.0,696300000.0,863000000.0,250700000.0
totalAssets,11040900000.0,9611800000.0,7909000000.0,7153200000.0
commonStock,236600000.0,236600000.0,236600000.0,236600000.0
otherCurrentAssets,42100000.0,37700000.0,39900000.0,40200000.0
retainedEarnings,4751600000.0,4185400000.0,3854600000.0,4717800000.0
otherLiab,588700000.0,641100000.0,547500000.0,540100000.0
goodWill,6258100000.0,4495800000.0,4308300000.0,4129700000.0
treasuryStock,-2940500000.0,-2724300000.0,-2917700000.0,-3203200000.0
otherAssets,296700000.0,277900000.0,304200000.0,162400000.0
cash,224700000.0,1684600000.0,401300000.0,223600000.0
totalCurrentLiabilities,2291300000.0,2483100000.0,1359100000.0,826800000.0
deferredLongTermAssetCharges,9000000.0,9200000.0,9200000.0,11100000.0
otherStockholderEquity,-301300000.0,-177300000.0,-360300000.0,-632200000.0
propertyPlantEquipment,1315900000.0,1139400000.0,947600000.0,764800000.0
totalCurrentAssets,1120900000.0,2478300000.0,1209400000.0,902300000.0
longTermInvestments,56400000.0,127700000.0,,
netTangibleAssets,-4666600000.0,-2420100000.0,-2869200000.0,-2215900000.0
netReceivables,745700000.0,651900000.0,680100000.0,538500000.0
longTermDebt,4470100000.0,3277300000.0,3379500000.0,2630600000.0
accountsPayable,211600000.0,159100000.0,148300000.0,175700000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,949200000.0,685200000.0,-413800000.0,370400000.0
netIncome,744200000.0,520100000.0,-384100000.0,310500000.0
sellingGeneralAdministrative,1324400000.0,1306300000.0,1166500000.0,1162200000.0
grossProfit,2943000000.0,2390100000.0,1985900000.0,1971700000.0
ebit,1138200000.0,692800000.0,488300000.0,499100000.0
operatingIncome,1138200000.0,692800000.0,488300000.0,499100000.0
otherOperatingExpenses,,,,
interestExpense,-145600000.0,-141600000.0,-111700000.0,-103500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,200700000.0,159000000.0,-35700000.0,53400000.0
totalRevenue,4923900000.0,4127500000.0,3507600000.0,3412100000.0
totalOperatingExpenses,3785700000.0,3434700000.0,3019300000.0,2913000000.0
costOfRevenue,1980900000.0,1737400000.0,1521700000.0,1440400000.0
totalOtherIncomeExpenseNet,-189000000.0,-7600000.0,-902100000.0,-128700000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,748500000.0,526200000.0,-378100000.0,317000000.0
netIncomeApplicableToCommonShares,744200000.0,520100000.0,-384100000.0,310500000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-3398200000.0,-492700000.0,-697500000.0,-461500000.0
netBorrowings,920300000.0,997600000.0,746500000.0,-64700000.0
totalCashFromFinancingActivities,617700000.0,810800000.0,557900000.0,-311000000.0
changeToOperatingActivities,39900000.0,142700000.0,448900000.0,32900000.0
issuanceOfStock,46800000.0,41700000.0,22300000.0,11800000.0
changeInCash,-1459900000.0,1283300000.0,177700000.0,-112800000.0
repurchaseOfStock,-127200000.0,-15900000.0,-10500000.0,-19700000.0
effectOfExchangeRate,-14200000.0,19000000.0,3500000.0,-12500000.0
totalCashFromOperatingActivities,1334800000.0,946200000.0,313800000.0,672200000.0
depreciation,489600000.0,399300000.0,337300000.0,315900000.0
dividendsPaid,-190000000.0,-189500000.0,-188700000.0,-187900000.0
changeToAccountReceivables,-66200000.0,-93700000.0,-61300000.0,-37400000.0
otherCashflowsFromFinancingActivities,-32200000.0,-23100000.0,-11700000.0,-50500000.0
changeToNetincome,127300000.0,-22200000.0,-27000000.0,50300000.0
capitalExpenditures,-469000000.0,-421300000.0,-399600000.0,-321900000.0
investments,,-10000000.0,-25000000.0,-6900000.0
annualDilutedAverageShares,,,,
