,2022,2021,2020,2019
intangibleAssets,3428000000.0,4095000000.0,2338000000.0,1203000000.0
capitalSurplus,5796000000.0,5335000000.0,4790000000.0,4403000000.0
totalLiab,14478000000.0,15023000000.0,13819000000.0,8745000000.0
totalStockholderEquity,5590000000.0,6057000000.0,3935000000.0,4386000000.0
minorityInterest,842000000.0,891000000.0,27000000.0,25000000.0
otherCurrentLiab,669000000.0,747000000.0,514000000.0,320000000.0
totalAssets,20910000000.0,21971000000.0,17781000000.0,13156000000.0
commonStock,6000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,191000000.0,52000000.0,87000000.0,27000000.0
retainedEarnings,13912000000.0,12244000000.0,10134000000.0,9984000000.0
otherLiab,1651000000.0,2037000000.0,1448000000.0,1244000000.0
goodWill,2521000000.0,2616000000.0,1401000000.0,1868000000.0
treasuryStock,-14124000000.0,-11528000000.0,-10995000000.0,-10007000000.0
otherAssets,1064000000.0,1022000000.0,813000000.0,805000000.0
cash,3957000000.0,4958000000.0,5022000000.0,2987000000.0
totalCurrentLiabilities,5815000000.0,5298000000.0,5179000000.0,4605000000.0
deferredLongTermAssetCharges,695000000.0,631000000.0,44000000.0,295000000.0
shortLongTermDebt,373000000.0,14000000.0,467000000.0,542000000.0
otherStockholderEquity,-762000000.0,-470000000.0,-665000000.0,-563000000.0
propertyPlantEquipment,4599000000.0,4470000000.0,4337000000.0,2068000000.0
totalCurrentAssets,9298000000.0,9768000000.0,8892000000.0,7212000000.0
netTangibleAssets,-359000000.0,-654000000.0,196000000.0,1315000000.0
netReceivables,1629000000.0,1702000000.0,1194000000.0,1831000000.0
longTermDebt,5134000000.0,5510000000.0,4909000000.0,2896000000.0
inventory,2920000000.0,2505000000.0,2062000000.0,2006000000.0
accountsPayable,1822000000.0,1692000000.0,1177000000.0,1490000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3036000000.0,3331000000.0,1046000000.0,2307000000.0
netIncome,2390000000.0,2870000000.0,684000000.0,1785000000.0
sellingGeneralAdministrative,9886000000.0,9385000000.0,8658000000.0,8896000000.0
grossProfit,13432000000.0,12381000000.0,10742000000.0,11498000000.0
ebit,3546000000.0,2996000000.0,2084000000.0,2602000000.0
operatingIncome,3546000000.0,2996000000.0,2084000000.0,2602000000.0
otherOperatingExpenses,,,,
interestExpense,-167000000.0,-173000000.0,-161000000.0,-133000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,628000000.0,456000000.0,350000000.0,513000000.0
totalRevenue,17737000000.0,16215000000.0,14294000000.0,14863000000.0
totalOperatingExpenses,14191000000.0,13219000000.0,12210000000.0,12261000000.0
costOfRevenue,4305000000.0,3834000000.0,3552000000.0,3365000000.0
totalOtherIncomeExpenseNet,-510000000.0,335000000.0,-1038000000.0,-295000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2408000000.0,2875000000.0,696000000.0,1794000000.0
netIncomeApplicableToCommonShares,2390000000.0,2870000000.0,684000000.0,1785000000.0
investments,-10000000.0,-42000000.0,-5000000.0,1215000000.0
changeToLiabilities,210000000.0,440000000.0,-308000000.0,319000000.0
totalCashflowsFromInvestingActivities,-945000000.0,-1864000000.0,-1698000000.0,473000000.0
netBorrowings,-22000000.0,-607000000.0,2723000000.0,-172000000.0
totalCashFromFinancingActivities,-3036000000.0,-1892000000.0,1461000000.0,-2173000000.0
changeToOperatingActivities,-152000000.0,652000000.0,-325000000.0,223000000.0
issuanceOfStock,151000000.0,215000000.0,180000000.0,192000000.0
changeInCash,-1001000000.0,-64000000.0,2035000000.0,806000000.0
repurchaseOfStock,-2309000000.0,-733000000.0,-893000000.0,-1555000000.0
effectOfExchangeRate,-60000000.0,61000000.0,-8000000.0,-11000000.0
totalCashFromOperatingActivities,3040000000.0,3631000000.0,2280000000.0,2517000000.0
depreciation,727000000.0,651000000.0,611000000.0,557000000.0
otherCashflowsFromInvestingActivities,108000000.0,-120000000.0,-23000000.0,-23000000.0
dividendsPaid,-840000000.0,-753000000.0,-503000000.0,-609000000.0
changeToInventory,-602000000.0,-140000000.0,-3000000.0,-375000000.0
changeToAccountReceivables,-10000000.0,-398000000.0,625000000.0,-169000000.0
otherCashflowsFromFinancingActivities,-16000000.0,-14000000.0,-46000000.0,-29000000.0
changeToNetincome,477000000.0,-444000000.0,996000000.0,177000000.0
capitalExpenditures,-1040000000.0,-637000000.0,-623000000.0,-744000000.0
annualDilutedAverageShares,364900000.0,368200000.0,366900000.0,370400000.0
