,2021,2020,2019,2018
intangibleAssets,10615000000.0,9405000000.0,8674000000.0,9007000000.0
capitalSurplus,9148000000.0,9244000000.0,9448000000.0,9536000000.0
totalLiab,61332000000.0,53416000000.0,45725000000.0,43030000000.0
totalStockholderEquity,36060000000.0,33199000000.0,31728000000.0,28541000000.0
minorityInterest,68000000.0,,,
otherCurrentLiab,8863000000.0,7195000000.0,4980000000.0,4283000000.0
totalAssets,97460000000.0,86615000000.0,77453000000.0,71571000000.0
commonStock,2000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,4686000000.0,3986000000.0,3020000000.0,2870000000.0
retainedEarnings,27088000000.0,23802000000.0,22573000000.0,19988000000.0
otherLiab,4426000000.0,3781000000.0,3924000000.0,3848000000.0
goodWill,24228000000.0,21691000000.0,20500000000.0,20504000000.0
treasuryStock,-178000000.0,150000000.0,-296000000.0,-986000000.0
otherAssets,1723000000.0,1354000000.0,1280000000.0,1245000000.0
cash,4880000000.0,5741000000.0,4937000000.0,3934000000.0
totalCurrentLiabilities,34885000000.0,29453000000.0,23532000000.0,21965000000.0
deferredLongTermAssetCharges,103000000.0,,,
shortLongTermDebt,1599000000.0,700000000.0,1598000000.0,849000000.0
otherStockholderEquity,-178000000.0,150000000.0,-296000000.0,-986000000.0
propertyPlantEquipment,4547000000.0,4129000000.0,3708000000.0,2735000000.0
totalCurrentAssets,51122000000.0,45751000000.0,39033000000.0,34321000000.0
longTermInvestments,5225000000.0,4285000000.0,4258000000.0,3759000000.0
netTangibleAssets,1217000000.0,2103000000.0,2554000000.0,-970000000.0
shortTermInvestments,28148000000.0,24992000000.0,20685000000.0,18206000000.0
netReceivables,13408000000.0,11032000000.0,10391000000.0,9311000000.0
longTermDebt,21157000000.0,19335000000.0,17787000000.0,17217000000.0
accountsPayable,24009000000.0,21442000000.0,16090000000.0,15078000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7925000000.0,6238000000.0,5985000000.0,5068000000.0
netIncome,6104000000.0,4572000000.0,4807000000.0,3750000000.0
sellingGeneralAdministrative,26600000000.0,25202000000.0,15356000000.0,14020000000.0
grossProfit,35998000000.0,33823000000.0,22426000000.0,20196000000.0
ebit,8957000000.0,8260000000.0,6732000000.0,5818000000.0
operatingIncome,8957000000.0,8260000000.0,6732000000.0,5818000000.0
otherOperatingExpenses,,,,
interestExpense,-802000000.0,-785000000.0,-745000000.0,-739000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1830000000.0,1666000000.0,1178000000.0,1318000000.0
totalRevenue,138643000000.0,121868000000.0,104212000000.0,92091000000.0
totalOperatingExpenses,129686000000.0,113608000000.0,97480000000.0,86273000000.0
costOfRevenue,102645000000.0,88045000000.0,81786000000.0,71895000000.0
totalOtherIncomeExpenseNet,-1032000000.0,-2022000000.0,-747000000.0,-750000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,6095000000.0,4572000000.0,4807000000.0,3750000000.0
netIncomeApplicableToCommonShares,6104000000.0,4572000000.0,4807000000.0,3750000000.0
investments,-4056000000.0,-3433000000.0,-1919000000.0,1929000000.0
changeToLiabilities,606000000.0,2180000000.0,-330000000.0,61000000.0
totalCashflowsFromInvestingActivities,-9638000000.0,-7324000000.0,-2792000000.0,-1259000000.0
netBorrowings,3675000000.0,551000000.0,354000000.0,-936000000.0
totalCashFromFinancingActivities,423000000.0,-2567000000.0,-2266000000.0,-2241000000.0
changeToOperatingActivities,2585000000.0,3258000000.0,1614000000.0,-1267000000.0
issuanceOfStock,203000000.0,176000000.0,187000000.0,1423000000.0
changeInCash,-861000000.0,804000000.0,1003000000.0,325000000.0
repurchaseOfStock,-2002000000.0,-2828000000.0,-1785000000.0,-1766000000.0
effectOfExchangeRate,-10000000.0,7000000.0,7000000.0,-2000000.0
totalCashFromOperatingActivities,8364000000.0,10688000000.0,6061000000.0,3827000000.0
depreciation,817000000.0,742000000.0,683000000.0,667000000.0
otherCashflowsFromInvestingActivities,-1019000000.0,-894000000.0,204000000.0,-220000000.0
dividendsPaid,-1104000000.0,-954000000.0,-818000000.0,-776000000.0
changeToAccountReceivables,-2138000000.0,-256000000.0,-1053000000.0,-695000000.0
otherCashflowsFromFinancingActivities,-349000000.0,488000000.0,-204000000.0,-186000000.0
changeToNetincome,-235000000.0,-292000000.0,215000000.0,523000000.0
capitalExpenditures,-1087000000.0,-1021000000.0,-1077000000.0,-1208000000.0
annualDilutedAverageShares,,,,
